,フレーム数,両眼.注視Z座標[mm]
0,150,5.404120101165128
1,2887,5.1839794299696225
2,4405,5.407071367934985
3,6250,5.551761851623613
4,6476,5.5183983400657795
5,7645,5.5519467901419635
6,8292,3.0640446615149863
7,8883,5.123397017158257
8,9498,5.4959247717817235
9,10083,5.0587318770930505
10,11865,5.496710218933968
11,12481,5.045408678102927
12,14018,5.4811940233060366
