trial_id,folder_name,file_name,task_num,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,front_char,back_char,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
108_0_30,108,0,30,F:\pictures_verify\transformed_verify\roomDark_figureBright\0_city.png,equalization,2.089,blur,4.0,brightness,14.0,Ignore,A,0,Master_0_22_A_0_city_equalization2.089_blur4_brightness14.jpg,Ignore,2025-12-22T22:48:13.176,72.4957046508789,4350,8699,2025-12-22 22:48:14.302721,1.126284122467041,A,0,b,0,False Alarm,お手つき(スルー失敗)
108_0_31,108,0,31,F:\pictures_verify\transformed_verify\roomDark_figureBright\8_city.png,sharpness,0.617,brightness,24.0,blur,1.0,Match,8,8,Master_0_44_8_8_city_sharpness0.617_brightness24_blur1.jpg,Match,2025-12-22T22:48:15.695,75.01457095146179,4501,9002,2025-12-22 22:48:16.440869,0.7455661296844482,8,8,t,1,Hit,正解(一致)
108_0_32,108,0,32,F:\pictures_verify\transformed_verify\roomDark_figureBright\3_tunnel.png,blur,5.0,equalization,3.804,gamma,0.815,Ignore,B,3,Master_0_30_B_3_tunnel_blur5_equalization3.804_gamma0.815.jpg,Ignore,2025-12-22T22:48:18.190,77.5095694065094,4651,9301,2025-12-22 22:48:18.659025,0.46872425079345703,B,3,b,0,False Alarm,お手つき(スルー失敗)
108_0_33,108,0,33,F:\pictures_verify\transformed_verify\roomDark_figureBright\2_tanto.png,gamma,1.487,sharpness,1.102,blur,1.0,Ignore,F,2,Master_0_27_F_2_tanto_gamma1.487_sharpness1.102_blur1.jpg,Ignore,2025-12-22T22:48:20.681,80.00124311447144,4800,9600,2025-12-22 22:48:21.374052,0.6920769214630127,F,2,b,0,False Alarm,お手つき(スルー失敗)
108_0_34,108,0,34,F:\pictures_verify\transformed_verify\roomDark_figureBright\0_tanto.png,gamma,1.519,sharpness,0.677,blur,2.0,Ignore,L,0,Master_0_25_L_0_tanto_gamma1.519_sharpness0.677_blur2.jpg,Ignore,2025-12-22T22:48:23.183,82.50290846824646,4950,9900,2025-12-22 22:48:24.321701,1.1380605697631836,L,0,b,0,False Alarm,お手つき(スルー失敗)
108_0_35,108,0,35,F:\pictures_verify\transformed_verify\roomDark_figureBright\4_tanto.png,blur,1.0,gamma,1.098,equalization,1.114,Ignore,J,4,Master_0_37_J_4_tanto_blur1_gamma1.098_equalization1.114.jpg,Ignore,2025-12-22T22:48:25.696,85.01608610153198,5101,10202,2025-12-22 22:48:26.242559,0.5457413196563721,J,4,t,0,False Alarm,お手つき(スルー失敗)
108_0_36,108,0,36,F:\pictures_verify\transformed_verify\roomDark_figureBright\0_light.png,gamma,1.473,blur,1.0,contrast,0.831,Ignore,Q,0,Master_0_20_Q_0_light_gamma1.473_blur1_contrast0.831.jpg,Ignore,2025-12-22T22:48:28.179,87.49898672103882,5250,10500,2025-12-22 22:48:28.853546,0.6738274097442627,Q,0,b,0,False Alarm,お手つき(スルー失敗)
108_0_37,108,0,37,F:\pictures_verify\transformed_verify\roomDark_figureBright\1_city.png,blur,2.0,brightness,-17.0,sharpness,1.264,Mismatch,7,1,Master_0_36_7_1_city_blur2_brightness-17_sharpness1.264.jpg,Mismatch,2025-12-22T22:48:30.688,90.00741076469421,5400,10801,2025-12-22 22:48:31.389217,0.7010741233825684,7,1,t,0,False Alarm,お手つき(誤反応)
108_0_38,108,0,38,F:\pictures_verify\transformed_verify\roomDark_figureBright\3_city.png,blur,5.0,gamma,1.649,equalization,1.659,Ignore,P,3,Master_0_19_P_3_city_blur5_gamma1.649_equalization1.659.jpg,Ignore,2025-12-22T22:48:33.191,92.51060032844543,5551,11101,,,P,3,None,1,Correct Rejection,正解(スルー成功)
108_0_39,108,0,39,F:\pictures_verify\transformed_verify\roomDark_figureBright\3_tanto.png,blur,2.0,contrast,1.383,sharpness,1.759,Ignore,T,3,Master_0_11_T_3_tanto_blur2_contrast1.383_sharpness1.759.jpg,Ignore,2025-12-22T22:48:35.684,95.00383830070496,5700,11400,,,T,3,None,1,Correct Rejection,正解(スルー成功)
108_0_40,108,0,40,F:\pictures_verify\transformed_verify\roomDark_figureBright\4_tanto.png,brightness,19.0,equalization,2.297,sharpness,1.057,Mismatch,6,4,Master_0_26_6_4_tanto_brightness19_equalization2.297_sharpness1.057.jpg,Mismatch,2025-12-22T22:48:38.193,97.51229095458984,5851,11701,2025-12-22 22:48:38.534569,0.34154677391052246,6,4,b,1,Correct Rejection,正解(不一致)
108_0_41,108,0,41,F:\pictures_verify\transformed_verify\roomDark_figureBright\8_tunnel.png,blur,5.0,sharpness,1.338,brightness,13.0,Ignore,J,8,Master_0_10_J_8_tunnel_blur5_sharpness1.338_brightness13.jpg,Ignore,2025-12-22T22:48:40.680,100.00002646446228,6000,12000,2025-12-22 22:48:41.923043,1.2422842979431152,J,8,t,0,False Alarm,お手つき(スルー失敗)
108_0_42,108,0,42,F:\pictures_verify\transformed_verify\roomDark_figureBright\2_light.png,sharpness,0.378,blur,1.0,equalization,3.618,Match,2,2,Master_0_12_2_2_light_sharpness0.378_blur1_equalization3.618.jpg,Match,2025-12-22T22:48:43.178,102.49750304222107,6150,12300,2025-12-22 22:48:44.337568,1.1593329906463623,2,2,b,0,Miss,ミス(見逃し)
108_0_43,108,0,43,F:\pictures_verify\transformed_verify\roomDark_figureBright\4_light.png,contrast,0.908,equalization,1.036,blur,5.0,Ignore,U,4,Master_0_13_U_4_light_contrast0.908_equalization1.036_blur5.jpg,Ignore,2025-12-22T22:48:45.678,104.99741864204407,6300,12600,2025-12-22 22:48:47.481869,1.803718090057373,U,4,b,0,False Alarm,お手つき(スルー失敗)
108_0_44,108,0,44,F:\pictures_verify\transformed_verify\roomDark_figureBright\5_tunnel.png,equalization,2.983,gamma,1.246,blur,2.0,Ignore,J,5,Master_0_5_J_5_tunnel_equalization2.983_gamma1.246_blur2.jpg,Ignore,2025-12-22T22:48:48.204,107.52421450614929,6451,12903,2025-12-22 22:48:50.087614,1.8826673030853271,J,5,t,0,False Alarm,お手つき(スルー失敗)
108_0_45,108,0,45,F:\pictures_verify\transformed_verify\roomDark_figureBright\1_tanto.png,equalization,2.393,gamma,1.654,sharpness,1.959,Mismatch,0,1,Master_0_32_0_1_tanto_equalization2.393_gamma1.654_sharpness1.959.jpg,Mismatch,2025-12-22T22:48:50.682,110.00182509422302,6600,13200,2025-12-22 22:48:52.030333,1.3477764129638672,0,1,b,1,Correct Rejection,正解(不一致)
108_0_46,108,0,46,F:\pictures_verify\transformed_verify\roomDark_figureBright\5_light.png,brightness,9.0,gamma,1.103,blur,4.0,Ignore,S,5,Master_0_15_S_5_light_brightness9_gamma1.103_blur4.jpg,Ignore,2025-12-22T22:48:53.186,112.5055525302887,6750,13501,,,S,5,None,1,Correct Rejection,正解(スルー成功)
108_0_47,108,0,47,F:\pictures_verify\transformed_verify\roomDark_figureBright\7_tanto.png,equalization,3.864,contrast,0.88,sharpness,0.081,Ignore,G,7,Master_0_3_G_7_tanto_equalization3.864_contrast0.88_sharpness0.081.jpg,Ignore,2025-12-22T22:48:55.692,115.01210379600525,6901,13801,,,G,7,None,1,Correct Rejection,正解(スルー成功)
108_0_48,108,0,48,F:\pictures_verify\transformed_verify\roomDark_figureBright\5_tunnel.png,contrast,0.811,sharpness,0.369,blur,2.0,Ignore,C,5,Master_0_34_C_5_tunnel_contrast0.811_sharpness0.369_blur2.jpg,Ignore,2025-12-22T22:48:58.184,117.50344920158386,7050,14100,2025-12-22 22:48:58.786799,0.6026177406311035,C,5,t,0,False Alarm,お手つき(スルー失敗)
