trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S112_9_11,S112,9,11,U,filler,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,,,,,,,M_9_45_U_filler_5_night_sun_busy_ORIG.jpg,Ignore,2026-01-12T10:19:05.830,1768180745.830649,26.0817928314209,1565,3130,,,U,5,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,3130,3.406,3.593,3.4995000000000003,10355.212,0.09656972739911071,3.4192,3.5227999999999993,3.4709999999999996,4895.7998125,0.0,,
S112_9_12,S112,9,12,1,unmatch,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_9_39_1_unmatch_3_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Mismatch,2026-01-12T10:19:08.435,1768180748.435779,28.686923265457157,1721,3442,2026-01-12T10:19:09.959,1.523266077041626,1,3,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S112\9\M_9_39_1_unmatch_3_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,M_9_39_1_unmatch_3_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,3442,3.716,3.973,3.8445,11414.997,0.08760405280877429,3.7418,4.0084,3.8750999999999998,5422.62175,0.0,2.7516023567922296,3521.0
S112_9_13,S112,9,13,I,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,brightness,46.88,,,,,M_9_30_I_filler_1_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-12T10:19:11.043,1768180751.0434382,31.29458236694336,1878,3755,,,I,1,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,3755,3.101,3.181,3.141,9607.899,0.10408102749622992,3.1201999999999996,3.1874,3.1537999999999995,4659.831476190477,0.0,,
S112_9_14,S112,9,14,J,filler,7,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,brightness,45.47,,,,,M_9_36_J_filler_7_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-12T10:19:13.645,1768180753.645615,33.896759271621704,2034,4068,,,J,7,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,4068,3.324,3.775,3.5495,4698.938,0.2128140443649182,3.3496,3.7876,3.5686,4930.080133333334,0.0,,
S112_9_15,S112,9,15,7,unmatch,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_9_16_7_unmatch_4_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Mismatch,2026-01-12T10:19:16.248,1768180756.2488737,36.50001764297485,2190,4380,2026-01-12T10:19:17.658,1.4092886447906494,7,4,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S112\9\M_9_16_7_unmatch_4_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,M_9_16_7_unmatch_4_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,4380,3.7,4.06,3.88,5100.32,0.1960661291840512,3.6963999999999997,4.031,3.8636999999999997,5421.023766666667,0.0,5.1237389976877905,4601.0
S112_9_16,S112,9,16,L,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,brightness,35.62,,,,,M_9_15_L_filler_9_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-12T10:19:18.861,1768180758.861282,39.11242604255676,2347,4693,,,L,9,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,4693,3.209,3.414,3.3115,2682.115,0.3728400907492781,3.2058,3.4170000000000003,3.3114,2616.1812000000004,0.0,,
S112_9_17,S112,9,17,P,filler,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\4_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_9_20_P_filler_4_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-12T10:19:21.466,1768180761.4663885,41.71753263473511,2503,5006,,,P,4,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,5006,3.536,3.876,3.706,5873.754,0.1702488732078327,3.4810000000000003,3.8938,3.6874000000000002,5862.822368749999,0.0,,
S112_9_18,S112,9,18,6,unmatch,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\9_night_sun_empty.jpg,brightness,46.88,,,,,M_9_19_6_unmatch_9_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Mismatch,2026-01-12T10:19:24.081,1768180764.081193,44.33233714103699,2660,5320,2026-01-12T10:19:25.324,1.2432470321655271,6,9,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S112\9\M_9_19_6_unmatch_9_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,M_9_19_6_unmatch_9_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,5320,3.614,3.996,3.8049999999999997,4795.383,0.20853391689464637,3.6130000000000004,4.028999999999999,3.8209999999999997,4593.1229,0.0,2.2068698602413814,5372.0
S112_9_19,S112,9,19,Q,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\2_night_sun_busy.jpg,brightness,43.12,,,,,M_9_44_Q_filler_2_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-12T10:19:26.695,1768180766.6955357,46.94667983055115,2817,5634,,,Q,2,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,5634,3.349,3.58,3.4645,4013.293,0.24917193935254664,3.3811999999999998,3.5585999999999998,3.4699,3994.8142,0.0,,
S112_9_20,S112,9,20,7,unmatch,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_9_35_7_unmatch_0_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Mismatch,2026-01-12T10:19:29.306,1768180769.3068032,49.557947397232056,2973,5947,2026-01-12T10:19:30.492,1.185834884643555,7,0,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S112\9\M_9_35_7_unmatch_0_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,M_9_35_7_unmatch_0_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,5947,3.358,3.725,3.5415,8327.565,0.12008312153672772,3.3586,3.7462000000000004,3.5524000000000004,5108.3788,0.0,7.419808929902158,6114.0
