condition,metric,image_key,F,p,df1,df2,eta_sq,n_total,n_original,n_brightonly,n_model
dark,RT,sun_empty,0.09357168388602885,0.910692812923386,2.0,397.0,0.00047117176599740856,400,130,160,110
dark,RT,sun_busy,0.009054357939288493,0.9909867149951348,2.0,395.0,4.584274867155906e-05,398,129,90,179
dark,RT,rain_empty,0.12732033011353422,0.8804875285891665,2.0,397.0,0.0006410010964349316,400,100,130,170
dark,RT,rain_busy,0.09451256366743868,0.909836872399618,2.0,395.0,0.0004783157307416943,398,139,119,140
dark,RT,ALL,0.14182444557349771,0.8677845404070044,2.0,1593.0,0.00017802786800981732,1596,498,499,599
