day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-09-02,15:02:15.582397,f,2.195862293243408,2.085819959640503,1_S_sharpness0.18_contrast1.2_equalization16.0.jpg,2,1,S,1.2,0,0.18,0,16.0
2023-09-02,15:02:47.801283,t,34.414748191833496,1.7862534523010254,14_S_sharpness0.27_contrast1.2_brightness20.0.jpg,4,14,S,1.2,0,0.27,20.0,0
2023-09-02,15:02:52.473205,t,39.08667016029358,1.4130022525787354,16_C_sharpness0.32_gamma0.97_equalization26.0.jpg,4,16,C,0,0.97,0.32,0,26.0
2023-09-02,15:03:10.078478,f,56.69194340705872,1.5135266780853271,23_8_brightness30.0_gamma0.81_sharpness0.38.jpg,4,23,8,0,0.81,0.38,30.0,0
2023-09-02,15:03:24.926429,f,71.5398941040039,1.395246982574463,29_9_sharpness0.41_gamma1.0_brightness6.1.jpg,4,29,9,0,1.0,0.41,6.1,0
2023-09-02,15:03:47.314991,f,93.92845678329468,1.3186399936676023,38_3_sharpness0.49_gamma0.58_equalization24.0.jpg,4,38,3,0,0.58,0.49,0,24.0
2023-09-02,15:04:00.625456,f,107.23892116546632,2.068826913833618,43_0_sharpness0.51_contrast1.1_equalization17.0.jpg,4,43,0,1.1,0,0.51,0,17.0
