番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
29161,4456668,6560825744,,,,,,1054.724,617.936,1101.650,-906.401,7650.418,,Both,1020.931,705.157,41.682,-112.981,450.000,0.142975,-0.112916,0.983264,-33.000,-54.000,-63.600,3.381,163.406,101.031,26.781,26.578,12.875,Auto,163.031,108.656,1590,10,320,240,1.000,,Both,1091.695,671.900,90.091,-90.230,450.000,0.110207,-0.069939,0.991445,33.000,-54.000,-63.600,3.368,99.547,164.984,26.672,25.484,12.234,Auto,102.734,172.422,10,10,320,240,1.000
29162,4456669,6560826494,,,,,,1055.397,618.144,1038.662,-850.819,7162.154,,Both,1021.773,705.192,42.258,-113.005,450.000,0.144054,-0.112945,0.983103,-33.000,-54.000,-63.600,3.318,163.391,100.953,26.281,25.906,7.656,Auto,163.063,108.594,1590,10,320,240,0.000,,Both,1092.241,671.857,90.464,-90.201,450.000,0.110919,-0.069877,0.991370,33.000,-54.000,-63.600,3.454,99.578,164.969,27.359,25.688,4.391,Auto,102.781,172.406,10,10,320,240,0.000
29163,4456670,6560827244,,,,,,1057.078,614.291,1300.053,-994.896,8809.347,,Both,1022.451,704.008,42.722,-112.195,450.000,0.144948,-0.111399,0.983148,-33.000,-54.000,-63.600,3.325,163.359,100.891,26.344,25.953,19.406,Auto,163.078,108.594,1590,10,320,240,1.000,,Both,1095.132,669.221,92.441,-88.398,450.000,0.114714,-0.066383,0.991178,33.000,-54.000,-63.600,3.356,99.500,164.844,26.578,25.578,11.297,Auto,102.844,172.406,10,10,320,240,1.000
29164,4456671,6560827994,,,,,,1056.791,615.418,1279.896,-997.275,8698.505,,Both,1021.716,706.350,42.219,-113.797,450.000,0.143956,-0.114442,0.982944,-33.000,-54.000,-63.600,3.378,163.469,101.063,26.766,26.516,77.016,Auto,163.141,108.641,1590,10,320,240,0.000,,Both,1094.458,669.922,91.981,-88.878,450.000,0.113829,-0.067312,0.991217,33.000,-54.000,-63.600,3.413,99.625,164.922,27.031,25.813,4.109,Auto,102.938,172.453,10,10,320,240,0.000
29165,4456672,6560828744,,,,,,1058.794,612.579,1312.997,-964.594,8742.482,,Both,1023.287,704.979,43.293,-112.859,450.000,0.145999,-0.112636,0.982852,-33.000,-54.000,-63.600,3.317,163.484,101.031,26.266,26.000,25.031,Auto,163.234,108.688,1590,10,320,240,1.000,,Both,1097.442,667.998,94.022,-87.562,450.000,0.117735,-0.064753,0.990932,33.000,-54.000,-63.600,3.427,99.609,164.859,27.141,25.484,0.813,Auto,103.063,172.484,10,10,320,240,1.000
29166,4456673,6560829494,,,,,,1057.269,617.272,1122.979,-892.108,7594.502,,Both,1023.821,704.410,43.659,-112.470,450.000,0.146696,-0.111889,0.982833,-33.000,-54.000,-63.600,3.336,163.547,101.031,26.422,26.281,56.828,Auto,163.328,108.719,1590,10,320,240,0.000,,Both,1093.778,670.197,91.515,-89.065,450.000,0.112940,-0.067679,0.991294,33.000,-54.000,-63.600,3.461,99.813,164.953,27.422,25.906,11.281,Auto,103.078,172.484,10,10,320,240,0.000
29167,4456674,6560830244,,,,,,1057.610,615.973,1317.638,-1025.561,8879.850,,Both,1023.564,704.611,43.483,-112.608,450.000,0.146362,-0.112155,0.982853,-33.000,-54.000,-63.600,3.335,163.547,101.000,26.422,26.297,158.734,Auto,163.313,108.672,1590,10,320,240,1.000,,Both,1095.754,671.112,92.867,-89.691,450.000,0.115504,-0.068861,0.990917,33.000,-54.000,-63.600,3.372,99.703,164.984,26.719,25.688,9.281,Auto,103.063,172.453,10,10,320,240,1.000
29168,4456675,6560830994,,,,,,1057.947,617.025,1262.677,-992.960,8480.185,,Both,1023.517,706.934,43.451,-114.197,450.000,0.146252,-0.115158,0.982522,-33.000,-54.000,-63.600,3.348,163.469,101.063,26.516,26.156,9.031,Auto,163.234,108.625,1590,10,320,240,0.000,,Both,1093.848,668.968,91.563,-88.225,450.000,0.113043,-0.066063,0.991391,33.000,-54.000,-63.600,3.436,99.703,164.813,27.219,25.891,179.859,Auto,102.984,172.391,10,10,320,240,0.000
29169,4456676,6560831744,,,,,,1056.640,616.608,1244.099,-986.215,8468.415,,Both,1022.626,704.899,42.842,-112.805,450.000,0.145154,-0.112547,0.982987,-33.000,-54.000,-63.600,3.323,163.391,100.891,26.313,26.047,51.156,Auto,163.109,108.547,1590,10,320,240,1.000,,Both,1091.868,667.695,90.208,-87.354,450.000,0.110473,-0.064409,0.991790,33.000,-54.000,-63.600,3.470,99.750,164.688,27.484,26.141,3.016,Auto,102.938,172.344,10,10,320,240,1.000
29170,4456677,6560832494,,,,,,1057.073,614.205,1274.605,-974.342,8637.392,,Both,1022.034,704.974,42.436,-112.856,450.000,0.144393,-0.112657,0.983086,-33.000,-54.000,-63.600,3.343,163.344,100.891,26.484,26.063,54.703,Auto,163.031,108.531,1590,10,320,240,0.000,,Both,1094.332,667.980,91.894,-87.549,450.000,0.113683,-0.064760,0.991404,33.000,-54.000,-63.600,3.465,99.656,164.734,27.453,25.688,8.188,Auto,102.953,172.359,10,10,320,240,0.000
29171,4456678,6560833244,,,,,,1057.191,615.998,1272.497,-995.025,8612.608,,Both,1023.223,704.284,43.250,-112.384,450.000,0.145933,-0.111740,0.982964,-33.000,-54.000,-63.600,3.311,163.313,100.844,26.219,25.969,44.281,Auto,163.063,108.531,1590,10,320,240,1.000,,Both,1093.413,668.412,91.266,-87.844,450.000,0.112482,-0.065336,0.991503,33.000,-54.000,-63.600,3.493,99.766,164.797,27.672,26.141,8.250,Auto,103.016,172.422,10,10,320,240,1.000
29172,4456679,6560833994,,,,,,1058.640,614.070,1277.816,-959.519,8521.520,,Both,1023.795,704.900,43.641,-112.805,450.000,0.146652,-0.112523,0.982767,-33.000,-54.000,-63.600,3.304,163.375,100.859,26.172,25.953,70.078,Auto,163.156,108.531,1590,10,320,240,0.000,,Both,1095.243,666.698,92.517,-86.672,450.000,0.114883,-0.063065,0.991375,33.000,-54.000,-63.600,3.483,99.750,164.750,27.594,26.188,8.063,Auto,103.094,172.438,10,10,320,240,0.000
29173,4456680,6560834744,,,,,,1057.763,614.880,1284.951,-984.188,8645.994,,Both,1023.465,704.077,43.415,-112.242,450.000,0.146247,-0.111467,0.982948,-33.000,-54.000,-63.600,3.315,163.469,100.797,26.266,25.953,20.188,Auto,163.234,108.500,1590,10,320,240,1.000,,Both,1094.578,667.988,92.063,-87.554,450.000,0.114004,-0.064767,0.991367,33.000,-54.000,-63.600,3.476,99.828,164.766,27.531,26.000,8.969,Auto,103.141,172.406,10,10,320,240,1.000
29174,4456681,6560835494,,,,,,1059.016,613.506,1300.307,-965.296,8638.577,,Both,1024.167,704.407,43.896,-112.468,450.000,0.147139,-0.111878,0.982768,-33.000,-54.000,-63.600,3.348,163.438,100.813,26.516,26.375,81.734,Auto,163.234,108.500,1590,10,320,240,0.000,,Both,1096.462,667.252,93.351,-87.051,450.000,0.116465,-0.063782,0.991145,33.000,-54.000,-63.600,3.474,99.797,164.656,27.516,26.047,13.359,Auto,103.188,172.313,10,10,320,240,0.000
29175,4456682,6560836244,,,,,,1057.479,614.733,1319.107,-1011.298,8901.643,,Both,1023.511,702.950,43.447,-111.471,450.000,0.146330,-0.110008,0.983100,-33.000,-54.000,-63.600,3.338,163.469,100.719,26.438,26.250,41.203,Auto,163.234,108.484,1590,10,320,240,1.000,,Both,1095.653,669.824,92.798,-88.810,450.000,0.115387,-0.067171,0.991047,33.000,-54.000,-63.600,3.503,99.906,164.688,27.750,26.484,9.813,Auto,103.266,172.219,10,10,320,240,1.000
29176,4456683,6560836994,,,,,,1058.327,609.577,1328.839,-940.299,8890.060,,Both,1022.628,701.853,42.843,-110.721,450.000,0.145220,-0.108607,0.983420,-33.000,-54.000,-63.600,3.339,163.516,100.672,26.453,26.219,35.453,Auto,163.250,108.484,1590,10,320,240,0.000,,Both,1097.985,666.235,94.393,-86.355,450.000,0.118459,-0.062429,0.990995,33.000,-54.000,-63.600,3.381,99.828,164.500,26.781,25.531,178.094,Auto,103.297,172.203,10,10,320,240,0.000
29177,4456684,6560837744,,,,,,1057.832,612.979,1347.268,-1005.008,9058.916,,Both,1023.495,702.034,43.436,-110.845,450.000,0.146328,-0.108824,0.983232,-33.000,-54.000,-63.600,3.319,163.516,100.656,26.297,25.734,69.266,Auto,163.281,108.469,1590,10,320,240,1.000,,Both,1097.418,669.904,94.006,-88.865,450.000,0.117684,-0.067257,0.990771,33.000,-54.000,-63.600,3.465,99.844,164.625,27.453,26.141,12.609,Auto,103.297,172.156,10,10,320,240,1.000
29178,4456685,6560838494,,,,,,1059.698,608.311,1380.237,-945.707,9106.947,,Both,1023.774,701.507,43.626,-110.484,450.000,0.146696,-0.108135,0.983253,-33.000,-54.000,-63.600,3.438,163.500,100.625,27.234,26.891,17.313,Auto,163.297,108.469,1590,10,320,240,0.000,,Both,1101.236,667.351,96.617,-87.118,450.000,0.122675,-0.063863,0.990390,33.000,-54.000,-63.600,3.340,99.672,164.453,26.453,25.297,12.656,Auto,103.297,172.094,10,10,320,240,0.000
29179,4456686,6560839244,,,,,,1057.046,616.399,797.507,-627.834,5405.816,,Both,1024.133,701.946,43.873,-110.784,450.000,0.147148,-0.108696,0.983124,-33.000,-54.000,-63.600,3.344,163.438,100.641,26.484,26.078,71.547,Auto,163.250,108.469,1590,10,320,240,1.000,,Both,1095.678,672.353,92.815,-90.541,450.000,0.115393,-0.070493,0.990815,33.000,-54.000,-63.600,3.429,99.891,164.563,27.156,26.063,13.531,Auto,103.266,171.969,10,10,320,240,1.000
29180,4456687,6560839994,,,,,,1059.139,611.513,1422.628,-1026.198,9439.555,,Both,1025.601,698.763,44.876,-108.607,450.000,0.149093,-0.104544,0.983281,-33.000,-54.000,-63.600,3.348,163.281,100.438,26.516,25.922,93.969,Auto,163.156,108.438,1590,10,320,240,0.000,,Both,1100.784,671.082,96.308,-89.671,450.000,0.122048,-0.068768,0.990139,33.000,-54.000,-63.600,3.317,99.578,164.297,26.281,25.172,173.219,Auto,103.188,171.750,10,10,320,240,0.000
29181,4456688,6560840744,,,,,,1057.927,607.062,1363.681,-933.872,9160.433,,Both,1021.793,699.935,42.271,-109.409,450.000,0.144188,-0.106140,0.983841,-33.000,-54.000,-63.600,3.410,163.406,100.484,27.016,26.953,148.828,Auto,163.078,108.391,1590,10,320,240,1.000,,Both,1099.633,666.461,95.520,-86.510,450.000,0.120600,-0.062710,0.990719,33.000,-54.000,-63.600,3.277,99.641,163.938,25.953,25.344,23.984,Auto,103.188,171.641,10,10,320,240,1.000
29182,4456689,6560841494,,,,,,1056.465,613.185,1399.977,-1062.107,9546.676,,Both,1022.683,700.341,42.881,-109.686,450.000,0.145323,-0.106648,0.983620,-33.000,-54.000,-63.600,3.368,163.406,100.500,26.672,26.297,54.734,Auto,163.141,108.391,1590,10,320,240,0.000,,Both,1098.553,673.916,94.782,-91.609,450.000,0.119117,-0.072512,0.990229,33.000,-54.000,-63.600,3.392,99.734,164.313,26.875,25.969,16.922,Auto,103.250,171.625,10,10,320,240,0.000
29183,4456690,6560842244,,,,,,1057.730,617.581,569.529,-452.109,3833.457,,Both,1025.733,701.139,44.967,-110.232,450.000,0.149213,-0.107618,0.982931,-33.000,-54.000,-63.600,3.413,163.375,100.547,27.031,26.625,14.328,Auto,163.250,108.422,1590,10,320,240,1.000,,Both,1096.097,673.168,93.102,-91.098,450.000,0.115930,-0.071558,0.990676,33.000,-54.000,-63.600,3.400,99.969,164.375,26.922,26.156,5.406,Auto,103.375,171.734,10,10,320,240,1.000
29184,4456691,6560842994,,,,,,1057.666,619.659,448.817,-366.064,3022.927,,Both,1026.370,701.630,45.403,-110.568,450.000,0.150019,-0.108239,0.982740,-33.000,-54.000,-63.600,3.364,163.406,100.578,26.656,26.047,77.984,Auto,163.328,108.438,1590,10,320,240,0.000,,Both,1093.870,672.291,91.579,-90.498,450.000,0.113039,-0.070430,0.991091,33.000,-54.000,-63.600,3.411,100.188,164.688,27.016,26.141,1.828,Auto,103.469,172.109,10,10,320,240,0.000
29185,4456692,6560843744,,,,,,1056.699,630.540,273.152,-255.754,1858.160,,Both,1028.802,704.563,47.066,-112.575,450.000,0.153063,-0.111978,0.981852,-33.000,-54.000,-63.600,3.328,163.375,100.719,26.359,25.969,66.344,Auto,163.422,108.422,1590,10,320,240,1.000,,Both,1094.103,685.966,91.738,-99.853,450.000,0.113180,-0.088352,0.989638,33.000,-54.000,-63.600,3.310,100.172,165.531,26.219,25.078,124.969,Auto,103.500,172.250,10,10,320,240,1.000
29186,4456693,6560844494,,,,,,1052.576,653.341,161.838,-198.140,1149.972,,Both,1031.883,709.233,49.174,-115.769,450.000,0.156884,-0.117929,0.980551,-33.000,-54.000,-63.600,3.379,163.141,100.844,26.766,26.094,7.297,Auto,163.344,108.313,1590,10,320,240,0.000,,Both,1087.125,706.838,86.964,-114.131,450.000,0.103793,-0.115656,0.987852,33.000,-54.000,-63.600,3.425,100.531,166.172,27.125,24.438,85.031,Auto,103.547,171.875,10,10,320,240,0.000
29187,4456694,6560845244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,1.000,,,,,,,,,,,,,,,,,,,,Auto,,,10,10,320,240,1.000
29188,4456695,6560845994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto,,,1590,10,320,240,0.000,,Pupil,1756.784,1112.203,545.067,-391.435,450.000,0.640154,-0.421839,0.642070,33.000,-54.000,-63.600,8.829,52.469,190.469,69.938,42.797,55.609,Auto,,,10,10,320,240,0.000
