day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-08-26,18:00:18.709148,t,23.85616159439087,1.247046947479248,10_E_gamma1.1_equalization16.0.jpg,4,10,E,0,1.1,0,0,16.0
2023-08-26,18:00:28.733431,f,33.88044452667236,1.2755277156829834,14_1_gamma0.55_equalization12.0.jpg,4,14,1,0,0.55,0,0,12.0
2023-08-26,18:00:46.236689,f,51.383702516555786,1.2499701976776123,21_J_gamma0.81_sharpness0.62_equalization9.7.jpg,4,21,J,0,0.81,0.62,0,9.7
2023-08-26,18:01:01.003566,f,66.1505799293518,1.0553832054138184,27_9_brightness22.0_gamma0.91.jpg,4,27,9,0,0.91,0,22.0,0
2023-08-26,18:01:16.315144,t,81.44867324829102,1.358321189880371,33_T_brightness7.8_gamma0.53.jpg,4,33,T,0,0.53,0,7.8,0
2023-08-26,18:01:46.153975,t,111.3009889125824,1.196192979812622,45_8_brightness13.0_sharpness0.41.jpg,4,45,8,0,0,0.41,13.0,0
