day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-08-26,17:41:43.455244,t,8.938057661056519,1.338630199432373,4_P_sharpness0.13_gamma0.56.jpg,1,4,P,0,0.56,0.13,0,0
2023-08-26,17:41:45.843446,f,11.32625961303711,1.2221803665161133,5_Q_brightness21.0_sharpness0.87_contrast0.9.jpg,4,5,Q,0.9,0,0.87,21.0,0
2023-08-26,17:41:53.129827,t,18.612640857696533,1.0066297054290771,8_3_sharpness0.67_brightness2.1_contrast1.1.jpg,4,8,3,1.1,0,0.67,2.1,0
2023-08-26,17:42:05.775955,f,31.258768320083615,1.1538286209106443,13_P_gamma0.74_contrast0.91.jpg,1,13,P,0.91,0.74,0,0,0
2023-08-26,17:42:08.328732,f,33.8115451335907,1.148288011550903,14_7_sharpness0.45_gamma0.76_equalization7.3.jpg,4,14,7,0,0.76,0.45,0,7.3
2023-08-26,17:42:15.781734,f,41.2645480632782,1.1602704524993896,17_P_contrast1.1_equalization7.2.jpg,4,17,P,1.1,0,0,0,7.2
2023-08-26,17:42:20.911296,f,46.39410996437073,1.2974834442138672,19_B_gamma0.72_brightness23.0_contrast1.1.jpg,1,19,B,1.1,0.72,0,23.0,0
2023-08-26,17:42:23.787831,f,49.270644187927246,1.665112018585205,20_E_brightness12.0_contrast0.91_sharpness0.4.jpg,4,20,E,0.91,0,0.4,12.0,0
2023-08-26,17:42:33.293710,f,58.77652335166931,1.1610679626464844,24_0_gamma0.72_sharpness0.77.jpg,0,24,0,0,0.72,0.77,0,0
2023-08-26,17:42:35.769771,t,61.23712849617005,1.1310889720916748,25_I_sharpness0.85_gamma0.58_contrast1.2.jpg,4,25,I,1.2,0.58,0.85,0,0
2023-08-26,17:42:46.189467,f,71.65660262107849,1.5162370204925537,29_3_gamma0.77_sharpness0.85_equalization27.0.jpg,4,29,3,0,0.77,0.85,0,27.0
2023-08-26,17:42:55.888213,f,81.36648201942444,1.2501375675201416,33_0_sharpness0.32_gamma0.52.jpg,4,33,0,0,0.52,0.32,0,0
2023-08-26,17:43:13.491422,f,98.9742352962494,1.3628687858581543,40_J_brightness22.0_gamma0.59_contrast0.81.jpg,4,40,J,0.81,0.59,0,22.0,0
