condition,metric,image_key,n_subjects,F,p,eta_p2,mean_original,mean_brightonly,mean_model,sem_original,sem_brightonly,sem_model
bright,RT,sun_empty,5,2.1380084705889955,0.18035576610326765,0.3483228282974062,1.1951406796773276,1.1407795310020448,1.13874929189682,0.12104414344626184,0.1210260560367715,0.11982215818215693
bright,RT,sun_busy,5,0.4144510158319424,0.6741137054041816,0.09388506392880099,1.1658696688138521,1.1903307139873505,1.1723894986239347,0.1150569222981387,0.1270046918000761,0.12249357526821159
bright,RT,rain_empty,5,0.10510364142225923,0.9014537723121511,0.025603163915697117,1.17455997467041,1.1695939858754476,1.1619380801916122,0.10508549419016669,0.1236650713351921,0.11529244334514609
bright,RT,rain_busy,5,0.36099852680930433,0.7077766085515128,0.0827788692406247,1.1597848672133224,1.15739380972726,1.1821814610407904,0.12739695303245982,0.1015696760462295,0.12443090864039565
bright,RT,ALL,5,1.743334590971865,0.23527917789420874,0.30354048912843584,1.1733983364105225,1.1682033767700195,1.1605106433232624,0.11637509418657356,0.11769280770602272,0.11816095769395474
bright,miosis_rate,sun_empty,5,7.972272941679218,0.012460444304556556,0.6658946868748079,0.05661629752142074,0.09526044057670309,0.12005738641200296,0.01268973695252177,0.019195202741428854,0.013564668995799849
bright,miosis_rate,sun_busy,5,12.734408304989943,0.0032643635552919797,0.7609715308065442,0.07160873871241387,0.1110375553165032,0.1180972807932926,0.011870323623058766,0.0073966290401558474,0.009662389110817089
bright,miosis_rate,rain_empty,5,2.0614540159965733,0.18964120491783837,0.34009232942397344,0.018257430602435797,0.022905453341056543,0.06628353778072227,0.008513773726325542,0.028768666602284186,0.008210294879489937
bright,miosis_rate,rain_busy,5,25.81929601330332,0.00032378029945796935,0.8658586709017049,0.005809819385760284,0.07041812450438382,0.04872690230177727,0.015529844265318952,0.012659892026977338,0.013593866395746937
bright,miosis_rate,ALL,5,66.33383677775116,1.0461229464999799e-05,0.9431283691711622,0.03845659062858213,0.08105524919382052,0.08828742453782772,0.009660374728213137,0.006277576664606476,0.00820772660463351
bright,diopter,sun_empty,5,0.23038960190844313,0.7993159907016392,0.05446061086300613,5.50669542464347,5.655124348570498,5.694082179768999,0.4243479096175024,0.5085891273003923,0.5554986028074945
bright,diopter,sun_busy,5,0.10297547659653837,0.9033255215802681,0.02509775580768463,5.7863663501184535,5.896996609340471,5.778951322740824,0.26864060824593405,0.521176793063075,0.6214830872524769
bright,diopter,rain_empty,5,12.234101082211318,0.0036857594028662753,0.7536050823052322,4.919530232849497,5.915367887594156,5.471537997283477,0.33202832062678916,0.3719526485264591,0.23212739513250139
bright,diopter,rain_busy,5,1.334048440818945,0.3162366085103629,0.25010054850835334,5.635628913658066,5.172317043680561,6.069363516819043,0.6097050912473622,0.3796051820383323,0.6077781935413353
bright,diopter,ALL,5,3.0249634731463937,0.1051147552849863,0.4306020215919429,5.47353795272703,5.633635701220701,5.742055151422933,0.3686951210440554,0.39667174294361657,0.4634731735689425
