day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-08-31,21:16:29.573255,f,1.817338228225708,1.7225306034088137,1_E_gamma0.71_brightness2.6.jpg,1,1,E,0,0.71,0,2.6,0
2023-08-31,21:16:41.665180,f,13.909262895584106,1.2728271484375,6_C_brightness17.0_sharpness0.89.jpg,4,6,C,0,0,0.89,17.0,0
2023-08-31,21:16:56.465700,f,28.70978283882141,1.096996545791626,12_J_gamma0.7_contrast1.2.jpg,4,12,J,1.2,0.7,0,0,0
2023-08-31,21:17:09.273046,f,41.51712918281555,1.4011330604553225,17_1_sharpness0.24_brightness24.0.jpg,4,17,1,0,0,0.24,24.0,0
2023-08-31,21:17:29.011631,f,61.25571370124817,1.1397221088409424,25_E_sharpness0.98_brightness28.0_contrast0.94.jpg,4,25,E,0.94,0,0.98,28.0,0
2023-08-31,21:17:41.617896,f,73.86197924613953,1.238664627075195,30_2_sharpness0.37_contrast1.1_equalization17.0.jpg,4,30,2,1.1,0,0.37,0,17.0
2023-08-31,21:17:51.746030,f,83.99011325836182,1.3973205089569092,34_T_gamma0.54_contrast0.82_equalization4.8.jpg,4,34,T,0.82,0.54,0,0,4.8
2023-08-31,21:18:11.640180,t,103.88426280021667,1.2507469654083252,42_8_sharpness0.7_gamma0.91_equalization12.0.jpg,0,42,8,0,0.91,0.7,0,12.0
2023-08-31,21:18:14.111796,t,106.354838848114,1.2133581638336182,43_Q_gamma0.84_equalization12.0.jpg,4,43,Q,0,0.84,0,0,12.0
2023-08-31,21:18:26.550803,f,118.79488611221312,1.1915833950042725,48_T_contrast0.83_sharpness0.21_gamma0.98.jpg,1,48,T,0.83,0.98,0.21,0,0
