day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-08-31,22:06:52.353265,t,1.6001865863800049,1.4886281490325928,1_9_gamma0.6_sharpness0.48_equalization19.0.jpg,0,1,9,0,0.6,0.48,0,19.0
2023-08-31,22:07:22.142553,t,31.38947415351868,1.2947607040405271,13_1_sharpness0.19_gamma0.76.jpg,0,13,1,0,0.76,0.19,0,0
2023-08-31,22:07:24.696350,t,33.92765045166016,1.3020453453063965,14_C_gamma1.1_sharpness0.83_brightness18.0.jpg,2,14,C,0,1.1,0.83,18.0,0
2023-08-31,22:07:26.908397,f,36.15531897544861,1.0652649402618408,15_B_contrast0.81_brightness18.0.jpg,2,15,B,0.81,0,0,18.0,0
2023-08-31,22:07:29.446207,f,38.69312882423401,1.0761940479278564,16_P_contrast0.9_equalization13.0.jpg,4,16,P,0.9,0,0,0,13.0
2023-08-31,22:07:39.574919,f,48.82184028625488,1.2065637111663818,20_7_brightness5.6_contrast1.1_gamma1.1.jpg,0,20,7,1.1,1.1,0,5.6,0
2023-08-31,22:07:42.226994,t,51.47391533851624,1.336601972579956,21_Q_contrast0.92_sharpness0.4.jpg,4,21,Q,0.92,0,0.4,0,0
2023-08-31,22:07:46.881736,t,56.12865734100342,1.0123236179351809,23_3_sharpness0.00079_brightness0.077_contrast0.93.jpg,4,23,3,0.93,0,0.00079,0.077,0
2023-08-31,22:08:45.483365,f,114.72925400733948,2.11545991897583,46_1_brightness0.5_gamma0.79.jpg,4,46,1,0,0.79,0,0.5,0
