,Unnamed: 0.1,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
17,7,9600,9871,2.959431503372221,31,pictures\transformed\roomBright_figureDark\I.JPG,brightness,29.13616555208361,gamma,0.6358818128397628,contrast,1.080917923554763,1,32_I_brightness29.0_gamma0.64_contrast1.1.jpg,32,I,1.1,0.64,0.0,29.0,0.0,2023-08-24,21:36:29.626366,t,82.44439625740051,2.337923049926758,4,5.448228963013407
18,8,10500,10711,2.816768621009293,34,pictures\transformed\roomBright_figureDark\I.JPG,gamma,0.914146305121944,sharpness,0.5839543188179994,None,None,1,35_I_gamma0.91_sharpness0.58.jpg,35,I,0.0,0.91,0.58,0.0,0.0,2023-08-24,21:36:36.272126,f,89.09015655517578,1.490715503692627,4,0.6496185080626625
19,9,11700,11917,2.842736394383455,38,pictures\transformed\roomBright_figureDark\8.JPG,gamma,0.9821731462028538,brightness,13.66309758753502,contrast,1.167965167239604,2,39_8_gamma0.98_brightness14.0_contrast1.2.jpg,39,8,1.2,0.98,0.0,14.0,0.0,2023-08-24,21:36:46.184380,f,99.0004096031189,1.3829023838043213,4,0.038961572136470946
20,10,13800,13953,2.975493224911703,45,pictures\transformed\roomBright_figureDark\1.JPG,gamma,0.7396436685033575,sharpness,0.5522932718499822,brightness,5.552513359946497,0,46_1_gamma0.74_sharpness0.55_brightness5.6.jpg,46,1,0.0,0.74,0.55,5.6,0.0,2023-08-24,21:37:03.600742,t,116.41877222061156,1.319443702697754,4,-0.320470413530953
21,0,1800,1938,3.237055372256997,5,pictures\transformed\roomBright_figureDark\J.JPG,sharpness,0.3459014066235744,brightness,28.39622587184603,gamma,0.9933092210913728,2,6_J_sharpness0.35_brightness28.0_gamma0.99.jpg,6,J,0.0,0.99,0.35,28.0,0.0,2023-08-24,21:38:05.944723,f,16.376020431518555,1.2852630615234375,4,-0.5140706509521938
22,1,5700,5872,3.065127191208189,18,pictures\transformed\roomBright_figureDark\8.JPG,contrast,1.001928191529289,brightness,11.0537769034463,gamma,0.8804821931310203,0,19_8_contrast1.0_brightness11.0_gamma0.88.jpg,19,8,1.0,0.88,0.0,11.0,0.0,2023-08-24,21:38:38.696958,t,49.12825584411621,1.5026323795318604,4,0.7171160713772037
23,2,11100,11246,3.249815931042649,36,pictures\transformed\roomBright_figureDark\8.JPG,contrast,1.037816842374811,equalization,15.52282244658625,None,None,0,37_8_contrast1.0_equalization16.0.jpg,37,8,1.0,0.0,0.0,0.0,16.0,2023-08-24,21:39:23.509013,t,93.93775916099548,1.3507120609283447,4,-0.14336543921691103
24,3,12000,12170,2.5849696632659134,39,pictures\transformed\roomBright_figureDark\I.JPG,gamma,0.7637911787547652,contrast,0.9053148112249888,equalization,19.11204429711777,1,40_I_gamma0.76_contrast0.91_equalization19.0.jpg,40,I,0.91,0.76,0.0,0.0,19.0,2023-08-24,21:39:31.139752,f,101.57104992866516,1.4732518196105957,4,0.5507036466565142
25,0,600,778,2.592132587671265,1,pictures\transformed\roomBright_figureDark\3.JPG,sharpness,0.1728129421467981,gamma,0.6791053549289241,brightness,3.986718397491595,2,2_3_sharpness0.17_gamma0.68_brightness4.0.jpg,2,3,0.0,0.68,0.17,4.0,0.0,2023-08-24,21:41:06.531257,f,6.54667592048645,1.4394898414611816,4,0.3594747299079087
26,1,3000,3173,2.733534494433062,9,pictures\transformed\roomBright_figureDark\9.JPG,brightness,0.6894916274918039,gamma,0.7594351791978098,None,None,0,10_9_brightness0.69_gamma0.76.jpg,10,9,0.0,0.76,0.0,0.69,0.0,2023-08-24,21:41:26.365961,t,26.36587643623352,1.2567222118377686,4,-0.6757269302235542
