frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
900,1139,1.453393359273884,2,pictures\transformed\roomDark_figureBright\T.JPG,contrast,1.103415777143374,sharpness,0.5656204661741067,equalization,21.84968648118689,1,3_T_contrast1.103_sharpness0.566_equalization21.85.jpg,3,T,1.103,0.0,0.566,0.0,21.85
2400,2580,1.2979551395406783,7,pictures\transformed\roomDark_figureBright\7.JPG,brightness,15.13336039230278,contrast,1.019487485089918,sharpness,0.4775857216917619,0,8_7_brightness15.133_contrast1.019_sharpness0.478.jpg,8,7,1.019,0.0,0.478,15.133,0.0
3300,3450,1.490500396245762,10,pictures\transformed\roomDark_figureBright\B.JPG,brightness,10.621640005124,contrast,0.9072725550656676,gamma,0.7593940298679046,1,11_B_brightness10.622_contrast0.907_gamma0.759.jpg,11,B,0.907,0.759,0.0,10.622,0.0
4800,4950,1.4170901306379655,15,pictures\transformed\roomDark_figureBright\T.JPG,brightness,21.87804625583924,contrast,0.9012580906724734,sharpness,0.0204330516655317,2,16_T_brightness21.878_contrast0.901_sharpness0.02.jpg,16,T,0.901,0.0,0.02,21.878,0.0
11100,11304,1.5038331335343416,36,pictures\transformed\roomDark_figureBright\1.JPG,contrast,1.141097971489935,gamma,0.5874041178415891,equalization,7.500752426801292,0,37_1_contrast1.141_gamma0.587_equalization7.501.jpg,37,1,1.141,0.587,0.0,0.0,7.501
