condition,metric,image_key,F,p,df1,df2,eta_p2,n_subjects_complete
bright,diopter,sun_empty,0.23038960190844313,0.7993159907016392,2.0,8.0,0.05446061086300613,5
bright,diopter,sun_busy,0.10297547659653837,0.9033255215802681,2.0,8.0,0.02509775580768463,5
bright,diopter,rain_empty,12.234101082211318,0.0036857594028662753,2.0,8.0,0.7536050823052322,5
bright,diopter,rain_busy,1.334048440818945,0.3162366085103629,2.0,8.0,0.25010054850835334,5
bright,diopter,ALL,3.0249634731463937,0.1051147552849863,2.0,8.0,0.4306020215919429,5
