trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S101_8_12,S101,8,12,9,match,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\9_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_8_48_9_match_9_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Match,2026-01-08T12:42:25.186,1767843745.1861272,28.613543272018436,1717,3434,2026-01-08T12:42:26.293,1.107581377029419,9,9,t,1,Hit,正解(一致),3434,2.888,2.851,2.8695,9439.325,0.10593977853289296,2.9224,2.8318,2.8771,,0.0,2.105391952989428,3470.0
S101_8_13,S101,8,13,Q,filler,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\5_night_rain_empty.jpg,,,,,,,M_8_11_Q_filler_5_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T12:42:27.790,1767843747.7904832,31.21789932250977,1873,3746,,,Q,5,,1,Correct Rejection,正解(スルー成功),3746,3.141,3.169,3.1550000000000002,10044.858,0.09955342325396735,3.1496000000000004,3.0193333333333334,3.0844666666666667,,0.0,,
S101_8_14,S101,8,14,7,unmatch,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\2_night_rain_busy.jpg,,,,,,,M_8_26_7_unmatch_2_night_rain_busy_ORIG.jpg,Mismatch,2026-01-08T12:42:30.380,1767843750.3804088,33.8078248500824,2028,4057,2026-01-08T12:42:31.442,1.06168532371521,7,2,b,1,Correct Rejection,正解(不一致),4057,3.476,3.462,3.4690000000000003,9754.942,0.1025121420506652,3.433866666666667,3.4494,3.4416333333333333,,0.0,1.860983875754575,4109.0
S101_8_15,S101,8,15,F,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,brightness,45.47,,,,,M_8_25_F_filler_1_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T12:42:32.972,1767843752.9720235,36.39943957328797,2184,4368,,,F,1,,1,Correct Rejection,正解(スルー成功),4368,3.368,3.331,3.3495,10599.579,0.09434336967534276,3.3664,3.3314,3.3489,,0.0,,
S101_8_16,S101,8,16,2,unmatch,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\4_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_8_7_2_unmatch_4_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Mismatch,2026-01-08T12:42:35.573,1767843755.5737212,39.00113725662232,2340,4680,2026-01-08T12:42:36.618,1.045276403427124,2,4,b,1,Correct Rejection,正解(不一致),4680,3.279,3.249,3.2640000000000002,10597.634,0.09436068465848131,3.2835,3.244266666666667,3.2638833333333332,,0.0,2.1155345932200396,4730.0
S101_8_17,S101,8,17,L,filler,9,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\9_night_sun_busy.jpg,,,,,,,M_8_6_L_filler_9_night_sun_busy_ORIG.jpg,Ignore,2026-01-08T12:42:38.161,1767843758.1616058,41.58902192115784,2495,4991,,,L,9,,1,Correct Rejection,正解(スルー成功),4991,3.527,3.304,3.4154999999999998,10476.344,0.09545314663206936,3.4939999999999998,3.3006,3.3973,,0.0,,
S101_8_18,S101,8,18,D,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,brightness,46.88,,,,,M_8_32_D_filler_2_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T12:42:40.750,1767843760.7507288,44.17814493179321,2651,5301,,,D,2,,1,Correct Rejection,正解(スルー成功),5301,3.758,3.616,3.6870000000000003,13224.76,0.07561573896237059,3.7556,3.6450000000000005,3.7003000000000004,,0.0,,
S101_8_19,S101,8,19,7,match,7,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,brightness,43.12,,,,,M_8_20_7_match_7_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Match,2026-01-08T12:42:43.343,1767843763.343197,46.77061343193054,2806,5612,2026-01-08T12:42:44.540,1.1969902515411377,7,7,t,1,Hit,正解(一致),5612,3.586,3.475,3.5305,10517.886,0.0950761398250561,3.5704000000000002,3.5072,3.5388,,0.0,2.1706349633094235,5686.0
S101_8_20,S101,8,20,I,filler,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,,,,,,,M_8_42_I_filler_2_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T12:42:45.947,1767843765.9478748,49.3752908706665,2963,5925,,,I,2,,1,Correct Rejection,正解(スルー成功),5925,3.505,3.369,3.4370000000000003,10359.227,0.09653229917637676,3.5188,3.3348,3.4268,,0.0,,
S101_8_21,S101,8,21,4,unmatch,9,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\9_night_sun_busy.jpg,,,,,,,M_8_10_4_unmatch_9_night_sun_busy_ORIG.jpg,Mismatch,2026-01-08T12:42:48.569,1767843768.569362,51.99677801132202,3120,6240,2026-01-08T12:42:49.706,1.1367998123168943,4,9,b,1,Correct Rejection,正解(不一致),6240,3.793,3.644,3.7185,10763.69,0.09290494245003339,3.7644000000000006,3.6513999999999998,3.7079000000000004,,0.0,1.7977673392887716,6286.0
