trial_id,folder_name,file_name,trial,front,status,back,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used
S20_0_1,S20,0,1,D,filler,5,F:\pictures\original_data\roomBright_figureDark\Q.JPG,gamma,0.5185909795053556,sharpness,0.6387120572582067,equalization,11.82115030616628,S20_0_1_D_filler_5_Q_gamma0.519_sharpness0.639_equalization11.821.jpg,Ignore,2026-02-12T02:14:12.462,1770830052.4626496,0.0,0,0,2026-02-12T02:14:13.194,0.7319707870483398,D,5,t,0,False Alarm,お手つき(スルー失敗),1,normal_image_name,F:\experiment_images\Bright\S20\0\S20_0_1_D_filler_5_Q_gamma0.519_sharpness0.639_equalization11.821.jpg,S20_0_1_D_filler_5_Q_gamma0.519_sharpness0.639_equalization11.821.jpg
S20_0_2,S20,0,2,8,unmatch,3,F:\pictures\original_data\roomBright_figureDark\T.JPG,brightness,21.33664204215889,gamma,0.9793446001663384,sharpness,0.5874250476147861,S20_0_2_8_unmatch_3_T_brightness21.337_gamma0.979_sharpness0.587.jpg,Mismatch,2026-02-12T02:14:15.091,1770830055.0919657,2.6293160915374756,158,316,,,8,3,None,0,Omission,無反応(不正解),0,normal_image_name,F:\experiment_images\Bright\S20\0\S20_0_2_8_unmatch_3_T_brightness21.337_gamma0.979_sharpness0.587.jpg,S20_0_2_8_unmatch_3_T_brightness21.337_gamma0.979_sharpness0.587.jpg
S20_0_3,S20,0,3,A,filler,6,F:\pictures\original_data\roomBright_figureDark\3.JPG,brightness,25.47804109160104,contrast,1.052195036292817,sharpness,0.3458503011920409,S20_0_3_A_filler_6_3_brightness25.478_contrast1.052_sharpness0.346.jpg,Ignore,2026-02-12T02:14:17.733,1770830057.7331035,5.270453929901123,316,632,2026-02-12T02:14:19.198,1.4652183055877686,A,6,f,0,False Alarm,お手つき(スルー失敗),1,normal_image_name,F:\experiment_images\Bright\S20\0\S20_0_3_A_filler_6_3_brightness25.478_contrast1.052_sharpness0.346.jpg,S20_0_3_A_filler_6_3_brightness25.478_contrast1.052_sharpness0.346.jpg
S20_0_4,S20,0,4,R,filler,3,F:\pictures\original_data\roomBright_figureDark\S.JPG,brightness,1.949080968952127,contrast,0.9275916687023071,gamma,0.6049946837187037,S20_0_4_R_filler_3_S_brightness1.949_contrast0.928_gamma0.605.jpg,Ignore,2026-02-12T02:14:20.384,1770830060.3848207,7.922171115875244,475,951,,,R,3,None,1,Correct Rejection,正解(スルー成功),1,normal_image_name,F:\experiment_images\Bright\S20\0\S20_0_4_R_filler_3_S_brightness1.949_contrast0.928_gamma0.605.jpg,S20_0_4_R_filler_3_S_brightness1.949_contrast0.928_gamma0.605.jpg
S20_0_5,S20,0,5,6,match,6,F:\pictures\original_data\roomBright_figureDark\T.JPG,brightness,23.99495759413312,gamma,0.7334108622684468,sharpness,0.6273272667939053,S20_0_5_6_match_6_T_brightness23.995_gamma0.733_sharpness0.627.jpg,Match,2026-02-12T02:14:23.030,1770830063.0300348,10.567385196685791,634,1268,,,6,6,None,0,Omission,無反応(不正解),0,normal_image_name,F:\experiment_images\Bright\S20\0\S20_0_5_6_match_6_T_brightness23.995_gamma0.733_sharpness0.627.jpg,S20_0_5_6_match_6_T_brightness23.995_gamma0.733_sharpness0.627.jpg
S20_0_6,S20,0,6,E,filler,7,F:\pictures\original_data\roomBright_figureDark\P.JPG,brightness,14.50167438878351,contrast,0.9100226026078831,gamma,1.084455387414897,S20_0_6_E_filler_7_P_brightness14.502_contrast0.910_gamma1.084.jpg,Ignore,2026-02-12T02:14:25.665,1770830065.6656702,13.203020572662354,792,1584,,,E,7,None,1,Correct Rejection,正解(スルー成功),1,normal_image_name,F:\experiment_images\Bright\S20\0\S20_0_6_E_filler_7_P_brightness14.502_contrast0.910_gamma1.084.jpg,S20_0_6_E_filler_7_P_brightness14.502_contrast0.910_gamma1.084.jpg
S20_0_7,S20,0,7,0,unmatch,1,F:\pictures\original_data\roomBright_figureDark\I.JPG,contrast,1.050884987905814,gamma,0.5072027792785867,sharpness,0.8914406421396595,S20_0_7_0_unmatch_1_I_contrast1.051_gamma0.507_sharpness0.891.jpg,Mismatch,2026-02-12T02:14:28.300,1770830068.3004477,15.837798118591309,950,1901,,,0,1,None,0,Omission,無反応(不正解),0,normal_image_name,F:\experiment_images\Bright\S20\0\S20_0_7_0_unmatch_1_I_contrast1.051_gamma0.507_sharpness0.891.jpg,S20_0_7_0_unmatch_1_I_contrast1.051_gamma0.507_sharpness0.891.jpg
S20_0_8,S20,0,8,P,filler,1,F:\pictures\original_data\roomBright_figureDark\C.JPG,contrast,0.8839972549589844,gamma,1.061844585957499,equalization,15.77657065314559,S20_0_8_P_filler_1_C_contrast0.884_gamma1.062_equalization15.777.jpg,Ignore,2026-02-12T02:14:30.962,1770830070.9628599,18.500210285186768,1110,2220,,,P,1,None,1,Correct Rejection,正解(スルー成功),1,normal_image_name,F:\experiment_images\Bright\S20\0\S20_0_8_P_filler_1_C_contrast0.884_gamma1.062_equalization15.777.jpg,S20_0_8_P_filler_1_C_contrast0.884_gamma1.062_equalization15.777.jpg
S20_0_9,S20,0,9,0,match,0,F:\pictures\original_data\roomBright_figureDark\I.JPG,contrast,1.068692925993042,gamma,0.8243372107428262,equalization,15.40902197562441,S20_0_9_0_match_0_I_contrast1.069_gamma0.824_equalization15.409.jpg,Match,2026-02-12T02:14:33.719,1770830073.7193558,21.25670623779297,1275,2551,,,0,0,None,0,Omission,無反応(不正解),0,normal_image_name,F:\experiment_images\Bright\S20\0\S20_0_9_0_match_0_I_contrast1.069_gamma0.824_equalization15.409.jpg,S20_0_9_0_match_0_I_contrast1.069_gamma0.824_equalization15.409.jpg
S20_0_10,S20,0,10,R,filler,2,F:\pictures\original_data\roomBright_figureDark\0.JPG,contrast,1.081094800540453,sharpness,0.7548062074564719,equalization,10.99164438424045,S20_0_10_R_filler_2_0_contrast1.081_sharpness0.755_equalization10.992.jpg,Ignore,2026-02-12T02:14:36.964,1770830076.9649973,24.502347707748413,1470,2940,,,R,2,None,1,Correct Rejection,正解(スルー成功),1,normal_image_name,F:\experiment_images\Bright\S20\0\S20_0_10_R_filler_2_0_contrast1.081_sharpness0.755_equalization10.992.jpg,S20_0_10_R_filler_2_0_contrast1.081_sharpness0.755_equalization10.992.jpg
