,フレーム数,両眼.注視Z座標[mm]
0,190,6.0757755169264485
1,2889,6.012281752526673
2,4427,6.338857774680919
3,6206,5.936763934976828
4,6524,6.577393270334636
5,7760,5.570358767272896
6,8962,6.096944893628051
7,9525,6.09656937826713
8,10145,6.94899812411559
9,11933,6.835115727701383
10,12513,6.750521595361832
11,14029,7.7376390290169805
