trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S103_0_12,S103,0,12,4,match,4,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\4_night_rain_empty.jpg,brightness,35.62,,,,,M_0_9_4_match_4_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Match,2026-01-08T18:41:25.160,1767865285.16082,28.56758189201355,1714,3428,2026-01-08T18:41:26.169,1.0085821151733398,4,4,t,1,Hit,正解(一致),3428,6.379,6.099,6.239,16662.548,0.060014830865003366,6.3934,6.1226,6.258,,0.0,2.225023054816991,3478.0
S103_0_13,S103,0,13,D,filler,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\4_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_0_35_D_filler_4_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T18:41:27.764,1767865287.7649734,31.171735286712646,1870,3741,,,D,4,,1,Correct Rejection,正解(スルー成功),3741,6.208,5.987,6.0975,19868.754,0.050330282412274066,6.2054,5.9884,6.0969,,0.0,,
S103_0_14,S103,0,14,S,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\5_night_sun_busy.jpg,brightness,43.12,,,,,M_0_36_S_filler_5_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T18:41:30.353,1767865290.35365,33.760411977767944,2026,4051,,,S,5,,1,Correct Rejection,正解(スルー成功),4051,6.075,5.989,6.032,14850.061,0.06733979072543878,6.0784,6.0236,6.051,,0.0,,
S103_0_15,S103,0,15,3,unmatch,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_0_12_3_unmatch_0_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Mismatch,2026-01-08T18:41:32.974,1767865292.9741714,36.38093328475952,2183,4366,2026-01-08T18:41:33.957,0.9835145473480223,3,0,b,1,Correct Rejection,正解(不一致),4366,6.477,6.307,6.392,12480.236,0.08012668991195358,6.4686,6.2302,6.3494,,0.0,2.228068190020454,4428.0
S103_0_16,S103,0,16,P,filler,1,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\1_night_rain_empty.jpg,,,,,,,M_0_32_P_filler_1_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T18:41:35.568,1767865295.5681822,38.97494411468506,2338,4677,,,P,1,,1,Correct Rejection,正解(スルー成功),4677,6.341,6.201,6.271,15068.082,0.06636544717502864,6.3932,6.1488000000000005,6.271000000000001,,0.0,,
S103_0_17,S103,0,17,5,unmatch,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,,,,,,,M_0_48_5_unmatch_4_night_sun_busy_ORIG.jpg,Mismatch,2026-01-08T18:41:38.174,1767865298.1745744,41.58133625984192,2495,4990,2026-01-08T18:41:39.108,0.9334912300109864,5,4,b,1,Correct Rejection,正解(不一致),4990,6.62,6.272,6.446,18448.021,0.05420635633491527,6.638599999999999,6.2742,6.4564,,0.0,2.6431213372196156,5046.0
S103_0_18,S103,0,18,B,filler,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_0_1_B_filler_4_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-08T18:41:40.763,1767865300.763587,44.17034888267517,2650,5300,,,B,4,,1,Correct Rejection,正解(スルー成功),5300,6.688,6.379,6.5335,12197.951,0.0819809818878597,6.7006,6.366,6.5333,,0.0,,
S103_0_19,S103,0,19,7,unmatch,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,,,,,,,M_0_26_7_unmatch_3_night_rain_busy_ORIG.jpg,Mismatch,2026-01-08T18:41:43.352,1767865303.3527594,46.75952124595642,2806,5611,2026-01-08T18:41:44.430,1.0776097774505615,7,3,b,1,Correct Rejection,正解(不一致),5611,5.935,5.746,5.8405000000000005,19858.231,0.05035695274166163,5.9318,5.7432,5.8375,,0.0,2.236405413613669,5674.0
S103_0_20,S103,0,20,J,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\3_night_sun_empty.jpg,brightness,46.88,,,,,M_0_5_J_filler_3_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-08T18:41:45.955,1767865305.9557917,49.36255359649658,2962,5924,,,J,3,,1,Correct Rejection,正解(スルー成功),5924,6.468,6.077,6.2725,16393.592,0.060999444173064694,6.4488,6.068,6.2584,,0.0,,
S103_0_21,S103,0,21,9,match,9,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\9_night_rain_busy.jpg,,,,,,,M_0_6_9_match_9_night_rain_busy_ORIG.jpg,Match,2026-01-08T18:41:48.555,1767865308.5550258,51.96178770065308,3118,6235,2026-01-08T18:41:49.708,1.1530215740203855,9,9,t,1,Hit,正解(一致),6235,6.262,5.865,6.0634999999999994,19854.413,0.050366636374492665,6.2576,5.8988,6.0782,,0.0,2.2313614109965942,6279.0
