番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
13293,798564,600390115,,,,,,1030.146,567.425,1369.834,-535.568,12846.024,,Both,982.087,675.389,15.109,-92.617,450.000,0.091085,-0.074666,0.993040,-32.000,-54.000,-63.600,5.127,163.172,137.016,40.609,39.453,96.594,Auto,161.969,147.609,1590,10,320,240,1.000,,Both,1082.886,644.466,84.064,-71.464,450.000,0.100797,-0.033809,0.994332,32.000,-54.000,-63.600,4.198,165.797,134.016,33.250,31.297,108.953,Auto,163.469,142.781,10,10,320,240,1.000
13294,798565,600390865,,,,,,1029.350,569.585,1056.197,-450.575,10018.517,,Both,981.680,676.740,14.831,-93.542,450.000,0.090540,-0.076447,0.992954,-32.000,-54.000,-63.600,5.094,163.141,137.063,40.344,38.906,98.188,Auto,161.922,147.594,1590,10,320,240,0.000,,Both,1076.436,638.757,79.652,-67.558,450.000,0.092351,-0.026277,0.995380,32.000,-54.000,-63.600,4.431,166.109,133.656,35.094,33.625,139.578,Auto,163.484,142.797,10,10,320,240,0.000
13295,798566,600391615,,,,,,1030.756,565.648,1316.659,-477.263,12240.883,,Both,980.847,677.689,14.261,-94.191,450.000,0.089438,-0.077702,0.992957,-32.000,-54.000,-63.600,5.066,163.172,137.078,40.125,38.781,92.656,Auto,161.891,147.547,1590,10,320,240,1.000,,Both,1083.094,641.754,84.207,-69.608,450.000,0.101081,-0.030220,0.994419,32.000,-54.000,-63.600,4.244,165.797,133.859,33.625,32.250,116.172,Auto,163.469,142.781,10,10,320,240,1.000
13296,798567,600392365,,,,,,1031.682,566.307,1079.175,-396.052,9903.451,,Both,981.783,678.852,14.901,-94.986,450.000,0.090654,-0.079222,0.992726,-32.000,-54.000,-63.600,5.084,163.125,137.063,40.266,38.500,98.750,Auto,161.906,147.469,1590,10,320,240,0.000,,Both,1079.370,635.570,81.659,-65.378,450.000,0.096216,-0.022045,0.995116,32.000,-54.000,-63.600,4.554,165.953,133.453,36.078,34.641,155.781,Auto,163.469,142.750,10,10,320,240,0.000
13297,798568,600393115,,,,,,1030.670,567.462,1107.930,-430.530,10312.856,,Both,981.539,678.064,14.734,-94.447,450.000,0.090342,-0.078188,0.992837,-32.000,-54.000,-63.600,5.097,163.188,136.906,40.375,38.594,94.813,Auto,161.953,147.359,1590,10,320,240,1.000,,Both,1079.317,638.436,81.623,-67.338,450.000,0.096138,-0.025841,0.995033,32.000,-54.000,-63.600,4.566,165.953,133.578,36.156,34.641,163.734,Auto,163.453,142.719,10,10,320,240,1.000
13298,798569,600393865,,,,,,1030.988,566.761,1120.722,-422.498,10385.304,,Both,981.898,677.270,14.980,-93.904,450.000,0.090821,-0.077142,0.992875,-32.000,-54.000,-63.600,5.116,163.172,136.813,40.531,39.063,89.266,Auto,161.969,147.297,1590,10,320,240,0.000,,Both,1079.878,637.949,82.007,-67.005,450.000,0.096876,-0.025195,0.994978,32.000,-54.000,-63.600,4.449,165.969,133.484,35.234,33.828,143.516,Auto,163.500,142.641,10,10,320,240,0.000
13299,798570,600394615,,,,,,1029.794,564.022,1176.400,-404.893,11087.708,,Both,979.693,675.767,13.472,-92.876,450.000,0.087941,-0.075184,0.993284,-32.000,-54.000,-63.600,5.143,163.313,136.656,40.734,39.078,91.391,Auto,161.969,147.250,1590,10,320,240,1.000,,Both,1080.325,637.472,82.313,-66.679,450.000,0.097465,-0.024562,0.994936,32.000,-54.000,-63.600,4.558,166.000,133.406,36.109,34.859,157.328,Auto,163.563,142.578,10,10,320,240,1.000
13300,798571,600395365,,,,,,1029.130,567.623,1073.268,-428.864,10212.850,,Both,980.705,676.022,14.164,-93.050,450.000,0.089267,-0.075511,0.993141,-32.000,-54.000,-63.600,5.117,163.266,136.609,40.531,38.906,94.469,Auto,161.984,147.172,1590,10,320,240,0.000,,Both,1077.053,637.830,80.074,-66.924,450.000,0.093165,-0.025045,0.995336,32.000,-54.000,-63.600,4.575,166.219,133.359,36.234,35.234,158.500,Auto,163.625,142.547,10,10,320,240,0.000
13301,798572,600396115,,,,,,1029.745,565.821,1124.429,-416.287,10605.287,,Both,980.092,676.888,13.745,-93.643,450.000,0.088455,-0.076656,0.993126,-32.000,-54.000,-63.600,5.121,163.328,136.609,40.563,38.938,92.266,Auto,162.016,147.141,1590,10,320,240,1.000,,Both,1079.148,637.862,81.507,-66.946,450.000,0.095918,-0.025082,0.995073,32.000,-54.000,-63.600,4.643,166.172,133.328,36.781,35.234,154.266,Auto,163.672,142.500,10,10,320,240,1.000
13302,798573,600396865,,,,,,1029.503,563.603,1129.628,-383.610,10691.418,,Both,978.548,677.046,12.688,-93.751,450.000,0.086425,-0.076877,0.993288,-32.000,-54.000,-63.600,5.148,163.422,136.563,40.781,38.828,90.922,Auto,162.031,147.078,1590,10,320,240,0.000,,Both,1079.301,635.988,81.612,-65.664,450.000,0.096125,-0.022599,0.995113,32.000,-54.000,-63.600,4.626,166.188,133.172,36.641,35.484,165.094,Auto,163.703,142.438,10,10,320,240,0.000
