番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
10398,863395,648636876,,,,,,1018.121,581.470,759.356,-541.807,8594.368,,Pupil,990.522,638.893,20.880,-67.651,450.000,0.105254,-0.026423,0.994094,-33.500,-54.000,-63.600,5.048,176.422,73.313,39.984,36.000,86.203,Auto,175.266,91.938,1590,10,320,240,0.000,,Pupil,1075.030,665.859,78.690,-86.098,450.000,0.087479,-0.062135,0.994227,33.500,-54.000,-63.600,5.098,152.828,101.125,40.375,35.922,98.344,Auto,153.172,115.125,10,10,320,240,0.000
10399,863396,648637626,,,,,,1017.471,581.953,746.911,-545.237,8549.146,,Pupil,989.916,639.202,20.465,-67.863,450.000,0.104460,-0.026833,0.994167,-33.500,-54.000,-63.600,5.066,176.500,73.344,40.125,36.000,85.750,Auto,175.359,91.938,1590,10,320,240,1.000,,Pupil,1074.614,666.894,78.405,-86.806,450.000,0.086925,-0.063504,0.994189,33.500,-54.000,-63.600,5.053,152.891,101.219,40.016,35.750,97.500,Auto,153.234,115.125,10,10,320,240,1.000
10400,863397,648638376,,,,,,1017.350,580.941,752.809,-537.418,8634.851,,Pupil,989.211,639.281,19.982,-67.917,450.000,0.103535,-0.026941,0.994261,-33.500,-54.000,-63.600,5.090,176.578,73.359,40.313,35.781,85.656,Auto,175.484,91.969,1590,10,320,240,0.000,,Pupil,1075.096,666.660,78.735,-86.646,450.000,0.087560,-0.063191,0.994153,33.500,-54.000,-63.600,5.053,152.828,101.203,40.031,35.766,97.813,Auto,153.281,115.156,10,10,320,240,0.000
10401,863398,648639126,,,,,,1017.069,580.259,760.374,-536.395,8764.514,,Pupil,988.649,639.057,19.598,-67.763,450.000,0.102800,-0.026646,0.994345,-33.500,-54.000,-63.600,5.047,176.656,73.344,39.969,35.688,87.734,Auto,175.594,91.969,1590,10,320,240,1.000,,Pupil,1073.895,664.573,77.913,-85.218,450.000,0.085996,-0.060447,0.994460,33.500,-54.000,-63.600,5.038,152.953,101.016,39.906,35.203,99.094,Auto,153.328,115.188,10,10,320,240,1.000
10402,863399,648639876,,,,,,1016.524,580.698,753.541,-542.564,8769.577,,Pupil,988.023,639.597,19.170,-68.132,450.000,0.101977,-0.027363,0.994410,-33.500,-54.000,-63.600,5.076,176.734,73.391,40.203,35.828,86.531,Auto,175.688,91.953,1590,10,320,240,0.000,,Pupil,1073.342,665.178,77.535,-85.632,450.000,0.085264,-0.061248,0.994474,33.500,-54.000,-63.600,5.007,153.016,101.078,39.656,34.891,100.750,Auto,153.375,115.188,10,10,320,240,0.000
10403,863400,648640626,,,,,,1016.901,580.837,745.910,-535.332,8623.241,,Pupil,989.139,638.295,19.934,-67.242,450.000,0.103445,-0.025636,0.994305,-33.500,-54.000,-63.600,5.084,176.594,73.266,40.266,36.109,85.750,Auto,175.531,91.828,1590,10,320,240,1.000,,Pupil,1073.516,664.955,77.654,-85.480,450.000,0.085495,-0.060954,0.994472,33.500,-54.000,-63.600,5.033,153.000,101.047,39.859,35.063,100.141,Auto,153.375,115.156,10,10,320,240,1.000
10404,863401,648641376,,,,,,1020.027,581.929,783.123,-547.013,8581.952,,Pupil,992.774,639.055,22.420,-67.762,450.000,0.108200,-0.026628,0.993772,-33.500,-54.000,-63.600,5.033,176.125,73.313,39.859,35.969,85.938,Auto,175.266,91.797,1590,10,320,240,0.000,,Pupil,1076.703,665.642,79.834,-85.950,450.000,0.089678,-0.061837,0.994049,33.500,-54.000,-63.600,5.052,152.625,101.094,40.016,35.703,99.734,Auto,153.297,115.141,10,10,320,240,0.000
10405,863402,648642126,,,,,,1020.524,580.284,794.460,-528.787,8634.692,,Pupil,992.939,638.047,22.533,-67.072,450.000,0.108421,-0.025294,0.993783,-33.500,-54.000,-63.600,5.050,176.094,73.219,40.000,35.766,85.891,Auto,175.219,91.766,1590,10,320,240,1.000,,Pupil,1077.677,664.368,80.501,-85.078,450.000,0.090966,-0.060150,0.994036,33.500,-54.000,-63.600,4.978,152.500,100.969,39.438,34.656,99.266,Auto,153.203,115.188,10,10,320,240,1.000
10406,863403,648642876,,,,,,1019.823,582.165,769.588,-542.437,8462.459,,Pupil,992.745,638.903,22.401,-67.658,450.000,0.108164,-0.026427,0.993782,-33.500,-54.000,-63.600,5.017,176.125,73.297,39.734,35.719,87.078,Auto,175.203,91.813,1590,10,320,240,0.000,,Pupil,1077.441,667.347,80.339,-87.116,450.000,0.090634,-0.064080,0.993821,33.500,-54.000,-63.600,5.005,152.563,101.234,39.641,35.359,98.734,Auto,153.125,115.250,10,10,320,240,0.000
10407,863404,648643626,,,,,,1019.997,582.569,761.866,-540.554,8353.156,,Pupil,993.240,638.708,22.739,-67.525,450.000,0.108812,-0.026168,0.993718,-33.500,-54.000,-63.600,5.029,176.063,73.281,39.828,35.438,85.781,Auto,175.156,91.828,1590,10,320,240,1.000,,Pupil,1078.138,668.543,80.816,-87.934,450.000,0.091540,-0.065651,0.993635,33.500,-54.000,-63.600,5.045,152.484,101.344,39.953,35.656,99.063,Auto,153.047,115.281,10,10,320,240,1.000
10408,863405,648644376,,,,,,1020.571,581.653,776.724,-534.138,8435.461,,Pupil,993.617,638.231,22.997,-67.198,450.000,0.109307,-0.025535,0.993680,-33.500,-54.000,-63.600,5.044,176.016,73.234,39.953,35.406,84.391,Auto,175.094,91.813,1590,10,320,240,0.000,,Pupil,1078.414,666.939,81.005,-86.837,450.000,0.091915,-0.063534,0.993738,33.500,-54.000,-63.600,5.026,152.438,101.203,39.813,35.188,99.313,Auto,153.000,115.313,10,10,320,240,0.000
10409,863406,648645126,,,,,,1021.228,582.385,775.708,-536.974,8333.904,,Pupil,994.810,638.034,23.813,-67.064,450.000,0.110867,-0.025270,0.993514,-33.500,-54.000,-63.600,5.048,175.859,73.203,39.984,35.500,85.984,Auto,175.078,91.797,1590,10,320,240,1.000,,Pupil,1079.002,667.533,81.407,-87.243,450.000,0.092682,-0.064312,0.993617,33.500,-54.000,-63.600,5.010,152.375,101.250,39.688,35.344,99.156,Auto,153.000,115.297,10,10,320,240,1.000
10410,863407,648645876,,,,,,1020.787,582.283,773.416,-537.979,8369.610,,Pupil,994.205,638.181,23.399,-67.164,450.000,0.110076,-0.025467,0.993597,-33.500,-54.000,-63.600,5.106,175.938,73.234,40.438,36.953,86.656,Auto,175.078,91.813,1590,10,320,240,0.000,,Pupil,1078.443,667.335,81.025,-87.108,450.000,0.091950,-0.064056,0.993701,33.500,-54.000,-63.600,5.054,152.438,101.234,40.031,35.438,102.078,Auto,153.016,115.297,10,10,320,240,0.000
10411,863408,648646626,,,,,,1020.612,581.797,776.405,-535.398,8426.284,,Pupil,993.722,638.263,23.069,-67.220,450.000,0.109444,-0.025576,0.993664,-33.500,-54.000,-63.600,5.013,176.000,73.234,39.703,35.703,84.734,Auto,175.125,91.797,1590,10,320,240,1.000,,Pupil,1078.397,667.008,80.993,-86.884,450.000,0.091892,-0.063625,0.993734,33.500,-54.000,-63.600,5.002,152.453,101.203,39.625,35.594,99.938,Auto,153.031,115.313,10,10,320,240,1.000
10412,863409,648647376,,,,,,1020.324,580.882,784.102,-531.385,8550.358,,Pupil,992.687,638.771,22.360,-67.568,450.000,0.108088,-0.026253,0.993795,-33.500,-54.000,-63.600,5.023,176.141,73.297,39.797,35.516,86.188,Auto,175.188,91.828,1590,10,320,240,0.000,,Pupil,1078.667,666.844,81.178,-86.772,450.000,0.092247,-0.063407,0.993715,33.500,-54.000,-63.600,4.997,152.406,101.188,39.578,35.313,100.141,Auto,153.031,115.328,10,10,320,240,0.000
10413,863410,648648126,,,,,,1020.152,582.349,788.714,-555.273,8625.226,,Pupil,992.436,640.510,22.189,-68.757,450.000,0.107753,-0.028554,0.993768,-33.500,-54.000,-63.600,5.028,176.172,73.453,39.828,36.047,85.641,Auto,175.234,91.844,1590,10,320,240,1.000,,Pupil,1077.703,667.388,80.519,-87.144,450.000,0.090978,-0.064131,0.993786,33.500,-54.000,-63.600,5.047,152.531,101.250,39.969,35.172,100.000,Auto,153.078,115.328,10,10,320,240,1.000
10414,863411,648648876,,,,,,1019.498,581.860,767.881,-540.245,8489.760,,Pupil,992.265,638.830,22.072,-67.608,450.000,0.107536,-0.026332,0.993852,-33.500,-54.000,-63.600,5.028,176.188,73.297,39.828,35.813,85.828,Auto,175.266,91.813,1590,10,320,240,0.000,,Pupil,1077.120,667.072,80.120,-86.928,450.000,0.090215,-0.063719,0.993882,33.500,-54.000,-63.600,5.044,152.594,101.219,39.953,35.516,97.828,Auto,153.141,115.297,10,10,320,240,0.000
