番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
16861,811630,610333939,,,,,,1053.931,622.126,121.487,-106.220,850.798,,Both,1041.327,654.764,55.635,-78.508,450.000,0.169874,-0.046972,0.984346,-33.000,-54.000,-63.600,4.362,179.156,185.938,34.547,33.828,150.750,Auto,176.219,192.625,1590,10,320,240,1.000,,Both,1086.726,670.398,86.691,-89.203,450.000,0.103731,-0.068012,0.992277,33.000,-54.000,-63.600,4.048,156.031,167.875,32.063,30.828,175.203,Auto,155.453,172.156,10,10,320,240,1.000
16862,811631,610334689,,,,,,1054.210,624.234,117.503,-105.061,820.457,,Both,1042.511,654.664,56.445,-78.440,450.000,0.171382,-0.046828,0.984091,-33.000,-54.000,-63.600,4.362,179.047,185.938,34.547,33.500,158.203,Auto,176.156,192.625,1590,10,320,240,0.000,,Both,1086.536,671.941,86.561,-90.259,450.000,0.103468,-0.070044,0.992163,33.000,-54.000,-63.600,4.152,155.953,167.953,32.891,31.500,0.781,Auto,155.359,172.156,10,10,320,240,0.000
16863,811632,610335439,,,,,,1055.659,626.975,114.957,-104.520,790.515,,Both,1043.966,657.699,57.440,-80.516,450.000,0.173198,-0.050780,0.983577,-33.000,-54.000,-63.600,4.267,178.984,186.094,33.797,32.656,152.188,Auto,176.141,192.625,1590,10,320,240,1.000,,Both,1085.100,670.463,85.579,-89.248,450.000,0.101604,-0.068114,0.992490,33.000,-54.000,-63.600,4.057,156.031,167.875,32.125,31.031,176.875,Auto,155.375,172.156,10,10,320,240,1.000
16864,811633,610336189,,,,,,1055.313,627.540,113.556,-104.296,783.723,,Both,1043.857,657.625,57.365,-80.465,450.000,0.173060,-0.050684,0.983606,-33.000,-54.000,-63.600,4.266,179.000,186.109,33.781,32.234,156.875,Auto,176.156,192.641,1590,10,320,240,0.000,,Both,1084.677,670.989,85.289,-89.607,450.000,0.101046,-0.068809,0.992499,33.000,-54.000,-63.600,4.104,156.094,167.922,32.516,31.172,172.344,Auto,155.422,172.188,10,10,320,240,0.000
16865,811634,610336939,,,,,,1053.634,627.825,109.669,-102.865,770.467,,Both,1042.952,655.700,56.746,-79.148,450.000,0.171932,-0.048178,0.983930,-33.000,-54.000,-63.600,4.315,179.016,186.016,34.172,33.313,157.625,Auto,176.141,192.656,1590,10,320,240,1.000,,Both,1083.702,672.506,84.622,-90.645,450.000,0.099756,-0.070814,0.992489,33.000,-54.000,-63.600,4.086,156.141,168.000,32.359,30.969,178.750,Auto,155.391,172.188,10,10,320,240,1.000
16866,811635,610337689,,,,,,1055.678,628.174,110.417,-101.757,759.149,,Both,1045.492,654.990,58.484,-78.663,450.000,0.175167,-0.047223,0.983406,-33.000,-54.000,-63.600,4.310,178.891,185.969,34.141,32.781,157.453,Auto,176.125,192.641,1590,10,320,240,0.000,,Both,1085.801,672.752,86.059,-90.814,450.000,0.102500,-0.071118,0.992187,33.000,-54.000,-63.600,4.047,155.969,167.984,32.047,30.484,169.484,Auto,155.328,172.156,10,10,320,240,0.000
16867,811636,610338439,,,,,,1054.617,629.859,109.046,-103.563,758.134,,Both,1044.172,657.311,57.580,-80.250,450.000,0.173464,-0.050270,0.983556,-33.000,-54.000,-63.600,4.235,178.953,186.094,33.547,32.266,157.750,Auto,176.109,192.625,1590,10,320,240,1.000,,Both,1083.940,673.474,84.786,-91.307,450.000,0.100059,-0.072084,0.992367,33.000,-54.000,-63.600,4.046,156.016,168.000,32.047,30.594,172.219,Auto,155.281,172.141,10,10,320,240,1.000
16868,811637,610339189,,,,,,1054.263,628.156,110.172,-103.033,768.832,,Both,1043.401,656.589,57.053,-79.756,450.000,0.172492,-0.049335,0.983775,-33.000,-54.000,-63.600,4.229,179.000,186.078,33.500,32.234,156.625,Auto,176.141,192.656,1590,10,320,240,0.000,,Both,1083.647,671.780,84.585,-90.149,450.000,0.099691,-0.069859,0.992563,33.000,-54.000,-63.600,4.095,156.094,167.922,32.438,31.094,178.922,Auto,155.344,172.156,10,10,320,240,0.000
16869,811638,610339939,,,,,,1055.091,626.927,116.134,-106.164,803.391,,Both,1043.113,658.323,56.856,-80.943,450.000,0.172107,-0.051606,0.983726,-33.000,-54.000,-63.600,4.223,179.031,186.172,33.453,32.094,157.375,Auto,176.141,192.672,1590,10,320,240,1.000,,Both,1085.116,671.334,85.590,-89.844,450.000,0.101617,-0.069259,0.992410,33.000,-54.000,-63.600,4.052,156.094,167.906,32.094,31.094,168.734,Auto,155.438,172.156,10,10,320,240,1.000
16870,811639,610340689,,,,,,1054.567,627.283,110.668,-102.143,769.809,,Both,1043.837,655.366,57.352,-78.920,450.000,0.173060,-0.047732,0.983754,-33.000,-54.000,-63.600,4.251,178.969,186.063,33.672,32.313,156.547,Auto,176.125,192.703,1590,10,320,240,0.000,,Both,1084.399,671.481,85.099,-89.944,450.000,0.100677,-0.069459,0.992492,33.000,-54.000,-63.600,4.038,156.141,167.906,31.984,31.109,177.844,Auto,155.453,172.141,10,10,320,240,0.000
16871,811640,610341439,,,,,,1054.636,626.319,112.075,-102.226,779.036,,Both,1043.714,654.869,57.267,-78.580,450.000,0.172909,-0.047084,0.983812,-33.000,-54.000,-63.600,4.112,178.969,186.031,32.578,31.813,139.188,Auto,176.125,192.719,1590,10,320,240,1.000,,Both,1084.927,671.125,85.461,-89.700,450.000,0.101372,-0.068985,0.992454,33.000,-54.000,-63.600,4.007,156.094,167.891,31.734,30.547,173.703,Auto,155.422,172.141,10,10,320,240,1.000
16872,811641,610342189,,,,,,1053.556,627.171,110.281,-102.754,775.407,,Both,1043.042,654.573,56.807,-78.378,450.000,0.172057,-0.046704,0.983979,-33.000,-54.000,-63.600,4.144,179.031,186.063,32.828,31.656,143.344,Auto,176.156,192.766,1590,10,320,240,0.000,,Both,1084.603,673.267,85.239,-91.166,450.000,0.100927,-0.071806,0.992299,33.000,-54.000,-63.600,4.058,156.188,167.984,32.141,30.797,172.906,Auto,155.484,172.141,10,10,320,240,0.000
16873,811642,610342939,,,,,,1054.397,623.144,120.298,-105.958,838.313,,Both,1041.968,655.442,56.073,-78.972,450.000,0.170682,-0.047852,0.984164,-33.000,-54.000,-63.600,4.171,179.109,186.172,33.047,32.172,158.781,Auto,176.203,192.828,1590,10,320,240,1.000,,Both,1086.535,670.473,86.560,-89.254,450.000,0.103481,-0.068113,0.992297,33.000,-54.000,-63.600,4.028,156.219,167.859,31.906,30.766,166.641,Auto,155.641,172.125,10,10,320,240,1.000
16874,811643,610343689,,,,,,1054.197,620.771,123.201,-105.642,860.367,,Both,1041.278,654.192,55.601,-78.117,450.000,0.169816,-0.046224,0.984391,-33.000,-54.000,-63.600,4.222,179.188,186.141,33.438,32.047,152.313,Auto,176.266,192.859,1590,10,320,240,0.000,,Both,1087.042,668.985,86.907,-88.236,450.000,0.104157,-0.066150,0.992359,33.000,-54.000,-63.600,3.885,156.297,167.766,30.766,30.031,163.547,Auto,155.750,172.125,10,10,320,240,0.000
16875,811644,610344439,,,,,,1054.257,621.882,122.426,-106.352,854.406,,Both,1041.666,654.520,55.866,-78.341,450.000,0.170307,-0.046648,0.984286,-33.000,-54.000,-63.600,4.183,179.188,186.203,33.141,31.734,154.016,Auto,176.266,192.906,1590,10,320,240,1.000,,Both,1087.362,670.553,87.126,-89.309,450.000,0.104561,-0.068211,0.992176,33.000,-54.000,-63.600,3.940,156.344,167.828,31.203,29.828,175.016,Auto,155.797,172.109,10,10,320,240,1.000
16876,811645,610345189,,,,,,1054.328,623.129,120.553,-106.241,840.700,,Both,1041.938,655.317,56.052,-78.886,450.000,0.170645,-0.047688,0.984178,-33.000,-54.000,-63.600,4.139,179.250,186.266,32.781,31.359,143.813,Auto,176.328,192.922,1590,10,320,240,0.000,,Both,1086.761,670.899,86.715,-89.546,450.000,0.103773,-0.068672,0.992227,33.000,-54.000,-63.600,3.984,156.438,167.844,31.563,29.578,171.609,Auto,155.859,172.094,10,10,320,240,0.000
16877,811646,610345939,,,,,,1053.109,622.227,120.181,-106.135,849.080,,Both,1041.068,653.308,55.458,-77.512,450.000,0.169559,-0.045070,0.984489,-33.000,-54.000,-63.600,4.139,179.406,186.203,32.781,31.672,151.281,Auto,176.469,192.969,1590,10,320,240,1.000,,Both,1087.088,672.344,86.939,-90.534,450.000,0.104187,-0.070569,0.992051,33.000,-54.000,-63.600,3.903,156.484,167.891,30.906,29.563,177.891,Auto,155.922,172.063,10,10,320,240,1.000
16878,811647,610346689,,,,,,1054.017,628.253,109.728,-103.001,767.742,,Both,1043.208,656.521,56.922,-79.710,450.000,0.172248,-0.049248,0.983822,-33.000,-54.000,-63.600,4.130,179.422,186.344,32.703,31.359,145.375,Auto,176.547,192.938,1590,10,320,240,0.000,,Both,1083.438,671.963,84.442,-90.274,450.000,0.099415,-0.070102,0.992574,33.000,-54.000,-63.600,3.929,156.703,167.828,31.125,29.797,169.578,Auto,155.953,172.031,10,10,320,240,0.000
16879,811648,610347439,,,,,,1052.599,623.667,116.713,-105.454,829.111,,Both,1040.588,654.680,55.129,-78.451,450.000,0.168933,-0.046869,0.984513,-33.000,-54.000,-63.600,4.123,179.547,186.219,32.656,31.125,159.609,Auto,176.578,192.906,1590,10,320,240,1.000,,Both,1084.988,671.601,85.502,-90.026,450.000,0.101448,-0.069612,0.992402,33.000,-54.000,-63.600,3.895,156.641,167.813,30.844,29.750,171.719,Auto,155.969,172.031,10,10,320,240,1.000
16880,811649,610348189,,,,,,1053.784,624.334,115.248,-103.636,808.366,,Both,1042.350,654.028,56.334,-78.005,450.000,0.171183,-0.045998,0.984165,-33.000,-54.000,-63.600,4.156,179.438,186.141,32.922,31.297,159.734,Auto,176.547,192.859,1590,10,320,240,0.000,,Both,1085.675,671.454,85.972,-89.925,450.000,0.102348,-0.069411,0.992324,33.000,-54.000,-63.600,3.876,156.609,167.797,30.703,29.938,166.688,Auto,155.969,172.016,10,10,320,240,0.000
16881,811650,610348939,,,,,,1053.548,623.224,117.987,-104.966,829.665,,Both,1041.190,655.234,55.541,-78.830,450.000,0.169694,-0.047588,0.984347,-33.000,-54.000,-63.600,4.109,179.516,186.156,32.547,31.266,162.172,Auto,176.563,192.828,1590,10,320,240,1.000,,Both,1085.135,669.838,85.603,-88.820,450.000,0.101655,-0.067290,0.992541,33.000,-54.000,-63.600,3.892,156.625,167.703,30.828,29.422,169.578,Auto,155.969,172.016,10,10,320,240,1.000
16882,811651,610349689,,,,,,1053.003,625.652,110.253,-101.538,779.826,,Both,1042.187,653.710,56.223,-77.787,450.000,0.170979,-0.045584,0.984220,-33.000,-54.000,-63.600,4.060,179.484,186.078,32.156,30.781,143.109,Auto,176.594,192.828,1590,10,320,240,0.000,,Both,1083.719,671.209,84.634,-89.758,450.000,0.099791,-0.069107,0.992606,33.000,-54.000,-63.600,3.924,156.703,167.766,31.078,29.891,176.172,Auto,155.969,172.031,10,10,320,240,0.000
16883,811652,610350439,,,,,,1056.296,625.637,116.751,-103.828,797.544,,Both,1044.716,656.080,57.953,-79.409,450.000,0.174169,-0.048656,0.983513,-33.000,-54.000,-63.600,4.007,179.375,186.172,31.734,30.125,142.000,Auto,176.563,192.781,1590,10,320,240,1.000,,Both,1086.687,670.372,86.665,-89.186,450.000,0.103681,-0.067979,0.992285,33.000,-54.000,-63.600,3.879,156.531,167.750,30.719,29.500,173.656,Auto,155.953,172.031,10,10,320,240,1.000
