trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S02_0_13,S02,0,13,U,filler,9,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,,,,,,,M_0_33_U_filler_9_day_sun_busy_MODEL.jpg,Ignore,2026-01-06T16:16:13.061,30.03893232345581,1802,3605,2026-01-06 16:16:14.442544,1.3812501430511477,U,9,b,0,False Alarm,お手つき(スルー失敗),1802,5.382,5.31,5.346,19791.133,0.05052767822842684,5.442399999999999,5.3235,5.382949999999999,,0.0,2.2180631881251207,1875.0
S02_0_14,S02,0,14,0,unmatch,3,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\3_day_sun_busy.jpg,,,,,,,M_0_41_0_unmatch_3_day_sun_busy_BRIGHTONLY.jpg,Mismatch,2026-01-06T16:16:15.545,32.5230987071991,1951,3903,,,0,3,None,0,Omission,無反応(不正解),1951,5.043,4.972,5.0075,15861.993,0.06304378018575597,5.0476,4.9616,5.0046,,0.0,,
S02_0_15,S02,0,15,F,filler,7,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\7_day_rain_busy.jpg,,,,,,,M_0_19_F_filler_7_day_rain_busy_MODEL.jpg,Ignore,2026-01-06T16:16:18.044,35.02253293991089,2101,4203,2026-01-06 16:16:19.516349,1.4714536666870115,F,7,b,0,False Alarm,お手つき(スルー失敗),2101,5.159,5.058,5.108499999999999,14202.162,0.07041181476454078,5.159,5.0898,5.1244,,0.0,2.14775993785671,2144.0
S02_0_16,S02,0,16,D,filler,9,brightonly,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\9_day_sun_empty.jpg,,,,,,,M_0_40_D_filler_9_day_sun_empty_BRIGHTONLY.jpg,Ignore,2026-01-06T16:16:20.545,37.52338719367981,2251,4503,,,D,9,None,1,Correct Rejection,正解(スルー成功),2251,4.729,4.524,4.6265,19781.597,0.05055203581389308,4.759600000000001,4.5962,4.6779,,0.0,,
S02_0_17,S02,0,17,B,filler,5,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\5_day_sun_empty.jpg,,,,,,,M_0_39_B_filler_5_day_sun_empty_ORIG.jpg,Ignore,2026-01-06T16:16:23.036,40.0145788192749,2401,4802,,,B,5,None,1,Correct Rejection,正解(スルー成功),2401,5.269,5.428,5.3485,19811.811,0.050474941437711064,5.243399999999999,5.1068,5.1751,,0.0,,
S02_0_18,S02,0,18,5,match,5,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\5_day_sun_busy.jpg,,,,,,,M_0_32_5_match_5_day_sun_busy_ORIG.jpg,Match,2026-01-06T16:16:25.558,42.536269187927246,2552,5104,,,5,5,None,0,Omission,無反応(不正解),2552,5.274,4.939,5.1065000000000005,19808.673,0.05048293744866201,5.225199999999999,4.9284,5.0767999999999995,,0.0,,
S02_0_19,S02,0,19,I,filler,5,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\5_day_rain_empty.jpg,,,,,,,M_0_25_I_filler_5_day_rain_empty_MODEL.jpg,Ignore,2026-01-06T16:16:28.039,45.01729679107666,2701,5402,2026-01-06 16:16:29.430808,1.3911495208740234,I,5,t,0,False Alarm,お手つき(スルー失敗),2701,5.209,5.031,5.119999999999999,19797.215,0.05051215537134895,5.2153,5.0298,5.12255,,0.0,1.7882135601667684,2737.0
S02_0_20,S02,0,20,L,filler,2,original,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\2_day_rain_busy.jpg,,,,,,,M_0_42_L_filler_2_day_rain_busy_ORIG.jpg,Ignore,2026-01-06T16:16:30.546,47.523945331573486,2851,5703,,,L,2,None,1,Correct Rejection,正解(スルー成功),2851,5.244,5.003,5.1235,19751.751,0.05062842276616387,5.274333333333333,5.0847999999999995,5.179566666666666,,0.0,,
S02_0_21,S02,0,21,G,filler,3,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,,,,,,,M_0_28_G_filler_3_day_rain_busy_MODEL.jpg,Ignore,2026-01-06T16:16:33.056,50.03435683250427,3002,6004,,,G,3,None,1,Correct Rejection,正解(スルー成功),3002,5.49,5.32,5.405,5991.59,0.166900605682298,5.3804,5.0102,5.1953,,0.0,,
S02_0_22,S02,0,22,8,unmatch,1,model,F:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\1_day_sun_empty.jpg,,,,,,,M_0_45_8_unmatch_1_day_sun_empty_MODEL.jpg,Mismatch,2026-01-06T16:16:35.570,52.547812700271606,3153,6306,2026-01-06 16:16:36.787028,1.2168536186218262,8,1,b,1,Correct Rejection,正解(不一致),3153,5.351,4.992,5.1715,19751.622,0.05062875342592117,5.3732,5.1256,5.2494,,0.0,,
