,image_name
63,12_8_gamma1.096_sharpness0.908_equalization30.178.jpg
474,23_C_gamma1.024_sharpness0.693_equalization26.97.jpg
514,30_2_gamma1.006_sharpness0.933_equalization22.426.jpg
663,38_C_gamma0.917_sharpness0.996_equalization25.704.jpg
855,21_7_gamma0.949_sharpness0.881_equalization31.893.jpg
1024,22_8_gamma0.92_sharpness0.835_equalization27.301.jpg
