,image_name
111,36_8_gamma0.98_sharpness0.84_equalization19.307.jpg
267,8_T_gamma0.989_sharpness0.683_equalization13.055.jpg
284,46_0_gamma1.043_sharpness0.825_equalization14.169.jpg
685,13_B_gamma1.021_sharpness0.76_equalization15.701.jpg
886,15_S_gamma0.911_sharpness0.751_equalization19.627.jpg
1056,28_0_gamma1.058_sharpness0.813_equalization15.413.jpg
