,image_name,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,times,figure,contrast,gamma,sharpness,brightness,equalization,folder_name,file_name,digit_brightness,non_digit_brightness,brightness_ratio,max_brightness,mode_brightness
51,46_0_gamma1.043_sharpness0.825_equalization14.169.jpg,13800,13975,2.266458707001032,45,pictures\transformed\roomDark_figureBright\0.JPG,gamma,1.043049536236216,sharpness,0.8250959320820531,equalization,14.16882633261924,0,46,0,0.0,1.043049536236216,0.8250959320820531,0.0,14,113,8,216.245194017221,45.01003940159406,4.804376909955837,245,0.2408163265306122
52,13_B_gamma1.021_sharpness0.76_equalization15.701.jpg,3900,4065,4.736278034213969,12,pictures\transformed\roomDark_figureBright\B.JPG,gamma,1.021158695120872,sharpness,0.7600231530935834,equalization,15.70138100377385,1,13,B,0.0,1.021158695120872,0.7600231530935834,0.0,15,109,14,214.6130386063932,42.94743843664221,4.997109173880045,245,0.04081632653061224
53,15_S_gamma0.911_sharpness0.751_equalization19.627.jpg,4500,4687,2.873712925525905,14,pictures\transformed\roomDark_figureBright\S.JPG,gamma,0.9108618547805144,sharpness,0.7511354773181077,equalization,19.62654756450122,2,15,S,0.0,0.9108618547805144,0.7511354773181077,0.0,19,107,15,220.135180130476,46.37520091976657,4.746829679753419,245,0.04081632653061224
54,28_0_gamma1.058_sharpness0.813_equalization15.413.jpg,8400,8556,1.792240091259515,27,pictures\transformed\roomDark_figureBright\0.JPG,gamma,1.057566323383919,sharpness,0.8134054985199488,equalization,15.41265205453926,0,28,0,0.0,1.057566323383919,0.8134054985199488,0.0,15,106,14,209.3006287949372,43.82923902855942,4.775365336791624,245,0.04081632653061224
55,12_8_gamma1.096_sharpness0.908_equalization30.178.jpg,3600,3773,2.722038779539957,11,pictures\transformed\roomDark_figureBright\8.JPG,gamma,1.0960102736183,sharpness,0.9081433215430535,equalization,30.17847769200895,0,12,8,0.0,1.0960102736183,0.9081433215430535,0.0,30,114,12,210.6496497971889,35.9161664321541,5.865037132933095,245,0.04081632653061224
56,23_C_gamma1.024_sharpness0.693_equalization26.97.jpg,6900,7100,2.928475265304904,22,pictures\transformed\roomDark_figureBright\C.JPG,gamma,1.024236195880719,sharpness,0.6934468135747256,equalization,26.96958444308998,1,23,C,0.0,1.024236195880719,0.6934468135747256,0.0,26,110,17,208.4513893304508,37.60534039314181,5.543132628270709,245,0.04081632653061224
57,30_2_gamma1.006_sharpness0.933_equalization22.426.jpg,9000,9207,4.79749874935179,29,pictures\transformed\roomDark_figureBright\2.JPG,gamma,1.006079358980467,sharpness,0.9330890890871804,equalization,22.4257034613882,0,30,2,0.0,1.006079358980467,0.9330890890871804,0.0,22,110,13,205.9514534883721,44.49347588218338,4.628801176013351,245,0.04081632653061224
58,38_C_gamma0.917_sharpness0.996_equalization25.704.jpg,11400,11540,4.336590867997705,37,pictures\transformed\roomDark_figureBright\C.JPG,gamma,0.9174047427193666,sharpness,0.9962038564950588,equalization,25.70385841637317,1,38,C,0.0,0.9174047427193666,0.9962038564950588,0.0,25,109,17,210.1912634323139,48.63568681390606,4.321749669878526,245,0.04081632653061224
59,21_7_gamma0.949_sharpness0.881_equalization31.893.jpg,6300,6470,4.015961454121698,20,pictures\transformed\roomDark_figureBright\7.JPG,gamma,0.9486703190295228,sharpness,0.8805006882755512,equalization,31.89290914180278,0,21,7,0.0,0.9486703190295228,0.8805006882755512,0.0,31,107,18,208.9381385427192,44.42351833723058,4.703322617461656,245,0.04081632653061224
60,22_8_gamma0.92_sharpness0.835_equalization27.301.jpg,6600,6743,1.963574211280485,21,pictures\transformed\roomDark_figureBright\8.JPG,gamma,0.9197633381295768,sharpness,0.8350311424844974,equalization,27.30093979333694,0,22,8,0.0,0.9197633381295768,0.8350311424844974,0.0,27,106,19,214.6076077728516,49.01907843763077,4.378042480866031,245,0.04081632653061224
