condition,metric,zcol,image_key,F,p,df1,df2,eta_sq,n_total,n_original,n_brightonly,n_model
bright,miosis_rate,z_miosis_rate,sun_empty,16.910048684016353,3.295474202082693e-07,2.0,122.0,0.21704579793807185,125,37,27,61
bright,miosis_rate,z_miosis_rate,sun_busy,12.973900165268198,7.925406225060508e-06,2.0,120.0,0.17778822477468595,123,41,47,35
bright,miosis_rate,z_miosis_rate,rain_empty,7.58647091381805,0.0007844658790279267,2.0,122.0,0.11061176953324788,125,36,35,54
bright,miosis_rate,z_miosis_rate,rain_busy,11.834623329219507,1.9498098611185846e-05,2.0,126.0,0.15814368807811757,129,41,47,41
bright,miosis_rate,z_miosis_rate,ALL,37.08293810751758,9.663727390681487e-16,2.0,499.0,0.12939688019251566,502,155,156,191
