day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-09-01,20:42:51.378338,t,9.360734701156616,1.755404710769653,4_3_sharpness0.34_contrast1.1_equalization13.0.jpg,4,4,3,1.1,0,0.34,0,13.0
2023-09-01,20:43:11.413159,t,29.395555019378666,1.7782409191131592,12_B_sharpness0.67_gamma0.96_equalization30.0.jpg,1,12,B,0,0.96,0.67,0,30.0
2023-09-01,20:43:13.625167,f,31.607563734054565,1.456822395324707,13_0_gamma0.67_brightness23.0.jpg,0,13,0,0,0.67,0,23.0,0
2023-09-01,20:43:16.118454,t,34.1008505821228,1.5210328102111816,14_C_contrast1.0_equalization4.4.jpg,4,14,C,1.0,0,0,0,4.4
2023-09-01,20:43:26.228627,f,44.19551706314087,1.4865806102752686,18_J_contrast1.0_sharpness0.97_equalization26.0.jpg,4,18,J,1.0,0,0.97,0,26.0
2023-09-01,20:43:43.728899,t,61.71129584312439,1.6161527633666992,25_8_sharpness0.32_gamma0.65_contrast1.1.jpg,4,25,8,1.1,0.65,0.32,0,0
2023-09-01,20:44:08.686983,f,86.66937947273254,1.5839955806732178,35_0_contrast1.2_gamma1.1_equalization21.0.jpg,4,35,0,1.2,1.1,0,0,21.0
2023-09-01,20:44:16.430623,t,94.41301918029784,1.8180553913116453,38_0_sharpness0.56_gamma0.59_brightness19.0.jpg,4,38,0,0,0.59,0.56,19.0,0
2023-09-01,20:44:23.814774,t,101.79716992378236,1.7089898586273191,41_0_gamma1.1_contrast0.95_equalization7.7.jpg,0,41,0,0.95,1.1,0,0,7.7
2023-09-01,20:44:26.087901,t,104.06526350975037,1.4819045066833496,42_2_gamma0.91_brightness23.0.jpg,4,42,2,0,0.91,0,23.0,0
2023-09-01,20:44:36.075314,f,114.04215908050536,1.4516234397888184,46_1_contrast1.1_brightness21.0.jpg,4,46,1,1.1,0,0,21.0,0
