condition,metric,image_key,F,p,df1,df2,eta_sq,n_total,n_original,n_brightonly,n_model
dark,diopter,sun_empty,0.5815616185705212,0.559627591069876,2.0,313.0,0.0037022907881619003,316,100,128,88
dark,diopter,sun_busy,0.21188643239629898,0.8091707058233137,2.0,318.0,0.001330845561498121,321,104,72,145
dark,diopter,rain_empty,0.7773452796790472,0.46050421762231164,2.0,315.0,0.00491128580849943,318,78,107,133
dark,diopter,rain_busy,1.004385951541709,0.3673762775251983,2.0,333.0,0.005996177030446676,336,117,101,118
dark,diopter,ALL,1.9070478365206551,0.14893731420619896,2.0,1288.0,0.0029525112675397413,1291,399,408,484
