Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,frame,times,figure,contrast,gamma,sharpness,brightness,equalization
2,pictures\transformed\roomDark_figureBright\C.JPG,brightness,24.11871072372789,contrast,1.056113538605143,gamma,0.7383673383563244,2,3_C_brightness24.119_contrast1.056_gamma0.738.jpg,900,3,C,1.056,0.738,0,24.119,0
5,pictures\transformed\roomDark_figureBright\2.JPG,brightness,3.920893791954283,gamma,0.9120111632518201,sharpness,0.08385405964259128,2,6_2_brightness3.921_gamma0.912_sharpness0.084.jpg,1800,6,2,0,0.912,0.084,3.921,0
15,pictures\transformed\roomDark_figureBright\S.JPG,brightness,24.8967492477162,contrast,0.8864876225469005,gamma,0.882670630640859,2,16_S_brightness24.897_contrast0.886_gamma0.883.jpg,4800,16,S,0.886,0.883,0,24.897,0
16,pictures\transformed\roomDark_figureBright\S.JPG,brightness,23.11135396845987,contrast,0.8195120175309105,sharpness,0.6044692785548286,1,17_S_brightness23.111_contrast0.82_sharpness0.604.jpg,5100,17,S,0.82,0,0.604,23.111,0
18,pictures\transformed\roomDark_figureBright\3.JPG,contrast,0.9963994943631284,sharpness,0.7140363162171628,equalization,23.51147757321372,0,19_3_contrast0.996_sharpness0.714_equalization23.511.jpg,5700,19,3,0.996,0,0.714,0,23.511
20,pictures\transformed\roomDark_figureBright\9.JPG,brightness,8.41940499101802,contrast,1.125654679091923,sharpness,0.4553822199162446,2,21_9_brightness8.419_contrast1.126_sharpness0.455.jpg,6300,21,9,1.126,0,0.455,8.419,0
25,pictures\transformed\roomDark_figureBright\I.JPG,brightness,6.443520854225944,contrast,1.175094599397048,gamma,0.6583423578579618,2,26_I_brightness6.444_contrast1.175_gamma0.658.jpg,7800,26,I,1.175,0.658,0,6.444,0
31,pictures\transformed\roomDark_figureBright\P.JPG,gamma,0.7740414815669621,sharpness,0.01286813174192416,equalization,19.2525190310153,1,32_P_gamma0.774_sharpness0.013_equalization19.253.jpg,9600,32,P,0,0.774,0.013,0,19.253
32,pictures\transformed\roomDark_figureBright\T.JPG,contrast,1.075149352580428,gamma,0.875984343326824,equalization,11.53782271099957,1,33_T_contrast1.075_gamma0.876_equalization11.538.jpg,9900,33,T,1.075,0.876,0,0,11.538
34,pictures\transformed\roomDark_figureBright\3.JPG,gamma,0.9137843947631704,sharpness,0.3135908723456303,equalization,14.26794950586368,0,35_3_gamma0.914_sharpness0.314_equalization14.268.jpg,10500,35,3,0,0.914,0.314,0,14.268
36,pictures\transformed\roomDark_figureBright\8.JPG,brightness,12.93327692964151,contrast,1.056295176438624,gamma,0.6519398595031094,0,37_8_brightness12.933_contrast1.056_gamma0.652.jpg,11100,37,8,1.056,0.652,0,12.933,0
