,フレーム数,両眼.注視Z座標[mm]
0,67,1.3826353279442898
1,1809,1.5262966366611317
2,3190,2.427180743059425
3,3478,2.5718608090129496
4,3777,2.8779761384537625
5,5100,2.0573807197441094
6,6161,2.9321404854158746
7,8354,1.1791762816689608
8,8892,2.721498276518324
9,9157,2.644421212329574
10,9443,2.374855635444629
11,10058,2.758364924063489
12,10556,1.6958909883201443
13,10973,3.0125703794002057
14,12263,1.9019830246823852
15,12806,2.865857626499103
16,13117,1.6039928935374934
17,13669,2.8760592859983363
18,14189,2.1346588560868742
