trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S01_0_12,S01,0,12,U,filler,1,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_0_19_U_filler_1_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-05T18:24:41.061,27.53281283378601,1652,3304,,,U,1,None,1,Correct Rejection,正解(スルー成功),1652,5.875,4.77,5.3225,2905.364,0.3441909516329107,5.8872,4.8068,5.3469999999999995,,0.0,,
S01_0_13,S01,0,13,P,filler,2,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\2_night_rain_busy.jpg,,,,,,,M_0_18_P_filler_2_night_rain_busy_ORIG.jpg,Ignore,2026-01-05T18:24:43.555,30.02596426010132,1802,3603,,,P,2,None,1,Correct Rejection,正解(スルー成功),1802,5.533,4.528,5.0305,3153.332,0.31712486982024096,5.5316,4.5123999999999995,5.022,,0.0,1.537041134264494,1826.0
S01_0_14,S01,0,14,6,unmatch,0,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\0_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_0_43_6_unmatch_0_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Mismatch,2026-01-05T18:24:46.047,32.518352031707764,1951,3902,,,6,0,None,0,Omission,無反応(不正解),1951,5.809,4.734,5.2715,1938.66,0.515820205709098,5.8164,4.7372,5.2768,1939.6508666666668,0.0,,
S01_0_15,S01,0,15,C,filler,3,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_0_44_C_filler_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-05T18:24:48.552,35.02304744720459,2101,4203,2026-01-05 18:24:49.555013,1.0028469562530518,C,3,b,0,False Alarm,お手つき(スルー失敗),2101,5.971,5.014,5.4925,2107.189,0.4745658789980396,6.013,5.0036000000000005,5.5083,1961.100909090909,0.0,,
S01_0_16,S01,0,16,R,filler,2,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,,,,,,,M_0_36_R_filler_2_night_rain_empty_ORIG.jpg,Ignore,2026-01-05T18:24:51.041,37.51191329956055,2251,4501,,,R,2,None,1,Correct Rejection,正解(スルー成功),2251,5.424,4.303,4.8635,2096.435,0.47700024088512166,5.391,4.2988,4.8449,1953.8613333333335,0.0,,
S01_0_17,S01,0,17,P,filler,5,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,brightness,46.88,,,,,M_0_7_P_filler_5_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-05T18:24:53.561,40.03280568122864,2402,4804,,,P,5,None,1,Correct Rejection,正解(スルー成功),2402,6.17,4.935,5.5525,3797.513,0.26333023744750844,6.184,4.9228,5.5534,,0.0,2.160585110003032,2437.0
S01_0_18,S01,0,18,2,match,2,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\2_night_rain_busy.jpg,,,,,,,M_0_23_2_match_2_night_rain_busy_ORIG.jpg,Match,2026-01-05T18:24:56.043,42.514655113220215,2551,5102,,,2,2,None,0,Omission,無反応(不正解),2551,6.03,4.824,5.427,3485.234,0.2869247803734269,6.0238,4.834999999999999,5.429399999999999,,0.0,,
S01_0_19,S01,0,19,F,filler,8,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\8_night_sun_empty.jpg,,,,,,,M_0_9_F_filler_8_night_sun_empty_ORIG.jpg,Ignore,2026-01-05T18:24:58.541,45.01216459274292,2701,5401,2026-01-05 18:24:59.681602,1.1403191089630127,F,8,t,0,False Alarm,お手つき(スルー失敗),2701,5.936,4.73,5.333,2535.653,0.3943757288556439,5.939400000000001,4.7188,5.3291,1849.0545421686747,0.0,,
S01_0_20,S01,0,20,I,filler,2,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,brightness,46.88,,,,,M_0_4_I_filler_2_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-05T18:25:01.051,47.5226948261261,2851,5703,,,I,2,None,1,Correct Rejection,正解(スルー成功),2851,5.83,4.669,5.249499999999999,2754.115,0.3630930444080948,5.848000000000001,4.742399999999999,5.2951999999999995,,0.0,,
S01_0_21,S01,0,21,Q,filler,0,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\0_night_sun_busy.jpg,,,,,,,M_0_14_Q_filler_0_night_sun_busy_ORIG.jpg,Ignore,2026-01-05T18:25:03.564,50.035200357437134,3002,6004,,,Q,0,None,1,Correct Rejection,正解(スルー成功),3002,5.681,4.635,5.1579999999999995,2480.389,0.4031625684519646,5.692,4.6424,5.1672,,0.0,2.05654387616111,3039.0
