特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
periphery_sa_saturation_std,0.11757560085858795,0.11468376448673419,1.4666550122271272e-05,1421
periphery_sa_saturation_mean,0.09932368505510603,0.09259403233803992,0.0004742794740225849,1421
