,day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
0,2023-08-31,21:56:10.782976,t,16.320317029953003,1.1313776969909668,7_9_brightness25.0_gamma0.79_sharpness0.75.jpg,4.0,7.0,9,0.0,0.79,0.75,25.0,0.0,300.0,222.0,3.918437090144186,0,pictures\transformed\roomBright_figureDark\E.JPG,gamma,0.7082093847614211,brightness,2.575317604747984,None,None,1,1_E_gamma0.71_brightness2.6.jpg,1,E,0.0,0.71,0.0,2.6,0.0
1,2023-08-31,21:56:35.650118,f,41.18750071525574,1.0652730464935305,17_3_sharpness0.48_gamma0.69_equalization17.0.jpg,4.0,17.0,3,0.0,0.69,0.48,0.0,17.0,1500.0,1624.0,3.4654306604587526,4,pictures\transformed\roomBright_figureDark\B.JPG,sharpness,0.0640154693194402,gamma,0.6326161533615688,equalization,30.43888582009873,1,5_B_sharpness0.064_gamma0.63_equalization30.0.jpg,5,B,0.0,0.63,0.064,0.0,30.0
2,2023-08-31,21:56:40.762743,f,46.31341719627381,1.177237033843994,19_S_sharpness0.11_contrast1.1_equalization18.0.jpg,1.0,19.0,S,1.1,0.0,0.11,0.0,18.0,3300.0,3409.0,3.3609087578464107,10,pictures\transformed\roomBright_figureDark\E.JPG,contrast,0.8152690960656075,gamma,0.8595651053947084,None,None,1,11_E_contrast0.82_gamma0.86.jpg,11,E,0.82,0.86,0.0,0.0,0.0
3,2023-08-31,21:56:43.268180,f,48.82100343704224,1.2068028450012207,20_P_sharpness0.23_equalization31.0.jpg,1.0,20.0,P,0.0,0.0,0.23,0.0,31.0,4800.0,4935.0,3.5590199903188884,15,pictures\transformed\roomBright_figureDark\C.JPG,brightness,23.58553625517525,sharpness,0.6058061279432363,contrast,1.179317239465302,2,16_C_brightness24.0_sharpness0.61_contrast1.2.jpg,16,C,1.2,0.0,0.61,24.0,0.0
4,2023-08-31,21:56:45.681364,f,51.234187841415405,1.0974936485290527,21_I_brightness5.7_sharpness0.061_contrast1.0.jpg,4.0,21.0,I,1.0,0.0,0.061,5.7,0.0,7200.0,7320.0,3.4007509479652764,23,pictures\transformed\roomBright_figureDark\T.JPG,sharpness,0.5559500821988546,contrast,0.9838085194226792,equalization,16.24618101087433,1,24_T_sharpness0.56_contrast0.98_equalization16.0.jpg,24,T,0.98,0.0,0.56,0.0,16.0
5,2023-08-31,21:56:58.070571,f,63.62339425086975,1.003854274749756,26_I_sharpness0.52_equalization21.0.jpg,4.0,26.0,I,0.0,0.0,0.52,0.0,21.0,8700.0,8819.0,3.358471462933448,28,pictures\transformed\roomBright_figureDark\S.JPG,brightness,28.0174476903648,gamma,0.8671157072065601,contrast,1.013488518951696,1,29_S_brightness28.0_gamma0.87_contrast1.0.jpg,29,S,1.0,0.87,0.0,28.0,0.0
6,,,,,,,,,,,,,,,9900.0,10038.0,3.9690200310060497,32,pictures\transformed\roomBright_figureDark\I.JPG,gamma,0.7809188316125966,brightness,21.17033778995924,sharpness,0.2684127949452011,1,33_I_gamma0.78_brightness21.0_sharpness0.27.jpg,33,I,0.0,0.78,0.27,21.0,0.0
7,,,,,,,,,,,,,,,12300.0,12460.0,4.183782293826378,40,pictures\transformed\roomBright_figureDark\1.JPG,sharpness,0.4209679303166075,brightness,18.35598680924782,contrast,1.021725310988693,0,41_1_sharpness0.42_brightness18.0_contrast1.0.jpg,41,1,1.0,0.0,0.42,18.0,0.0
8,,,,,,,,,,,,,,,12600.0,12716.0,4.1726217157860575,41,pictures\transformed\roomBright_figureDark\8.JPG,sharpness,0.7009859958742077,gamma,0.9090170771218552,equalization,11.93077990414101,0,42_8_sharpness0.7_gamma0.91_equalization12.0.jpg,42,8,0.0,0.91,0.7,0.0,12.0
9,,,,,,,,,,,,,,,14100.0,14230.0,3.2956020551128544,46,pictures\transformed\roomBright_figureDark\E.JPG,gamma,0.954804200027541,equalization,14.10136139648229,None,None,1,47_E_gamma0.95_equalization14.0.jpg,47,E,0.0,0.95,0.0,0.0,14.0
