trial_id,folder_name,file_name,trial,front,status,back,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used
S01_0_33,S01,0,33,3,match,3,F:\pictures\original_data\roomBright_figureDark\S.JPG,contrast,0.8124934385033558,gamma,0.5096436640564989,equalization,9.326140599280286,S01_0_33_3_match_3_S_contrast0.812_gamma0.510_equalization9.326.jpg,Match,2026-02-12T02:11:45.586,1770829905.5868638,84.51388168334961,5071,10142,2026-02-12T02:11:46.077,0.49051547050476074,3,3,t,1,Hit,正解(一致),0,normal_image_name,F:\experiment_images\Bright\S01\0\S01_0_33_3_match_3_S_contrast0.812_gamma0.510_equalization9.326.jpg,S01_0_33_3_match_3_S_contrast0.812_gamma0.510_equalization9.326.jpg
S01_0_34,S01,0,34,G,filler,7,F:\pictures\original_data\roomBright_figureDark\2.JPG,brightness,26.19047684023194,contrast,1.145346502031545,sharpness,0.004409502560598966,S01_0_34_G_filler_7_2_brightness26.190_contrast1.145_sharpness0.004.jpg,Ignore,2026-02-12T02:11:48.217,1770829908.2179656,87.14498353004456,5229,10457,,,G,7,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_35,S01,0,35,F,filler,7,F:\pictures\original_data\roomBright_figureDark\0.JPG,contrast,1.038561427646353,gamma,1.082974924504525,equalization,30.85180803707311,S01_0_35_F_filler_7_0_contrast1.039_gamma1.083_equalization30.852.jpg,Ignore,2026-02-12T02:11:50.854,1770829910.8544538,89.78147172927856,5387,10774,,,F,7,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_36,S01,0,36,P,filler,4,F:\pictures\original_data\roomBright_figureDark\7.JPG,brightness,24.76686586898186,contrast,0.8677095439820962,gamma,0.5792558089951412,S01_0_36_P_filler_4_7_brightness24.767_contrast0.868_gamma0.579.jpg,Ignore,2026-02-12T02:11:53.503,1770829913.503505,92.43052291870117,5546,11092,,,P,4,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_37,S01,0,37,4,unmatch,2,F:\pictures\original_data\roomBright_figureDark\8.JPG,brightness,26.16785443090355,contrast,1.170870975783155,gamma,0.7140897658698429,S01_0_37_4_unmatch_2_8_brightness26.168_contrast1.171_gamma0.714.jpg,Mismatch,2026-02-12T02:11:56.142,1770829916.1429083,95.06992626190186,5704,11408,2026-02-12T02:11:56.686,0.5437569618225098,4,2,t,0,False Alarm,お手つき(誤反応),0,normal_image_name,F:\experiment_images\Bright\S01\0\S01_0_37_4_unmatch_2_8_brightness26.168_contrast1.171_gamma0.714.jpg,S01_0_37_4_unmatch_2_8_brightness26.168_contrast1.171_gamma0.714.jpg
S01_0_38,S01,0,38,S,filler,3,F:\pictures\original_data\roomBright_figureDark\S.JPG,brightness,16.06322649865763,contrast,0.8674051545534579,gamma,0.8215624026040315,S01_0_38_S_filler_3_S_brightness16.063_contrast0.867_gamma0.822.jpg,Ignore,2026-02-12T02:11:58.789,1770829918.7896805,97.71669840812683,5863,11726,,,S,3,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_39,S01,0,39,Q,filler,6,F:\pictures\original_data\roomBright_figureDark\B.JPG,contrast,1.09039909099649,sharpness,0.5353463940663061,equalization,30.77211063099284,S01_0_39_Q_filler_6_B_contrast1.090_sharpness0.535_equalization30.772.jpg,Ignore,2026-02-12T02:12:01.430,1770829921.43077,100.35778784751892,6021,12043,,,Q,6,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_40,S01,0,40,F,filler,7,F:\pictures\original_data\roomBright_figureDark\I.JPG,contrast,1.036852264846452,gamma,1.070268965875233,sharpness,0.7830132769002952,S01_0_40_F_filler_7_I_contrast1.037_gamma1.070_sharpness0.783.jpg,Ignore,2026-02-12T02:12:04.068,1770829924.0683098,102.99532771110535,6180,12359,,,F,7,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_41,S01,0,41,P,filler,4,F:\pictures\original_data\roomBright_figureDark\C.JPG,contrast,0.8590042570559627,gamma,1.034147084733024,equalization,8.281610752505784,S01_0_41_P_filler_4_C_contrast0.859_gamma1.034_equalization8.282.jpg,Ignore,2026-02-12T02:12:06.703,1770829926.7039292,105.63094711303711,6338,12676,,,P,4,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_42,S01,0,42,0,unmatch,5,F:\pictures\original_data\roomBright_figureDark\7.JPG,contrast,0.8778870177279195,gamma,0.5635380330299453,sharpness,0.9831453987674545,S01_0_42_0_unmatch_5_7_contrast0.878_gamma0.564_sharpness0.983.jpg,Mismatch,2026-02-12T02:12:09.343,1770829929.343513,108.27053093910217,6496,12992,2026-02-12T02:12:10.165,0.8218033313751221,0,5,t,0,False Alarm,お手つき(誤反応),0,normal_image_name,F:\experiment_images\Bright\S01\0\S01_0_42_0_unmatch_5_7_contrast0.878_gamma0.564_sharpness0.983.jpg,S01_0_42_0_unmatch_5_7_contrast0.878_gamma0.564_sharpness0.983.jpg
S01_0_43,S01,0,43,P,filler,5,F:\pictures\original_data\roomBright_figureDark\B.JPG,brightness,21.95229821804319,contrast,1.083745863363912,sharpness,0.9727834860561277,S01_0_43_P_filler_5_B_brightness21.952_contrast1.084_sharpness0.973.jpg,Ignore,2026-02-12T02:12:11.997,1770829931.997779,110.92479681968689,6655,13311,,,P,5,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_44,S01,0,44,L,filler,5,F:\pictures\original_data\roomBright_figureDark\J.JPG,gamma,0.6156820403508921,sharpness,0.7391218322427806,equalization,11.97197827134989,S01_0_44_L_filler_5_J_gamma0.616_sharpness0.739_equalization11.972.jpg,Ignore,2026-02-12T02:12:14.638,1770829934.6384609,113.5654788017273,6814,13628,,,L,5,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_45,S01,0,45,P,filler,9,F:\pictures\original_data\roomBright_figureDark\8.JPG,contrast,0.9396655859180904,gamma,0.5600258748859163,equalization,11.76793411934762,S01_0_45_P_filler_9_8_contrast0.940_gamma0.560_equalization11.768.jpg,Ignore,2026-02-12T02:12:17.289,1770829937.289881,116.21689891815186,6973,13946,,,P,9,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_46,S01,0,46,1,unmatch,3,F:\pictures\original_data\roomBright_figureDark\E.JPG,brightness,15.78134193740721,contrast,1.136676268630553,sharpness,0.3892097007791919,S01_0_46_1_unmatch_3_E_brightness15.781_contrast1.137_sharpness0.389.jpg,Mismatch,2026-02-12T02:12:19.948,1770829939.9481,118.87511801719666,7133,14265,2026-02-12T02:12:20.672,0.724315881729126,1,3,t,0,False Alarm,お手つき(誤反応),0,normal_image_name,F:\experiment_images\Bright\S01\0\S01_0_46_1_unmatch_3_E_brightness15.781_contrast1.137_sharpness0.389.jpg,S01_0_46_1_unmatch_3_E_brightness15.781_contrast1.137_sharpness0.389.jpg
S01_0_47,S01,0,47,D,filler,4,F:\pictures\original_data\roomBright_figureDark\S.JPG,brightness,27.72644314035256,gamma,0.6223565909816946,sharpness,0.8767138743315784,S01_0_47_D_filler_4_S_brightness27.726_gamma0.622_sharpness0.877.jpg,Ignore,2026-02-12T02:12:22.602,1770829942.602878,121.52989602088928,7292,14584,,,D,4,None,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_day_nocar.png,0_day_nocar.png
S01_0_48,S01,0,48,8,match,8,F:\pictures\original_data\roomBright_figureDark\0.JPG,contrast,0.8777334299387496,gamma,0.715177484291351,equalization,24.85983344266824,S01_0_48_8_match_8_0_contrast0.878_gamma0.715_equalization24.860.jpg,Match,2026-02-12T02:12:25.242,1770829945.2420852,124.16910314559937,7450,14900,,,8,8,None,0,Omission,無反応(不正解),0,normal_image_name,F:\experiment_images\Bright\S01\0\S01_0_48_8_match_8_0_contrast0.878_gamma0.715_equalization24.860.jpg,S01_0_48_8_match_8_0_contrast0.878_gamma0.715_equalization24.860.jpg
