Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,frame,times,figure,contrast,gamma,sharpness,brightness,equalization
9,pictures\transformed\roomDark_figureBright\P.JPG,brightness,4.042298761830651,gamma,0.7670882549414987,sharpness,0.660993342165537,1,10_P_brightness4.042_gamma0.767_sharpness0.661.jpg,3000,10,P,0,0.767,0.661,4.042,0
14,pictures\transformed\roomDark_figureBright\9.JPG,contrast,1.061025519180922,sharpness,0.4245759389393504,equalization,28.40247336486327,0,15_9_contrast1.061_sharpness0.425_equalization28.402.jpg,4500,15,9,1.061,0,0.425,0,28.402
15,pictures\transformed\roomDark_figureBright\S.JPG,contrast,0.8575375143276885,gamma,0.5173785612815281,equalization,20.85898867770965,1,16_S_contrast0.858_gamma0.517_equalization20.859.jpg,4800,16,S,0.858,0.517,0,0,20.859
21,pictures\transformed\roomDark_figureBright\0.JPG,contrast,1.061723894111178,gamma,0.5669537581525429,sharpness,0.9364757167072,2,22_0_contrast1.062_gamma0.567_sharpness0.936.jpg,6600,22,0,1.062,0.567,0.936,0,0
25,pictures\transformed\roomDark_figureBright\E.JPG,brightness,5.304141292912355,gamma,0.7518364305673956,sharpness,0.7419346527413416,1,26_E_brightness5.304_gamma0.752_sharpness0.742.jpg,7800,26,E,0,0.752,0.742,5.304,0
27,pictures\transformed\roomDark_figureBright\E.JPG,contrast,0.8901502110024914,sharpness,0.9871293090388051,equalization,14.87031010262153,1,28_E_contrast0.89_sharpness0.987_equalization14.87.jpg,8400,28,E,0.89,0,0.987,0,14.87
28,pictures\transformed\roomDark_figureBright\S.JPG,contrast,0.9831425137142049,gamma,0.6712999808282687,equalization,15.45991957735503,1,29_S_contrast0.983_gamma0.671_equalization15.46.jpg,8700,29,S,0.983,0.671,0,0,15.46
35,pictures\transformed\roomDark_figureBright\0.JPG,brightness,24.79582026975201,gamma,0.923058744865925,sharpness,0.1630663226342727,2,36_0_brightness24.796_gamma0.923_sharpness0.163.jpg,10800,36,0,0,0.923,0.163,24.796,0
38,pictures\transformed\roomDark_figureBright\3.JPG,contrast,1.179053256574394,gamma,0.620655652113079,equalization,28.7158842408389,0,39_3_contrast1.179_gamma0.621_equalization28.716.jpg,11700,39,3,1.179,0.621,0,0,28.716
