番号,フレームカウンタ,時刻カウンタ,CUEシグナル,CUEスイッチ,リセットスイッチ,TTL入力,両眼.タイムアウト,両眼.映像X座標[pixel],両眼.映像Y座標[pixel],両眼.注視X座標[mm],両眼.注視Y座標[mm],両眼.注視Z座標[mm],左眼.タイムアウト,左眼.適用検出方式,左眼.映像X座標[pixel],左眼.映像Y座標[pixel],左眼.注視X座標[mm],左眼.注視Y座標[mm],左眼.注視Z座標[mm],左眼.視軸 vx,左眼.視軸 vy,左眼.視軸 vz,左眼.眼球X座標[mm],左眼.眼球Y座標[mm],左眼.眼球Z座標[mm],左眼.瞳孔径[mm],左眼.瞳孔中心X座標[pixel],左眼.瞳孔中心Y座標[pixel],左眼.瞳孔楕円長軸長[pixel],左眼.瞳孔楕円短軸長[pixel],左眼.瞳孔楕円回転角[deg],左眼.瞳孔二値化閾値,左眼.角膜反射像X座標[pixel],左眼.角膜反射像Y座標[pixel],左眼.眼球画像X座標[pixel],左眼.眼球画像Y座標[pixel],左眼.眼球画像幅[pixel],左眼.眼球画像高さ[pixel],左眼.眼球画像不透明度,右眼.タイムアウト,右眼.適用検出方式,右眼.映像X座標[pixel],右眼.映像Y座標[pixel],右眼.注視X座標[mm],右眼.注視Y座標[mm],右眼.注視Z座標[mm],右眼.視軸 vx,右眼.視軸 vy,右眼.視軸 vz,右眼.眼球X座標[mm],右眼.眼球Y座標[mm],右眼.眼球Z座標[mm],右眼.瞳孔径[mm],右眼.瞳孔中心X座標[pixel],右眼.瞳孔中心Y座標[pixel],右眼.瞳孔楕円長軸長[pixel],右眼.瞳孔楕円短軸長[pixel],右眼.瞳孔楕円回転角[deg],右眼.瞳孔二値化閾値,右眼.角膜反射像X座標[pixel],右眼.角膜反射像Y座標[pixel],右眼.眼球画像X座標[pixel],右眼.眼球画像Y座標[pixel],右眼.眼球画像幅[pixel],右眼.眼球画像高さ[pixel],右眼.眼球画像不透明度
11,68340,52857892,,,,,,951.823,577.287,-98.407,-448.708,7916.089,,Both,907.887,652.186,-35.649,-76.745,450.000,-0.005153,-0.044241,0.999008,-33.000,-54.000,-63.600,5.446,208.641,185.172,43.141,39.438,120.859,Auto,197.328,194.813,1590,10,320,240,1.000,,Both,996.807,657.740,25.179,-80.544,450.000,-0.015206,-0.051607,0.998552,33.000,-54.000,-63.600,4.760,203.969,153.422,37.703,35.391,157.828,Auto,196.578,159.219,10,10,320,240,1.000
12,68341,52858642,,,,,,948.609,574.978,-209.375,-642.886,12090.504,,Both,903.886,650.231,-38.386,-75.407,450.000,-0.010478,-0.041642,0.999078,-33.000,-54.000,-63.600,5.327,208.906,185.016,42.188,37.094,117.578,Auto,197.297,194.781,1590,10,320,240,0.000,,Both,995.400,659.150,24.216,-81.508,450.000,-0.017075,-0.053476,0.998423,33.000,-54.000,-63.600,4.740,203.922,153.500,37.547,34.813,161.219,Auto,196.453,159.219,10,10,320,240,0.000
13,68342,52859392,,,,,,953.437,580.431,-62.174,-382.998,6231.363,,Both,909.027,656.891,-34.870,-79.963,450.000,-0.003636,-0.050487,0.998718,-33.000,-54.000,-63.600,5.401,208.609,185.359,42.781,39.672,120.672,Auto,197.391,194.734,1590,10,320,240,1.000,,Both,997.421,659.129,25.599,-81.494,450.000,-0.014388,-0.053450,0.998467,33.000,-54.000,-63.600,4.751,203.688,153.516,37.641,34.781,160.484,Auto,196.344,159.234,10,10,320,240,1.000
14,68343,52860142,,,,,,952.901,580.058,-64.832,-365.830,6007.445,,Both,908.066,657.085,-35.527,-80.096,450.000,-0.004914,-0.050743,0.998700,-33.000,-54.000,-63.600,5.416,208.656,185.375,42.906,39.484,120.906,Auto,197.375,194.750,1590,10,320,240,0.000,,Both,996.349,657.873,24.866,-80.635,450.000,-0.015814,-0.051784,0.998533,33.000,-54.000,-63.600,4.755,203.719,153.469,37.672,35.094,153.656,Auto,196.313,159.266,10,10,320,240,0.000
15,68344,52860892,,,,,,952.232,580.353,-75.285,-391.070,6375.071,,Both,908.229,655.841,-35.415,-79.245,450.000,-0.004697,-0.049092,0.998783,-33.000,-54.000,-63.600,5.389,208.469,185.344,42.688,39.672,120.016,Auto,197.203,194.797,1590,10,320,240,1.000,,Both,996.419,659.689,24.913,-81.877,450.000,-0.015720,-0.054191,0.998407,33.000,-54.000,-63.600,4.765,203.766,153.641,37.750,35.219,157.797,Auto,196.359,159.328,10,10,320,240,1.000
16,68345,52861642,,,,,,951.100,576.078,-161.157,-653.283,11911.242,,Both,907.197,650.617,-36.122,-75.671,450.000,-0.006073,-0.042157,0.999093,-33.000,-54.000,-63.600,5.402,208.484,185.047,42.781,38.828,119.016,Auto,197.109,194.797,1590,10,320,240,0.000,,Both,996.887,657.978,25.234,-80.707,450.000,-0.015099,-0.051923,0.998537,33.000,-54.000,-63.600,4.703,203.813,153.594,37.250,34.500,155.109,Auto,196.438,159.375,10,10,320,240,0.000
17,68346,52862392,,,,,,951.383,574.314,-124.518,-495.862,9505.836,,Both,905.647,651.797,-37.182,-76.479,450.000,-0.008134,-0.043723,0.999011,-33.000,-54.000,-63.600,5.335,208.625,185.047,42.250,38.281,122.063,Auto,197.156,194.734,1590,10,320,240,1.000,,Both,996.454,654.625,24.938,-78.413,450.000,-0.015678,-0.047474,0.998749,33.000,-54.000,-63.600,4.712,203.797,153.391,37.328,34.297,157.922,Auto,196.406,159.359,10,10,320,240,1.000
18,68347,52863142,,,,,,950.143,574.721,-181.059,-637.789,12083.240,,Both,905.742,649.728,-37.117,-75.063,450.000,-0.008008,-0.040975,0.999128,-33.000,-54.000,-63.600,5.313,208.797,184.844,42.094,37.563,122.438,Auto,197.313,194.641,1590,10,320,240,0.000,,Both,996.243,657.230,24.793,-80.195,450.000,-0.015956,-0.050930,0.998575,33.000,-54.000,-63.600,4.706,203.781,153.469,37.266,35.203,154.297,Auto,196.375,159.297,10,10,320,240,0.000
19,68348,52863892,,,,,,947.901,573.670,-209.822,-583.919,11408.102,,Both,904.459,646.463,-37.995,-72.829,450.000,-0.009718,-0.036635,0.999281,-33.000,-54.000,-63.600,5.294,209.031,184.625,41.938,37.047,117.719,Auto,197.438,194.609,1590,10,320,240,1.000,,Both,994.739,657.920,23.764,-80.667,450.000,-0.017956,-0.051843,0.998494,33.000,-54.000,-63.600,4.675,203.844,153.500,37.031,34.219,158.063,Auto,196.344,159.281,10,10,320,240,1.000
20,68349,52864642,,,,,,952.399,580.602,-63.708,-340.294,5513.280,,Both,908.023,656.800,-35.557,-79.901,450.000,-0.004972,-0.050365,0.998719,-33.000,-54.000,-63.600,5.351,208.672,185.250,42.391,39.328,125.031,Auto,197.391,194.641,1590,10,320,240,0.000,,Both,995.545,658.062,24.316,-80.764,450.000,-0.016884,-0.052033,0.998503,33.000,-54.000,-63.600,4.684,203.875,153.516,37.094,34.266,161.031,Auto,196.422,159.297,10,10,320,240,0.000
