condition,metric,image_key,F,p,df1,df2,eta_p2,n_subjects_complete
dark,miosis_rate,sun_empty,100.4374631256771,1.7206337255432948e-10,2.0,18.0,0.9177612515591258,10
dark,miosis_rate,sun_busy,132.03095396593002,1.7553050111418608e-11,2.0,18.0,0.9361842223504054,10
dark,miosis_rate,rain_empty,54.15877625021238,2.4225861236589262e-08,2.0,18.0,0.8575019888867822,10
dark,miosis_rate,rain_busy,71.75402455300339,2.6528030302292682e-09,2.0,18.0,0.8885504462493656,10
dark,miosis_rate,ALL,312.31349736728566,1.0612601611235729e-14,2.0,18.0,0.9719899721806199,10
