0,1
44_P_brightness2.6_gamma0.51_sharpness0.57.jpg,"[2.505168654962943, nan, 1]"
30_8_sharpness0.28_gamma1.0_equalization4.4.jpg,"[2.511541977838798, nan, 1]"
25_3_brightness25.0_sharpness0.86_gamma0.78.jpg,"[2.5177477941176734, 0.6910929627205468, 4]"
13_S_contrast0.86_brightness25.0_gamma0.68.jpg,"[2.519616935963357, 0.6265750055101511, 3]"
35_1_sharpness0.16_gamma1.1.jpg,"[2.521966941917611, 0.29159432785210976, 2]"
39_7_brightness13.0_sharpness0.54_gamma0.61.jpg,"[2.526501538385, nan, 1]"
41_P_sharpness0.97_equalization27.0.jpg,"[2.5276568044354257, 0.5525754184161633, 4]"
46_I_brightness2.1_contrast0.92_gamma1.0.jpg,"[2.530708827056248, nan, 1]"
40_C_contrast1.1_brightness20.0_sharpness0.58.jpg,"[2.532098736265091, nan, 1]"
11_8_contrast1.0_brightness25.0.jpg,"[2.538790958767186, nan, 1]"
9_I_gamma0.81_contrast0.98_equalization25.0.jpg,"[2.547467462490522, nan, 1]"
10_S_brightness16.0_gamma0.8.jpg,"[2.551029636853809, 0.28467090601242906, 3]"
40_S_brightness20.0_gamma0.69.jpg,"[2.556751555005682, nan, 1]"
6_3_contrast1.1_sharpness0.6_equalization22.0.jpg,"[2.557504498588483, nan, 1]"
31_B_brightness1.9_contrast1.1.jpg,"[2.561005270449683, 0.6620361720703505, 4]"
43_3_gamma1.1_brightness7.6_contrast0.9.jpg,"[2.561959322527756, nan, 1]"
45_2_sharpness0.75_brightness24.0.jpg,"[2.562835487529381, nan, 1]"
12_9_gamma1.0_contrast0.97_equalization6.2.jpg,"[2.571492961774293, nan, 1]"
3_8_sharpness0.26_contrast1.1_equalization28.0.jpg,"[2.583557526491344, nan, 1]"
7_B_sharpness0.75_equalization7.4.jpg,"[2.587649202677359, nan, 1]"
44_7_gamma0.82_sharpness0.4_equalization10.0.jpg,"[2.589949855336108, nan, 1]"
1_S_contrast1.1_sharpness0.42.jpg,"[2.590315576560477, 1.6192183406810108, 2]"
34_8_sharpness0.33_contrast0.87_equalization28.0.jpg,"[2.591745033099102, nan, 1]"
16_I_gamma0.83_contrast0.91_equalization28.0.jpg,"[2.5948050267089746, 0.42466069985386995, 4]"
21_T_contrast0.9_brightness0.7.jpg,"[2.59500293313475, nan, 1]"
46_8_contrast1.0_gamma0.64_equalization30.0.jpg,"[2.599771193360176, nan, 1]"
18_2_sharpness0.15_brightness1.9_gamma0.74.jpg,"[2.601198991570356, nan, 1]"
34_E_brightness9.1_gamma0.92_sharpness0.45.jpg,"[2.602595344691692, nan, 1]"
5_9_sharpness0.22_gamma0.83_contrast0.94.jpg,"[2.607656660680424, nan, 1]"
5_T_contrast1.1_gamma0.8_brightness14.0.jpg,"[2.608630888451166, nan, 1]"
7_P_brightness1.5_gamma0.85_contrast0.92.jpg,"[2.611212728017184, 0.9810197103332067, 2]"
11_1_contrast0.9_brightness26.0.jpg,"[2.614249566789956, nan, 1]"
41_9_brightness6.6_gamma0.92.jpg,"[2.615861283788292, 0.5746120325547629, 4]"
2_8_contrast1.1_brightness6.0_sharpness0.059.jpg,"[2.6160342427710557, 0.3351025259312417, 2]"
24_P_sharpness0.2_gamma0.8_contrast1.0.jpg,"[2.622583355735105, nan, 1]"
38_C_gamma0.85_sharpness0.033_equalization12.0.jpg,"[2.623641196725498, nan, 1]"
29_B_gamma0.53_equalization20.0.jpg,"[2.624994166098045, 0.4860980883386519, 4]"
3_3_gamma0.58_contrast1.1_equalization28.0.jpg,"[2.626237019629384, nan, 1]"
33_7_brightness12.0_contrast0.91_gamma0.78.jpg,"[2.629516898309848, nan, 1]"
9_C_gamma0.91_contrast1.0_equalization23.0.jpg,"[2.639093487854816, nan, 1]"
27_C_gamma1.1_sharpness0.94.jpg,"[2.643687476213912, nan, 1]"
8_0_sharpness0.13_equalization23.0.jpg,"[2.645482032170423, nan, 1]"
31_8_brightness22.0_sharpness0.39.jpg,"[2.647652327032201, nan, 1]"
