,image_name
196,22_T_contrast0.934_sharpness0.399_equalization4.632.jpg
613,25_7_contrast0.971_sharpness0.471_equalization9.322.jpg
814,20_S_contrast1.0_sharpness0.549_equalization7.37.jpg
961,6_P_contrast0.971_sharpness0.508_equalization5.842.jpg
