day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-09-02,12:57:56.951242,t,8.814338207244873,1.2237248420715332,4_2_contrast1.0_gamma0.91_equalization23.0.jpg,4,4,2,1.0,0.91,0,0,23.0
2023-09-02,12:58:11.767218,f,23.630314111709595,0.9560585021972656,10_9_gamma1.1_contrast0.89_equalization16.0.jpg,0,10,9,0.89,1.1,0,0,16.0
2023-09-02,12:58:14.416422,f,26.279518365859985,1.09708833694458,11_J_gamma0.84_sharpness0.47_equalization19.0.jpg,2,11,J,0,0.84,0.47,0,19.0
2023-09-02,12:58:14.633699,t,26.496794939041138,1.3143649101257324,11_J_gamma0.84_sharpness0.47_equalization19.0.jpg,2,11,J,0,0.84,0.47,0,19.0
2023-09-02,12:58:17.033123,f,28.89621901512146,1.2523951530456543,12_9_sharpness0.53_contrast1.1_brightness5.5.jpg,4,12,9,1.1,0,0.53,5.5,0
2023-09-02,12:58:29.327073,f,41.19016885757446,1.083940505981445,17_S_gamma0.69_sharpness0.44_equalization24.0.jpg,4,17,S,0,0.69,0.44,0,24.0
2023-09-02,12:58:36.726062,f,48.589157819747925,0.9747934341430664,20_9_sharpness0.63_contrast1.2_brightness27.0.jpg,4,20,9,1.2,0,0.63,27.0,0
2023-09-02,12:59:01.730554,f,73.59365010261536,0.9728178977966307,30_7_contrast1.1_sharpness0.88_equalization29.0.jpg,2,30,7,1.1,0,0.88,0,29.0
2023-09-02,12:59:04.377040,f,76.23820996284485,1.063007354736328,31_B_gamma1.1_sharpness0.21_equalization29.0.jpg,4,31,B,0,1.1,0.21,0,29.0
2023-09-02,12:59:17.048395,t,88.91149044036865,1.253469705581665,36_2_sharpness0.28_brightness15.0_gamma0.9.jpg,0,36,2,0,0.9,0.28,15.0,0
2023-09-02,12:59:19.368567,t,91.21612215042114,1.0352482795715332,37_9_contrast1.0_sharpness0.73_equalization26.0.jpg,4,37,9,1.0,0,0.73,0,26.0
2023-09-02,12:59:29.323843,f,101.18693900108336,1.0157504081726074,41_P_sharpness0.42_brightness0.67_gamma0.61.jpg,1,41,P,0,0.61,0.42,0.67,0
2023-09-02,12:59:32.005954,f,103.85358905792236,1.175961971282959,42_9_sharpness0.077_contrast1.2_equalization6.3.jpg,4,42,9,1.2,0,0.077,0,6.3
2023-09-02,12:59:44.124716,f,115.98781180381776,0.8317415714263916,47_E_sharpness0.057_contrast0.86_gamma0.81.jpg,4,47,E,0.86,0.81,0.057,0,0
