condition,metric,zcol,image_key,F,p,df1,df2,eta_sq,n_total,n_original,n_brightonly,n_model
dark,miosis_rate,z_miosis_rate,sun_empty,132.27577290657192,8.217994641094981e-41,2.0,271.0,0.49397961387912226,274,83,112,79
dark,miosis_rate,z_miosis_rate,sun_busy,163.5777613867844,1.7808602855896255e-47,2.0,274.0,0.5442111240435117,277,90,61,126
dark,miosis_rate,z_miosis_rate,rain_empty,61.214197669277056,1.4879333165114488e-22,2.0,263.0,0.3176423865476101,266,62,90,114
dark,miosis_rate,z_miosis_rate,rain_busy,148.2853257831708,1.2099568105922536e-44,2.0,280.0,0.51437000957413,283,96,88,99
dark,miosis_rate,z_miosis_rate,ALL,464.71301450993144,6.479119280470756e-147,2.0,1097.0,0.4586528280380436,1100,331,351,418
