trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S03_3_11,S03,3,11,9,match,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,,,,,,,M_3_9_9_match_9_day_sun_busy_ORIG.jpg,Match,2026-01-08T16:52:26.613,1767858746.613119,38.44491052627564,2307,4613,2026-01-08T16:52:28.848,2.2354681491851807,9,9,t,1,Hit,正解(一致),4613,3.39,3.322,3.356,641.952,1.5577488659588257,3.4158,3.2856,3.3507,641.9105999999999,1.560825920890895,1.570288360804869,4618.0
S03_3_12,S03,3,12,F,filler,6,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\6_day_rain_busy.jpg,,,,,,,M_3_11_F_filler_6_day_rain_busy_ORIG.jpg,Ignore,2026-01-08T16:52:30.459,1767858750.459744,42.29153561592102,2537,5075,,,F,6,,1,Correct Rejection,正解(スルー成功),5075,4.299,3.265,3.782,703.672,1.421116656624109,3.6002,3.265,3.4326,693.8808,0.0,,
S03_3_13,S03,3,13,R,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\2_day_sun_busy.jpg,brightness,45.47,,,,,M_3_26_R_filler_2_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T16:52:34.287,1767858754.2879424,46.11973404884338,2767,5534,,,R,2,,1,Correct Rejection,正解(スルー成功),5534,3.604,3.268,3.436,726.916,1.3756747684739363,3.6374000000000004,3.1114,3.3744000000000005,730.9359999999999,0.0,,
S03_3_14,S03,3,14,5,unmatch,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,,,,,,,M_3_27_5_unmatch_3_day_rain_empty_ORIG.jpg,Mismatch,2026-01-08T16:52:38.137,1767858758.1377783,49.96956992149353,2998,5996,2026-01-08T16:52:40.469,2.332082986831665,5,3,b,1,Correct Rejection,正解(不一致),5996,3.189,2.757,2.973,751.129,1.3313292390521467,3.1209999999999996,2.7882000000000002,2.9546,751.3217999999999,0.0,,
S03_3_15,S03,3,15,J,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\5_day_sun_busy.jpg,brightness,45.47,,,,,M_3_41_J_filler_5_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T16:52:41.990,1767858761.990714,53.82250571250916,3229,6459,,,J,5,,1,Correct Rejection,正解(スルー成功),6459,3.396,3.542,3.469,975.951,1.0246416059822676,3.4753,3.1306000000000003,3.30295,886.008,0.0,,
S03_3_16,S03,3,16,7,match,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\7_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_3_34_7_match_7_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Match,2026-01-08T16:52:45.836,1767858765.836762,57.668553590774536,3460,6920,2026-01-08T16:52:48.212,2.375446081161499,7,7,t,1,Hit,正解(一致),6920,3.701,3.463,3.582,790.296,1.265348679482118,3.6911,3.4275999999999995,3.55935,792.9634,0.0,1.587048402019762,7147.0
S03_3_17,S03,3,17,I,filler,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\3_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_16_I_filler_3_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T16:52:49.682,1767858769.6824276,61.51421928405762,3691,7382,,,I,3,,1,Correct Rejection,正解(スルー成功),7382,3.69,3.439,3.5645,753.346,1.3274113090133883,3.6892666666666663,3.4202,3.554733333333333,772.948,0.0,1.513503465648056,7450.0
S03_3_18,S03,3,18,S,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,brightness,36.09,,,,,M_3_8_S_filler_3_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Ignore,2026-01-08T16:52:53.542,1767858773.5428593,65.3746509552002,3922,7845,,,S,3,,1,Correct Rejection,正解(スルー成功),7845,3.757,3.475,3.616,868.077,1.151971541695034,3.7664,3.3935000000000004,3.57995,851.8324,0.0,1.5104718129987336,7960.0
S03_3_19,S03,3,19,B,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\5_day_rain_empty.jpg,brightness,35.62,,,,,M_3_10_B_filler_5_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T16:52:57.401,1767858777.401436,69.23322772979736,4154,8308,,,B,5,,1,Correct Rejection,正解(スルー成功),8308,3.711,3.298,3.5045,783.744,1.275926833251674,3.6397999999999997,3.333799999999999,3.4867999999999997,772.6036,0.0,,
S03_3_20,S03,3,20,D,filler,6,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\6_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_3_46_D_filler_6_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-08T16:53:01.246,1767858781.246944,73.07873558998108,4385,8769,,,D,6,,1,Correct Rejection,正解(スルー成功),8769,3.296,3.002,3.149,685.011,1.4598305720638063,3.3006,3.0066,3.1536,690.2916,0.0,,
S03_3_21,S03,3,21,4,unmatch,0,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\0_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_3_7_4_unmatch_0_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Mismatch,2026-01-08T16:53:05.079,1767858785.079419,76.91121029853821,4615,9229,2026-01-08T16:53:06.791,1.7117795944213867,4,0,b,1,Correct Rejection,正解(不一致),9229,3.188,2.875,3.0315000000000003,815.4,1.226391954868776,3.184,2.8384,3.0112,806.5142,0.0,1.5445716205855213,9301.0
S03_3_22,S03,3,22,G,filler,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\3_day_sun_empty.jpg,,,,,,,M_3_2_G_filler_3_day_sun_empty_ORIG.jpg,Ignore,2026-01-08T16:53:08.950,1767858788.950183,80.78197455406189,4847,9694,,,G,3,,1,Correct Rejection,正解(スルー成功),9694,3.314,2.918,3.116,867.599,1.1526062155442778,3.3106,2.9208,3.1157,865.1610000000003,0.0,1.7318218000604446,9790.0
S03_3_23,S03,3,23,6,match,6,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\6_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_22_6_match_6_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-08T16:53:12.829,1767858792.8291233,84.6609148979187,5080,10159,2026-01-08T16:53:14.421,1.592475652694702,6,6,t,1,Hit,正解(一致),10159,3.512,3.264,3.388,717.891,1.3929691276252245,3.4932000000000003,3.2274000000000003,3.3603000000000005,716.4902000000002,0.0,,
