trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S110_6_11,S110,6,11,B,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,brightness,46.88,,,,,M_6_32_B_filler_1_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-11T14:20:41.285,1768108841.2852242,25.909640550613403,1555,3109,,,B,1,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,3109,5.473,5.442,5.4575,11108.786,0.09001883734190216,5.516800000000001,5.383,5.4499,,0.0,,
S110_6_12,S110,6,12,2,unmatch,0,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,,,,,,,M_6_22_2_unmatch_0_night_sun_empty_ORIG.jpg,Mismatch,2026-01-11T14:20:43.885,1768108843.8854403,28.509856700897217,1711,3421,2026-01-11T14:20:44.822,0.9375474452972412,2,0,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S110\6\M_6_22_2_unmatch_0_night_sun_empty_ORIG.jpg,M_6_22_2_unmatch_0_night_sun_empty_ORIG.jpg,3421,5.953,5.645,5.7989999999999995,19928.796,0.050178646015544545,5.9226,5.5878,5.7552,,0.0,,
S110_6_13,S110,6,13,D,filler,0,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,,,,,,,M_6_37_D_filler_0_night_rain_empty_ORIG.jpg,Ignore,2026-01-11T14:20:46.483,1768108846.4830334,31.107449769973755,1866,3733,,,D,0,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,3733,5.579,5.16,5.3695,13150.638,0.07604193804133305,5.5793,5.1537999999999995,5.36655,,0.0,1.8260208540147542,3794.0
S110_6_14,S110,6,14,4,match,4,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\4_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_6_28_4_match_4_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Match,2026-01-11T14:20:49.067,1768108849.0671449,33.691561222076416,2021,4043,2026-01-11T14:20:49.984,0.9169433116912842,4,4,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Dark\S110\6\M_6_28_4_match_4_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,M_6_28_4_match_4_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,4043,5.587,5.269,5.428,10949.168,0.09133114041176463,5.5794,5.2780000000000005,5.4287,,0.0,,
S110_6_15,S110,6,15,E,filler,0,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,,,,,,,M_6_24_E_filler_0_night_sun_empty_ORIG.jpg,Ignore,2026-01-11T14:20:51.673,1768108851.6732595,36.29767608642578,2178,4356,,,E,0,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,4356,4.364,4.182,4.273,8525.513,0.11729499444784143,4.3607,4.1634,4.26205,,0.0,1.5873181029770742,4506.0
S110_6_16,S110,6,16,R,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\2_night_rain_busy.jpg,brightness,45.47,,,,,M_6_40_R_filler_2_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-11T14:20:54.268,1768108854.268648,38.89306449890137,2334,4667,,,R,2,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,4667,4.947,4.656,4.8015,8527.276,0.11727074390461854,4.9654,4.708799999999999,4.8370999999999995,,0.0,,
S110_6_17,S110,6,17,I,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,,,,,,,M_6_10_I_filler_7_night_sun_empty_ORIG.jpg,Ignore,2026-01-11T14:20:56.873,1768108856.87329,41.49770641326904,2490,4980,,,I,7,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,4980,3.975,3.808,3.8914999999999997,8512.562,0.11747344688943234,4.019,3.7979999999999996,3.9085,,0.0,,
S110_6_18,S110,6,18,D,filler,8,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,brightness,45.47,,,,,M_6_13_D_filler_8_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-11T14:20:59.496,1768108859.496353,44.120769023895264,2647,5294,,,D,8,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,5294,5.184,4.879,5.031499999999999,9421.424,0.10614106742250427,5.189000000000001,4.8558,5.022400000000001,,0.0,,
S110_6_19,S110,6,19,3,match,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_6_35_3_match_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-11T14:21:02.081,1768108862.081853,46.70626926422119,2802,5605,2026-01-11T14:21:03.036,0.9545385837554932,3,3,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Dark\S110\6\M_6_35_3_match_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,M_6_35_3_match_3_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,5605,4.83,4.474,4.652,7978.587,0.12533547606863218,4.8014,4.4414,4.6213999999999995,,0.0,2.1017883992476696,5663.0
S110_6_20,S110,6,20,C,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,brightness,45.47,,,,,M_6_36_C_filler_3_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-11T14:21:04.676,1768108864.6769624,49.30137872695923,2958,5916,,,C,3,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,5916,4.039,3.74,3.8895,5855.276,0.17078614227578684,4.0696,3.7972,3.9334000000000002,5576.128865000001,0.0,,
