condition,metric,zcol,image_key,F,p,df1,df2,eta_p2,n_subjects_complete
bright,diopter,z_diopter,sun_empty,0.17097983703962563,0.846804822341738,2.0,6.0,0.053920190548814584,4
bright,diopter,z_diopter,sun_busy,1.75462806811316,0.2511968069970073,2.0,6.0,0.3690358200424858,4
bright,diopter,z_diopter,rain_empty,5.0751751411198756,0.051275264912929636,2.0,6.0,0.6284910299067574,4
bright,diopter,z_diopter,rain_busy,0.2555564695650952,0.7825067015547279,2.0,6.0,0.07849855223037633,4
bright,diopter,z_diopter,ALL,1.247655745502061,0.3523025842198885,2.0,6.0,0.29372807502661485,4
