condition,metric,image_key,n_subjects,F,p,eta_p2,mean_original,mean_brightonly,mean_model,sem_original,sem_brightonly,sem_model
dark,RT,sun_empty,10,0.4144302686242679,0.6668623487439989,0.04402074865915691,1.329293074974647,1.3143214404582977,1.3189530025828968,0.08584907818506561,0.0818170205136684,0.07872958140071593
dark,RT,sun_busy,10,0.025840225660032426,0.97452685654396,0.002862916361688954,1.3303270210058262,1.330189069112142,1.3255599417717627,0.08278590755909086,0.08622227690085496,0.072912863904106
dark,RT,rain_empty,10,0.3723853556644213,0.6942747232117693,0.03973218572786932,1.359484372138977,1.3417491601063656,1.342120115897235,0.06872905543775247,0.08620797625923124,0.08171585556562626
dark,RT,rain_busy,10,0.252373220451703,0.7796582854336083,0.027276593198148364,1.3775012571733076,1.3777706319635565,1.391582797254835,0.07598470641935408,0.08865853019685939,0.0872478315252332
dark,RT,ALL,10,0.3731179343887134,0.6937865113648084,0.039807237783682815,1.3490116845247697,1.3393180599699215,1.3445321329232665,0.07777144264097517,0.08410371766458363,0.07883852787664744
dark,miosis_rate,sun_empty,10,100.4374631256771,1.7206337255432948e-10,0.9177612515591258,0.06057304044363959,0.18976966063702627,0.1994819272304572,0.013135635490706952,0.011720270884344875,0.013064220943063283
dark,miosis_rate,sun_busy,10,132.03095396593002,1.7553050111418608e-11,0.9361842223504054,0.08202596355845829,0.21622802329499818,0.22983512660351604,0.012013206236711907,0.012799867246589491,0.007737290850132111
dark,miosis_rate,rain_empty,10,54.15877625021238,2.4225861236589262e-08,0.8575019888867822,0.09884681250222158,0.2175284663989117,0.21838243413838057,0.01602468733258054,0.010958727661309876,0.012183188317016095
dark,miosis_rate,rain_busy,10,71.75402455300339,2.6528030302292682e-09,0.8885504462493656,0.1026935833718102,0.2310151763727139,0.2347207180751146,0.009834463471603813,0.017727616052127665,0.014291194392805505
dark,miosis_rate,ALL,10,312.31349736728566,1.0612601611235729e-14,0.9719899721806199,0.08693594737340941,0.21215105450691335,0.22207693006943902,0.010098589998306685,0.01117544572069154,0.010136817542043977
dark,diopter,sun_empty,10,0.581680196749465,0.5691248400617167,0.06070753613200292,3.953355733780809,4.178815569531869,4.362634945998834,0.405020065830874,0.5579031159328857,0.581563677791361
dark,diopter,sun_busy,10,0.44862786680781236,0.6454518988539695,0.047480742509058066,4.107853374984323,4.1717049796979495,4.351175331565995,0.4816038325214615,0.5367681969229428,0.5777405652300345
dark,diopter,rain_empty,10,1.4555575439091892,0.2594524736990906,0.13921376624789503,4.063704629957862,4.398759578371521,4.096926446660044,0.47549545413395056,0.5828971033920797,0.5176519155784864
dark,diopter,rain_busy,10,2.7311970383761426,0.09206649743040934,0.23281486360186485,3.9459157717392004,4.398847355655507,4.290079802957709,0.502091609661002,0.5661450785152591,0.5224925993040948
dark,diopter,ALL,10,1.3863237889813438,0.2754392761021255,0.1334758878258801,4.036218225412115,4.3015281324488175,4.267506871507315,0.45254896451182675,0.5292440630070927,0.5267965953068349
