,フレーム数,両眼.注視Z座標[mm]
0,1088,1.5756468030126367
3,5005,1.9565719294538424
5,5940,2.287491993778022
6,8007,2.5627883136852896
7,9207,2.07706319880195
8,9525,2.3843358670875814
9,10410,2.5229843877726084
10,12531,2.085401356345042
