day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-09-01,21:49:39.366012,f,1.869666337966919,1.758533000946045,1_B_contrast0.86_sharpness0.53_equalization17.0.jpg,2,1,B,0.86,0,0.53,0,17.0
2023-09-01,21:49:49.122033,f,11.635324954986572,1.5299289226531982,5_8_sharpness0.27_equalization27.0.jpg,4,5,8,0,0,0.27,0,27.0
2023-09-01,21:50:09.143079,f,31.656371355056763,1.5668001174926758,13_2_brightness2.8_sharpness0.43.jpg,0,13,2,0,0,0.43,2.8,0
2023-09-01,21:50:11.745775,t,34.25906705856323,1.6455841064453125,14_J_sharpness0.33_equalization15.0.jpg,2,14,J,0,0,0.33,0,15.0
2023-09-01,21:50:14.443604,f,36.95689654350281,1.8680691719055176,15_P_gamma0.88_sharpness0.31_contrast0.84.jpg,4,15,P,0.84,0.88,0.31,0,0
2023-09-01,21:50:46.785929,f,69.29922127723694,1.6926090717315674,28_E_contrast0.91_sharpness0.6_equalization26.0.jpg,1,28,E,0.91,0,0.6,0,26.0
2023-09-01,21:50:49.293625,f,71.80691742897034,1.7081873416900637,29_0_brightness8.3_sharpness0.15_contrast1.1.jpg,4,29,0,1.1,0,0.15,8.3,0
2023-09-01,21:50:54.234254,f,76.74754619598389,1.6473901271820068,31_S_sharpness0.15_gamma1.0_equalization22.0.jpg,1,31,S,0,1.0,0.15,0,22.0
2023-09-01,21:50:56.694844,f,79.20813632011414,1.601288080215454,32_T_contrast1.1_gamma0.64.jpg,4,32,T,1.1,0.64,0,0,0
2023-09-01,21:51:01.836526,t,84.34981799125671,1.7403907775878906,34_P_brightness20.0_sharpness0.58.jpg,4,34,P,0,0,0.58,20.0,0
2023-09-01,21:51:09.268150,t,91.78144264221191,1.7069292068481443,37_E_contrast0.98_equalization5.2.jpg,4,37,E,0.98,0,0,0,5.2
2023-09-01,21:51:14.158817,f,96.67210912704468,1.4875521659851074,39_0_brightness28.0_contrast1.0_sharpness0.43.jpg,4,39,0,1.0,0,0.43,28.0,0
2023-09-01,21:51:21.732175,f,104.2454674243927,1.566983699798584,42_0_gamma1.0_sharpness0.98.jpg,4,42,0,0,1.0,0.98,0,0
2023-09-01,21:51:36.907512,t,119.40532565116882,1.7846815586090088,48_8_sharpness0.68_equalization11.0.jpg,4,48,8,0,0,0.68,0,11.0
