特徴量,Pearson相関係数,Spearman相関係数,Spearman p値,サンプル数
parafovea_c_glcm_energy,-0.1717597796265618,-0.14037078934617075,1.0777102634384735e-07,1421
parafovea_c_local_rms_mean,0.14784783390527076,0.14478522867954371,4.2065888801396326e-08,1421
parafovea_c_bandpow_0.25-0.50cpd,-0.1444315438929202,-0.13650477261231778,2.399606918557688e-07,1421
parafovea_c_bandpow_0.50-1.00cpd,-0.13932798207901012,-0.13429261382160526,3.7566875817345056e-07,1421
parafovea_c_rms_contrast,0.13686645692979738,0.12754003248654516,1.412398454803156e-06,1421
parafovea_c_glcm_correlation,-0.10809059991626158,-0.09415330221081791,0.0003794317779346336,1421
parafovea_c_glcm_homogeneity,-0.1022422743703356,-0.09028732311635211,0.0006557270911073117,1421
parafovea_c_glcm_dissimilarity,0.08972437118072674,0.06415992579146601,0.015565526709409975,1421
parafovea_c_bandpow_1.00-2.00cpd,-0.0751166584231593,-0.07537572710565683,0.004470236103513204,1421
parafovea_c_glcm_contrast,0.07425230629628783,0.025390098189526256,0.3388596055747538,1421
parafovea_c_bandpow_4.00-8.00cpd,0.07141397248578278,0.027055339956205154,0.30812165228048766,1421
parafovea_c_bandpow_2.00-4.00cpd,0.0521076081263749,0.0028356782408454962,0.9149474026913635,1421
