0,1
20_T_gamma0.99_contrast0.99_equalization28.0.jpg,"[2.416890476168018, nan, 1]"
8_8_brightness24.0_contrast1.1.jpg,"[2.419256520744923, nan, 1]"
21_3_sharpness0.79_gamma0.71_equalization15.0.jpg,"[2.4207526629172444, 0.7138363979017351, 2]"
7_3_sharpness0.11_contrast1.0_brightness17.0.jpg,"[2.420826154361832, nan, 1]"
47_T_brightness18.0_sharpness0.91_contrast0.91.jpg,"[2.423053415552489, nan, 1]"
25_3_brightness25.0_sharpness0.86_gamma0.78.jpg,"[2.4320755147188047, 0.5744394849452888, 4]"
34_8_sharpness0.33_contrast0.87_equalization28.0.jpg,"[2.434561117609814, nan, 1]"
30_C_contrast1.0_sharpness1.0_equalization19.0.jpg,"[2.441580370054721, nan, 1]"
29_E_contrast0.89_sharpness0.5_equalization18.0.jpg,"[2.441833204304405, nan, 1]"
10_T_sharpness0.51_gamma0.57_equalization22.0.jpg,"[2.446244896647094, nan, 1]"
4_T_gamma1.1_sharpness0.74_equalization25.0.jpg,"[2.44752924476808, nan, 1]"
12_9_gamma1.0_contrast0.97_equalization6.2.jpg,"[2.462861681280365, nan, 1]"
3_7_sharpness0.8_brightness28.0_contrast0.9.jpg,"[2.463640383500835, 0.012467064976564562, 2]"
1_Q_brightness19.0_contrast1.1_sharpness0.43.jpg,"[2.4670385643362884, 0.4357118669181968, 2]"
11_P_gamma1.1_sharpness0.91_brightness2.0.jpg,"[2.472356172130364, nan, 1]"
6_8_contrast0.92_gamma0.69_equalization19.0.jpg,"[2.4726788002899793, 0.46986408705238597, 2]"
27_C_gamma1.1_sharpness0.94.jpg,"[2.473146830939523, nan, 1]"
31_C_contrast1.2_brightness0.12_gamma0.84.jpg,"[2.479705725639903, nan, 1]"
2_8_contrast1.1_brightness6.0_sharpness0.059.jpg,"[2.479798522278995, 0.5174902464889096, 2]"
4_S_sharpness0.51_gamma0.52_brightness7.8.jpg,"[2.481828858617713, nan, 1]"
10_S_brightness16.0_gamma0.8.jpg,"[2.4849180308518504, 0.20226799309778073, 4]"
33_7_brightness12.0_contrast0.91_gamma0.78.jpg,"[2.486894015634833, nan, 1]"
41_P_sharpness0.97_equalization27.0.jpg,"[2.4869019568711965, 0.4249680345336628, 4]"
31_S_sharpness0.14_contrast0.93_brightness21.0.jpg,"[2.488583104182205, nan, 1]"
9_I_gamma0.81_contrast0.98_equalization25.0.jpg,"[2.491085044788016, nan, 1]"
