,day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization
0,2023-09-01,18:57:50.931272,f,2.0867362022399902,1.9296133518219,1_I_sharpness0.57_gamma0.65_equalization11.0.jpg,2,1,I,0.0,0.65,0.57,0.0,11.0,300.0,153,3.884401885634488,0.0,pictures\transformed\roomBright_figureDark\I.JPG,sharpness,0.5744323503381502,gamma,0.6484849333468045,equalization,10.91088343560429,2.0,1_I_sharpness0.57_gamma0.65_equalization11.0.jpg,1.0,I,0.0,0.65,0.57,0.0,11.0
1,2023-09-01,18:58:02.942597,f,14.098061323165894,1.4613862037658691,6_S_contrast1.2_sharpness0.65_equalization10.0.jpg,4,6,S,1.2,0.0,0.65,0.0,10.0,1500.0,1628,3.4185848737624966,4.0,pictures\transformed\roomBright_figureDark\C.JPG,gamma,0.8382756104616997,sharpness,0.4243511721479069,None,None,1.0,5_C_gamma0.84_sharpness0.42.jpg,5.0,C,0.0,0.84,0.42,0.0,0.0
2,2023-09-01,18:58:50.556423,f,61.71188640594482,1.598745822906494,25_0_sharpness0.73_brightness22.0_contrast0.88.jpg,4,25,0,0.88,0.0,0.73,22.0,0.0,7200.0,7339,4.428346422201515,23.0,pictures\transformed\roomBright_figureDark\0.JPG,contrast,0.9792475198265136,brightness,23.65937741105934,gamma,0.6263936065110691,2.0,24_0_contrast0.98_brightness24.0_gamma0.63.jpg,24.0,0,0.98,0.63,0.0,24.0,0.0
3,2023-09-01,18:58:57.925969,f,69.08143305778503,1.3786613941192627,28_S_contrast1.1_gamma1.0_equalization13.0.jpg,1,28,S,1.1,1.0,0.0,0.0,13.0,8100.0,8239,3.889630416127409,26.0,pictures\transformed\roomBright_figureDark\E.JPG,brightness,28.47648128258199,contrast,1.009541587504804,None,None,2.0,27_E_brightness28.0_contrast1.0.jpg,27.0,E,1.0,0.0,0.0,28.0,0.0
4,2023-09-01,18:59:00.307021,f,71.44744372367859,1.2380211353302002,29_1_gamma0.74_sharpness0.34.jpg,0,29,1,0.0,0.74,0.34,0.0,0.0,8400.0,8519,4.142797587957058,27.0,pictures\transformed\roomBright_figureDark\S.JPG,contrast,1.109530806201418,gamma,0.9989469239822252,equalization,12.82037220586628,1.0,28_S_contrast1.1_gamma1.0_equalization13.0.jpg,28.0,S,1.1,1.0,0.0,0.0,13.0
5,2023-09-01,18:59:02.879889,t,74.03535342216492,1.411963701248169,30_8_brightness11.0_gamma0.84.jpg,4,30,8,0.0,0.84,0.0,11.0,0.0,8700.0,8820,4.002012803291449,28.0,pictures\transformed\roomBright_figureDark\1.JPG,gamma,0.7393449352206796,sharpness,0.3443732981562049,None,None,0.0,29_1_gamma0.74_sharpness0.34.jpg,29.0,1,0.0,0.74,0.34,0.0,0.0
6,2023-09-01,18:59:08.021573,f,79.17703700065613,1.5523414611816406,32_9_brightness23.0_gamma0.98_contrast0.99.jpg,4,32,9,0.99,0.98,0.0,23.0,0.0,9300.0,9426,4.119354241086457,30.0,pictures\transformed\roomBright_figureDark\E.JPG,sharpness,0.0282433386599862,equalization,25.32407590567683,None,None,2.0,31_E_sharpness0.028_equalization25.0.jpg,31.0,E,0.0,0.0,0.028,0.0,25.0
7,2023-09-01,18:59:35.431227,t,106.58264398574828,1.45833420753479,43_B_contrast0.92_brightness7.7.jpg,2,43,B,0.92,0.0,0.0,7.7,0.0,12600.0,12739,3.827435319290721,41.0,pictures\transformed\roomBright_figureDark\1.JPG,gamma,1.06377207245951,brightness,2.839382830714723,None,None,0.0,42_1_gamma1.1_brightness2.8.jpg,42.0,1,0.0,1.1,0.0,2.8,0.0
8,2023-09-01,18:59:38.044658,f,109.20012140274048,1.474513292312622,44_1_contrast1.1_sharpness0.88.jpg,4,44,1,1.1,0.0,0.88,0.0,0.0,12900.0,13056,3.6639248787965286,42.0,pictures\transformed\roomBright_figureDark\B.JPG,contrast,0.9191633745504628,brightness,7.697015678510918,None,None,2.0,43_B_contrast0.92_brightness7.7.jpg,43.0,B,0.92,0.0,0.0,7.7,0.0
9,2023-09-01,18:59:42.662920,t,113.8162796497345,1.1805427074432373,46_P_brightness12.0_gamma0.89.jpg,4,46,P,0.0,0.89,0.0,12.0,0.0,13500.0,13633,2.525426021750067,44.0,pictures\transformed\roomBright_figureDark\0.JPG,sharpness,0.1306192453958369,contrast,0.8411752833899039,equalization,25.05141896334219,0.0,45_0_sharpness0.13_contrast0.84_equalization25.0.jpg,45.0,0,0.84,0.0,0.13,0.0,25.0
