,image_name
324,3_E_gamma0.61_sharpness0.851_equalization23.342.jpg
578,41_8_gamma0.607_sharpness0.671_equalization22.841.jpg
785,22_I_gamma0.582_sharpness0.813_equalization22.682.jpg
935,43_I_gamma0.545_sharpness0.842_equalization31.982.jpg
1099,21_C_gamma0.638_sharpness0.797_equalization23.28.jpg
