,image_name
124,22_0_contrast1.062_gamma0.567_sharpness0.936.jpg
295,14_7_contrast0.982_gamma0.668_sharpness0.795.jpg
1074,18_0_contrast1.027_gamma0.654_sharpness0.886.jpg
