,image_name
488,26_T_contrast0.856_gamma0.684_sharpness0.537.jpg
656,12_7_contrast0.801_gamma0.617_sharpness0.582.jpg
741,35_B_contrast0.862_gamma0.607_sharpness0.399.jpg
871,35_E_contrast0.883_gamma0.552_sharpness0.563.jpg
