trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S01_6_32,S01,6,32,F,filler,3,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\3_day_sun_busy.jpg,brightness,25.454,contrast,1.16,gamma,1.064,M_6_45_F_filler_3_day_sun_busy_MODEL_brightness25.454_contrast1.160_gamma1.064.jpg,Ignore,2026-01-08T11:34:55.043,1767839695.043726,158.0592119693756,9484,18967,,,F,3,None,1,Correct Rejection,正解(スルー成功),18967,4.061,3.663,3.862,14081.396,0.07101568622883697,4.039000000000001,3.7172000000000005,3.8781000000000008,,0.0,,
S01_6_33,S01,6,33,4,unmatch,0,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\0_day_rain_busy.jpg,,,,,,,M_6_26_4_unmatch_0_day_rain_busy_ORIG.jpg,Mismatch,2026-01-08T11:35:00.129,1767839700.1291203,163.14460635185242,9789,19577,2026-01-08T11:35:01.550,1.421435832977295,4,0,b,1,Correct Rejection,正解(不一致),19577,3.607,3.208,3.4075,11533.39,0.08670477630601238,3.595600000000001,3.2270000000000003,3.4113000000000007,,0.0,,
S01_6_34,S01,6,34,G,filler,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\7_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_28_G_filler_7_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-08T11:35:05.228,1767839705.2289536,168.2444396018982,10095,20189,,,G,7,None,1,Correct Rejection,正解(スルー成功),20189,4.019,3.723,3.871,13348.579,0.07491434106956253,4.0398000000000005,3.747,3.8934,,0.0,,
S01_6_35,S01,6,35,1,match,1,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\1_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_6_5_1_match_1_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Match,2026-01-08T11:35:10.324,1767839710.324627,173.3401129245758,10400,20801,2026-01-08T11:35:12.048,1.7233943939208984,1,1,t,1,Hit,正解(一致),20801,,,,,,4.558428571428572,3.3821555555555554,3.9702920634920638,,0.0,,
S01_6_36,S01,6,36,A,filler,3,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\3_day_rain_busy.jpg,,,,,,,M_6_47_A_filler_3_day_rain_busy_ORIG.jpg,Ignore,2026-01-08T11:35:15.415,1767839715.4157574,178.43124341964722,10706,21412,,,A,3,None,1,Correct Rejection,正解(スルー成功),21412,3.578,3.275,3.4265,11048.415,0.09051072031599101,3.5836000000000006,3.2665999999999995,3.4251,,0.0,,
S01_6_37,S01,6,37,2,match,2,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\2_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_42_2_match_2_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-08T11:35:20.512,1767839720.5123022,183.52778816223145,11012,22023,2026-01-08T11:35:21.850,1.337773084640503,2,2,t,1,Hit,正解(一致),22023,3.733,3.364,3.5484999999999998,12090.901,0.08270682226246001,3.7192000000000007,3.3722000000000003,3.5457000000000005,,0.0,,
S01_6_38,S01,6,38,C,filler,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\7_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_6_27_C_filler_7_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Ignore,2026-01-08T11:35:25.622,1767839725.622407,188.63789296150208,11318,22637,,,C,7,None,1,Correct Rejection,正解(スルー成功),22637,3.455,3.133,3.294,10588.194,0.0944448127792143,3.4690000000000003,3.1884,3.3287000000000004,,0.0,,
S01_6_39,S01,6,39,9,match,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\9_day_rain_busy.jpg,,,,,,,M_6_29_9_match_9_day_rain_busy_ORIG.jpg,Match,2026-01-08T11:35:30.732,1767839730.7324193,193.747905254364,11625,23250,2026-01-08T11:35:32.290,1.5580172538757324,9,9,t,1,Hit,正解(一致),23250,3.781,3.498,3.6395,11384.677,0.08783736244778838,3.783200000000001,3.53,3.6566,,0.0,,
S01_6_40,S01,6,40,A,filler,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\9_day_sun_empty.jpg,,,,,,,M_6_37_A_filler_9_day_sun_empty_ORIG.jpg,Ignore,2026-01-08T11:35:35.811,1767839735.8115282,198.82701420784,11930,23859,,,A,9,None,1,Correct Rejection,正解(スルー成功),23859,3.441,3.137,3.2889999999999997,9337.91,0.10709034462743805,3.4464000000000006,3.1413,3.2938500000000004,,0.0,,
S01_6_41,S01,6,41,I,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\1_day_rain_empty.jpg,brightness,35.62,,,,,M_6_9_I_filler_1_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T11:35:40.898,1767839740.8984735,203.9139597415924,12235,24470,,,I,1,None,1,Correct Rejection,正解(スルー成功),24470,3.615,3.285,3.45,10650.742,0.09389017215889747,3.648400000000001,3.2906,3.4695000000000005,,0.0,,
S01_6_42,S01,6,42,8,unmatch,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\7_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_31_8_unmatch_7_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Mismatch,2026-01-08T11:35:46.043,1767839746.0438118,209.0592978000641,12544,25087,2026-01-08T11:35:47.452,1.4086101055145264,8,7,b,1,Correct Rejection,正解(不一致),25087,3.814,3.424,3.6189999999999998,10618.341,0.0941766703480327,3.8138000000000005,3.4272,3.6205000000000003,,0.0,,
S01_6_43,S01,6,43,E,filler,0,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\0_day_rain_busy.jpg,,,,,,,M_6_15_E_filler_0_day_rain_busy_ORIG.jpg,Ignore,2026-01-08T11:35:51.143,1767839751.143278,214.15876388549805,12850,25699,,,E,0,None,1,Correct Rejection,正解(スルー成功),25699,4.116,3.677,3.8964999999999996,19756.539,0.05061615296079946,4.1108,3.6676,3.8892,,0.0,,
S01_6_44,S01,6,44,7,unmatch,5,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\5_day_sun_busy.jpg,brightness,45.47,,,,,M_6_46_7_unmatch_5_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Mismatch,2026-01-08T11:35:56.231,1767839756.231626,219.24711203575131,13155,26310,2026-01-08T11:35:57.700,1.4690790176391602,7,5,b,1,Correct Rejection,正解(不一致),26310,3.891,3.634,3.7625,9570.494,0.10448781431763082,3.8901000000000012,3.5707999999999998,3.7304500000000003,,0.0,,
S01_6_45,S01,6,45,J,filler,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,,,,,,,M_6_32_J_filler_9_day_rain_empty_ORIG.jpg,Ignore,2026-01-08T11:36:01.334,1767839761.3345025,224.3499884605408,13461,26922,,,J,9,None,1,Correct Rejection,正解(スルー成功),26922,3.674,3.239,3.4565,10328.278,0.09682156115472491,3.6760000000000006,3.2387,3.4573500000000004,,0.0,,
S01_6_46,S01,6,46,L,filler,8,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\8_day_sun_busy.jpg,brightness,45.47,,,,,M_6_4_L_filler_8_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T11:36:06.433,1767839766.4337702,229.4492561817169,13767,27534,,,L,8,None,1,Correct Rejection,正解(スルー成功),27534,3.886,3.468,3.677,11752.954,0.08508499224960805,3.8696000000000006,3.5262000000000002,3.6979000000000006,,0.0,,
S01_6_47,S01,6,47,3,unmatch,0,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\0_day_sun_empty.jpg,,,,,,,M_6_17_3_unmatch_0_day_sun_empty_ORIG.jpg,Mismatch,2026-01-08T11:36:11.531,1767839771.531299,234.54678511619568,14073,28146,2026-01-08T11:36:13.249,1.7179529666900637,3,0,b,1,Correct Rejection,正解(不一致),28146,3.592,3.266,3.4290000000000003,10212.227,0.09792183428746735,3.5908000000000007,3.2647999999999997,3.4278000000000004,,0.0,,
S01_6_48,S01,6,48,G,filler,7,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\7_day_sun_busy.jpg,brightness,45.47,,,,,M_6_24_G_filler_7_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T11:36:16.628,1767839776.6282306,239.6437165737152,14379,28757,,,G,7,None,1,Correct Rejection,正解(スルー成功),28757,4.029,3.773,3.901,11926.857,0.0838443858260395,4.030200000000001,3.7478000000000002,3.8890000000000002,,0.0,,
