condition,metric,image_key,F,p,df1,df2,eta_p2,n_subjects_complete
bright,RT,sun_empty,2.1380084705889955,0.18035576610326765,2.0,8.0,0.3483228282974062,5
bright,RT,sun_busy,0.4144510158319424,0.6741137054041816,2.0,8.0,0.09388506392880099,5
bright,RT,rain_empty,0.10510364142225923,0.9014537723121511,2.0,8.0,0.025603163915697117,5
bright,RT,rain_busy,0.36099852680930433,0.7077766085515128,2.0,8.0,0.0827788692406247,5
bright,RT,ALL,1.743334590971865,0.23527917789420874,2.0,8.0,0.30354048912843584,5
