,フレーム数,両眼.注視Z座標[mm]
0,1917,6.510299503267524
1,2258,6.288084624562993
2,5849,6.27276699477918
3,8579,6.64820766021828
4,10364,7.376826115374848
5,11261,3.429586360544595
6,12729,7.2716529571225665
