trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S03_7_24,S03,7,24,1,match,1,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\1_night_sun_busy.jpg,brightness,43.12,,,,,M_7_12_1_match_1_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Match,2026-01-06T16:55:26.562,57.49710011482239,3450,6900,,,1,1,None,0,Omission,無反応(不正解)
S03_7_25,S03,7,25,U,filler,7,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_7_23_U_filler_7_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-06T16:55:29.060,59.99442219734192,3600,7199,2026-01-06 16:55:30.218156,1.158128023147583,U,7,t,0,False Alarm,お手つき(スルー失敗)
S03_7_26,S03,7,26,C,filler,4,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\4_night_sun_busy.jpg,brightness,43.12,,,,,M_7_18_C_filler_4_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-06T16:55:31.587,62.521437883377075,3751,7503,,,C,4,None,1,Correct Rejection,正解(スルー成功)
S03_7_27,S03,7,27,R,filler,6,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,,,,,,,M_7_26_R_filler_6_night_sun_busy_ORIG.jpg,Ignore,2026-01-06T16:55:34.064,64.99915194511414,3900,7800,,,R,6,None,1,Correct Rejection,正解(スルー成功)
S03_7_28,S03,7,28,9,match,9,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,,,,,,,M_7_5_9_match_9_night_rain_empty_ORIG.jpg,Match,2026-01-06T16:55:36.547,67.48215317726135,4049,8098,,,9,9,None,0,Omission,無反応(不正解)
S03_7_29,S03,7,29,J,filler,5,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\5_night_rain_empty.jpg,brightness,35.62,,,,,M_7_36_J_filler_5_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-06T16:55:39.072,70.00669288635254,4200,8401,2026-01-06 16:55:40.140147,1.0678486824035645,J,5,t,0,False Alarm,お手つき(スルー失敗)
S03_7_30,S03,7,30,4,match,4,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\4_night_sun_empty.jpg,brightness,46.88,,,,,M_7_8_4_match_4_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Match,2026-01-06T16:55:41.563,72.49783563613892,4350,8700,,,4,4,None,0,Omission,無反応(不正解)
S03_7_31,S03,7,31,C,filler,6,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,,,,,,,M_7_1_C_filler_6_night_rain_empty_ORIG.jpg,Ignore,2026-01-06T16:55:44.057,74.99216532707214,4500,8999,2026-01-06 16:55:45.302117,1.2443456649780273,C,6,t,0,False Alarm,お手つき(スルー失敗)
S03_7_32,S03,7,32,P,filler,4,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,,,,,,,M_7_38_P_filler_4_night_rain_busy_ORIG.jpg,Ignore,2026-01-06T16:55:46.548,77.48249769210815,4649,9298,,,P,4,None,1,Correct Rejection,正解(スルー成功)
S03_7_33,S03,7,33,F,filler,1,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,brightness,46.88,,,,,M_7_20_F_filler_1_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-06T16:55:49.064,79.99868035316467,4800,9600,,,F,1,None,1,Correct Rejection,正解(スルー成功)
S03_7_34,S03,7,34,3,unmatch,1,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\1_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_7_45_3_unmatch_1_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Mismatch,2026-01-06T16:55:51.578,82.51244735717773,4951,9901,,,3,1,None,0,Omission,無反応(不正解)
S03_7_35,S03,7,35,T,filler,9,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\9_night_sun_busy.jpg,,,,,,,M_7_34_T_filler_9_night_sun_busy_ORIG.jpg,Ignore,2026-01-06T16:55:54.063,84.99819564819336,5100,10200,2026-01-06 16:55:55.036947,0.9731452465057373,T,9,b,0,False Alarm,お手つき(スルー失敗)
S03_7_36,S03,7,36,U,filler,3,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_7_44_U_filler_3_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-06T16:55:56.552,87.48695683479309,5249,10498,,,U,3,None,1,Correct Rejection,正解(スルー成功)
S03_7_37,S03,7,37,5,unmatch,8,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_7_41_5_unmatch_8_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Mismatch,2026-01-06T16:55:59.064,89.99896693229675,5400,10800,,,5,8,None,0,Omission,無反応(不正解)
S03_7_38,S03,7,38,S,filler,9,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\9_night_sun_empty.jpg,,,,,,,M_7_47_S_filler_9_night_sun_empty_ORIG.jpg,Ignore,2026-01-06T16:56:01.579,92.5137722492218,5551,11102,2026-01-06 16:56:02.673216,1.0938374996185303,S,9,b,0,False Alarm,お手つき(スルー失敗)
S03_7_39,S03,7,39,7,unmatch,3,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\3_night_sun_empty.jpg,brightness,46.88,,,,,M_7_15_7_unmatch_3_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Mismatch,2026-01-06T16:56:04.066,95.00067782402039,5700,11400,,,7,3,None,0,Omission,無反応(不正解)
S03_7_40,S03,7,40,R,filler,9,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,,,,,,,M_7_46_R_filler_9_night_rain_empty_ORIG.jpg,Ignore,2026-01-06T16:56:06.563,97.49806690216064,5850,11700,2026-01-06 16:56:07.737144,1.1734709739685059,R,9,b,0,False Alarm,お手つき(スルー失敗)
S03_7_41,S03,7,41,C,filler,3,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_7_9_C_filler_3_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-06T16:56:09.073,100.00779008865356,6000,12001,,,C,3,None,1,Correct Rejection,正解(スルー成功)
S03_7_42,S03,7,42,3,match,3,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,brightness,43.12,,,,,M_7_32_3_match_3_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Match,2026-01-06T16:56:11.566,102.50074934959412,6150,12300,,,3,3,None,0,Omission,無反応(不正解)
S03_7_43,S03,7,43,Q,filler,7,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_7_21_Q_filler_7_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-06T16:56:14.068,105.003098487854,6300,12600,2026-01-06 16:56:15.382522,1.3138179779052734,Q,7,t,0,False Alarm,お手つき(スルー失敗)
S03_7_44,S03,7,44,P,filler,8,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_7_19_P_filler_8_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-06T16:56:16.569,107.50407552719116,6450,12900,,,P,8,None,1,Correct Rejection,正解(スルー成功)
S03_7_45,S03,7,45,L,filler,1,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\1_night_sun_empty.jpg,brightness,46.88,,,,,M_7_42_L_filler_1_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-06T16:56:19.080,110.01515698432922,6601,13202,,,L,1,None,1,Correct Rejection,正解(スルー成功)
S03_7_46,S03,7,46,9,match,9,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,,,,,,,M_7_10_9_match_9_night_rain_empty_ORIG.jpg,Match,2026-01-06T16:56:21.561,112.4959762096405,6750,13500,,,9,9,None,0,Omission,無反応(不正解)
S03_7_47,S03,7,47,D,filler,8,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,,,,,,,M_7_43_D_filler_8_night_rain_busy_ORIG.jpg,Ignore,2026-01-06T16:56:24.065,114.99964141845703,6900,13800,2026-01-06 16:56:25.299023,1.2337753772735596,D,8,t,0,False Alarm,お手つき(スルー失敗)
S03_7_48,S03,7,48,0,match,0,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\0_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_7_48_0_match_0_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Match,2026-01-06T16:56:26.565,117.49966645240784,7050,14100,,,0,0,None,0,Omission,無反応(不正解)
