day,time,button,timeFromStart,timeFromDisplay,image,status,times,figure,contrast,gamma,sharpness,brightness,equalization
2023-09-02,18:19:31.388885,f,1.5876317024230957,1.4927527904510498,1_E_gamma1.1_contrast0.89_equalization22.0.jpg,1,1,E,0.89,1.1,0,0,22.0
2023-09-02,18:19:38.723154,f,8.922893285751343,1.333425998687744,4_E_sharpness0.29_gamma0.64_equalization11.0.jpg,4,4,E,0,0.64,0.29,0,11.0
2023-09-02,18:19:48.631805,f,18.831544637680054,1.145152568817139,8_B_gamma1.0_sharpness0.29_equalization7.4.jpg,4,8,B,0,1.0,0.29,0,7.4
2023-09-02,18:19:53.772662,t,23.9724018573761,1.3764605522155762,10_C_brightness9.0_gamma0.67_sharpness0.38.jpg,4,10,C,0,0.67,0.38,9.0,0
2023-09-02,18:20:01.018084,f,31.21782350540161,1.0333199501037598,13_S_brightness6.9_gamma1.0_sharpness1.0.jpg,2,13,S,0,1.0,1.0,6.9,0
2023-09-02,18:20:03.652056,f,33.85179615020752,1.228180170059204,14_J_contrast0.99_brightness20.0_sharpness0.78.jpg,4,14,J,0.99,0,0.78,20.0,0
2023-09-02,18:20:16.098620,f,46.298359870910645,1.1302142143249512,19_8_contrast1.1_sharpness0.16_equalization25.0.jpg,0,19,8,1.1,0,0.16,0,25.0
2023-09-02,18:20:18.576715,t,48.77645492553711,1.0986878871917725,20_I_contrast1.1_sharpness0.52_brightness18.0.jpg,4,20,I,1.1,0,0.52,18.0,0
2023-09-02,18:20:28.533525,f,58.7332649230957,1.0831472873687744,24_B_contrast0.89_sharpness0.16_equalization9.4.jpg,4,24,B,0.89,0,0.16,0,9.4
2023-09-02,18:20:43.614306,t,73.81404566764832,1.0683574676513672,30_J_sharpness0.68_gamma0.87_equalization17.0.jpg,4,30,J,0,0.87,0.68,0,17.0
2023-09-02,18:20:48.773715,t,78.97345447540283,1.3006880283355713,32_0_gamma0.95_sharpness0.39_equalization18.0.jpg,4,32,0,0,0.95,0.39,0,18.0
2023-09-02,18:20:56.156464,f,86.35620403289795,1.253410577774048,35_B_sharpness0.47_gamma0.73_equalization18.0.jpg,4,35,B,0,0.73,0.47,0,18.0
2023-09-02,18:21:18.623323,t,108.82306265830994,1.1449477672576904,44_E_gamma0.6_sharpness0.68_equalization26.0.jpg,4,44,E,0,0.6,0.68,0,26.0
