trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S103_8_1,S103,8,1,A,filler,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,,,,,,,M_8_2_A_filler_4_night_rain_busy_ORIG.jpg,Ignore,2026-01-08T19:02:12.376,1767866532.376411,0.0,0,0,,,A,4,None,1,Correct Rejection,正解(スルー成功)
S103_8_2,S103,8,2,I,filler,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,,,,,,,M_8_42_I_filler_2_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T19:02:14.967,1767866534.9675963,2.5911853313446045,155,311,,,I,2,None,1,Correct Rejection,正解(スルー成功)
S103_8_3,S103,8,3,J,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_17_J_filler_3_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T19:02:17.555,1767866537.555539,5.179127931594849,311,621,,,J,3,None,1,Correct Rejection,正解(スルー成功)
S103_8_4,S103,8,4,2,unmatch,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,,,,,,,M_8_3_2_unmatch_5_night_sun_empty_ORIG.jpg,Mismatch,2026-01-08T19:02:20.144,1767866540.1443439,7.767932891845703,466,932,2026-01-08T19:02:21.396,1.2524213790893555,2,5,b,1,Correct Rejection,正解(不一致)
S103_8_5,S103,8,5,I,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,brightness,43.12,,,,,M_8_24_I_filler_6_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T19:02:22.733,1767866542.7336714,10.357260465621948,621,1243,,,I,6,None,1,Correct Rejection,正解(スルー成功)
S103_8_6,S103,8,6,R,filler,1,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\1_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_8_4_R_filler_1_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-08T19:02:25.339,1767866545.3393743,12.962963342666626,778,1556,,,R,1,None,1,Correct Rejection,正解(スルー成功)
S103_8_7,S103,8,7,I,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\9_night_rain_busy.jpg,brightness,45.47,,,,,M_8_47_I_filler_9_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T19:02:27.933,1767866547.933022,15.556611061096191,933,1867,,,I,9,None,1,Correct Rejection,正解(スルー成功)
S103_8_8,S103,8,8,A,filler,6,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\6_night_rain_empty.jpg,,,,,,,M_8_45_A_filler_6_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T19:02:30.520,1767866550.5201976,18.143786668777466,1089,2177,,,A,6,None,1,Correct Rejection,正解(スルー成功)
S103_8_9,S103,8,9,C,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,,,,,,,M_8_34_C_filler_8_night_sun_busy_ORIG.jpg,Ignore,2026-01-08T19:02:33.124,1767866553.1245832,20.748172283172607,1245,2490,,,C,8,None,1,Correct Rejection,正解(スルー成功)
S103_8_10,S103,8,10,0,match,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\0_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_33_0_match_0_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Match,2026-01-08T19:02:35.713,1767866555.7137628,23.33735179901123,1400,2800,2026-01-08T19:02:37.152,1.4389350414276123,0,0,t,1,Hit,正解(一致)
S103_8_11,S103,8,11,F,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,brightness,45.47,,,,,M_8_25_F_filler_1_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T19:02:38.301,1767866558.3017533,25.925342321395874,1556,3111,,,F,1,None,1,Correct Rejection,正解(スルー成功)
S103_8_12,S103,8,12,S,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\8_night_sun_empty.jpg,,,,,,,M_8_30_S_filler_8_night_sun_empty_ORIG.jpg,Ignore,2026-01-08T19:02:40.898,1767866560.8985298,28.52211880683899,1711,3423,,,S,8,None,1,Correct Rejection,正解(スルー成功)
S103_8_13,S103,8,13,9,unmatch,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,,,,,,,M_8_13_9_unmatch_7_night_rain_empty_ORIG.jpg,Mismatch,2026-01-08T19:02:43.496,1767866563.4962497,31.11983871459961,1867,3734,2026-01-08T19:02:44.786,1.2897825241088867,9,7,b,1,Correct Rejection,正解(不一致)
S103_8_14,S103,8,14,L,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_19_L_filler_3_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-08T19:02:46.116,1767866566.1169116,33.740500688552856,2024,4049,,,L,3,None,1,Correct Rejection,正解(スルー成功)
S103_8_15,S103,8,15,7,unmatch,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,brightness,46.88,,,,,M_8_38_7_unmatch_2_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Mismatch,2026-01-08T19:02:48.705,1767866568.7050786,36.328667640686035,2180,4359,2026-01-08T19:02:50.055,1.3502681255340576,7,2,b,1,Correct Rejection,正解(不一致)
S103_8_16,S103,8,16,D,filler,7,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,,,,,,,M_8_22_D_filler_7_night_rain_empty_ORIG.jpg,Ignore,2026-01-08T19:02:51.312,1767866571.312271,38.93586015701294,2336,4672,,,D,7,None,1,Correct Rejection,正解(スルー成功)
S103_8_17,S103,8,17,R,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\2_night_sun_busy.jpg,brightness,43.12,,,,,M_8_27_R_filler_2_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-08T19:02:53.903,1767866573.903404,41.52699303627014,2492,4983,,,R,2,None,1,Correct Rejection,正解(スルー成功)
S103_8_18,S103,8,18,7,unmatch,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\2_night_rain_busy.jpg,,,,,,,M_8_26_7_unmatch_2_night_rain_busy_ORIG.jpg,Mismatch,2026-01-08T19:02:56.493,1767866576.4937088,44.117297887802124,2647,5294,2026-01-08T19:02:57.738,1.2452311515808105,7,2,b,1,Correct Rejection,正解(不一致)
S103_8_19,S103,8,19,A,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,brightness,35.62,,,,,M_8_31_A_filler_9_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T19:02:59.083,1767866579.0830498,46.7066388130188,2802,5605,,,A,9,None,1,Correct Rejection,正解(スルー成功)
