condition,metric,image_key,F,p,df1,df2,eta_sq,n_total,n_original,n_brightonly,n_model
bright,RT,sun_empty,0.7422895886128397,0.4773493633399587,2.0,197.0,0.007479569361910488,200,60,40,100
bright,RT,sun_busy,0.12444810860140863,0.8830534403526298,2.0,197.0,0.001261838326987358,200,65,80,55
bright,RT,rain_empty,0.03462007706853068,0.9659782172206263,2.0,197.0,0.00035134937386933104,200,60,60,80
bright,RT,rain_busy,0.14120517274256833,0.8683989442906328,2.0,197.0,0.0014315029149865716,200,65,70,65
bright,RT,ALL,0.13322067577202493,0.8752914060853948,2.0,797.0,0.00033419361172705366,800,250,250,300
