condition,metric,image_key,F,p,df1,df2,eta_sq,n_total,n_original,n_brightonly,n_model
bright,diopter,sun_empty,0.2183922561704425,0.804027578826277,2.0,176.0,0.0024755864461491386,179,55,38,86
bright,diopter,sun_busy,0.1665851012813192,0.8466848534407062,2.0,175.0,0.0019002120487397118,178,59,70,49
bright,diopter,rain_empty,2.999889698272873,0.0523454513876044,2.0,176.0,0.03296586081828855,179,55,51,73
bright,diopter,rain_busy,3.3431418898703216,0.03757021283339317,2.0,177.0,0.036400561011720504,180,58,65,57
bright,diopter,ALL,1.185724401826038,0.3061264905615142,2.0,713.0,0.0033149894472556175,716,227,224,265
