trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,Is_Alphabet_Trial,Back_Image_Source,Back_Image_Path,Back_Image_Name_Used,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,diopter_descent_frame,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_miosis_min_frame,pupil_right_miosis_min_frame,pupil_both_miosis_min_frame,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min,BL_stim120_frame_start,BL_stim120_frame_end,BL_stim120_pupil_both,BL_stim120_change_rate_mean,BL_stim120_change_rate_min,BL_onset120_frame_start,BL_onset120_frame_end,BL_onset120_pupil_both,BL_onset120_change_rate_mean,BL_onset120_change_rate_min,BL_stim_to_onset_frame_start,BL_stim_to_onset_frame_end,BL_stim_to_onset_pupil_both,BL_stim_to_onset_change_rate_mean,BL_stim_to_onset_change_rate_min
S113_2_36,S113,2,36,F,filler,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,,,,,,,M_2_47_F_filler_3_night_sun_busy_ORIG.jpg,Ignore,2026-01-12T13:29:47.184,1768192187.1848948,90.98380208015442,5459,10918,,,F,3,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S113_2_37,S113,2,37,E,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,,,,,,,M_2_35_E_filler_8_night_rain_empty_ORIG.jpg,Ignore,2026-01-12T13:29:49.772,1768192189.7720034,93.57091069221497,5614,11229,,,E,8,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S113_2_38,S113,2,38,9,unmatch,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\0_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_2_22_9_unmatch_0_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Mismatch,2026-01-12T13:29:52.376,1768192192.376268,96.1751754283905,5771,11541,2026-01-12T13:29:53.340,0.9646539688110352,9,0,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S113\2\M_2_22_9_unmatch_0_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,M_2_22_9_unmatch_0_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,True,False,,11541.0,11840.0,0.0,11585.0,11602.0,2.123915736077625,2.123915736077625,11735.0,11421.0,11540.0,11585.0,11735.0,5.982014166666667,5.424723333333334,5.70336875,4.70109183222958,4.199698013245032,4.450394922737307,4.2226,3.7705999999999995,3.9989,11672.0,11670.0,11671.0,0.21412893696820673,0.22582263551781157,0.21969013090074052,0.2941173520568671,0.30492307749028075,0.29885298053014725,11541.0,11660.0,4.912797916666666,0.09412212791424966,0.18602391797274379,11465.0,11584.0,5.58736763888889,0.20348987029922416,0.284296244949576,11541.0,11584.0,5.465529924242424,0.1857340487703623,0.26834176092187684
S113_2_39,S113,2,39,B,filler,1,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\1_night_rain_busy.jpg,brightness,45.47,,,,,M_2_29_B_filler_1_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-12T13:29:54.967,1768192194.967729,98.76663661003111,5926,11852,,,B,1,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S113_2_40,S113,2,40,C,filler,4,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\4_night_rain_empty.jpg,,,,,,,M_2_18_C_filler_4_night_rain_empty_ORIG.jpg,Ignore,2026-01-12T13:29:57.559,1768192197.5593462,101.3582534790039,6081,12163,,,C,4,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S113_2_41,S113,2,41,3,match,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,brightness,35.62,,,,,M_2_46_3_match_3_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Match,2026-01-12T13:30:00.150,1768192200.1500828,103.94899010658264,6237,12474,2026-01-12T13:30:01.060,0.9102299213409424,3,3,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Dark\S113\2\M_2_46_3_match_3_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,M_2_46_3_match_3_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,True,False,,12474.0,12773.0,0.0,12522.0,12551.0,2.2890715139079605,2.2890715139079605,12672.0,12354.0,12473.0,12522.0,12672.0,5.6345374999999995,5.097608333333333,5.366072916666667,4.557415011037528,4.0192662251655635,4.288340618101546,4.2339,3.6677,3.9515000000000002,12612.0,12611.0,12612.0,0.1911643127696766,0.21153883108603594,0.20084190343700997,0.24858073976790454,0.28050572735907187,0.26361418091675515,12474.0,12593.0,4.708950555555557,0.08932137479289969,0.16085336777680254,12402.0,12521.0,5.197325972222222,0.17489481302093915,0.23970518279605688,12474.0,12521.0,5.146130555555556,0.16668639246394057,0.2321415173320623
S113_2_42,S113,2,42,D,filler,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_2_6_D_filler_6_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-12T13:30:02.753,1768192202.7530146,106.55192184448242,6393,12786,,,D,6,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S113_2_43,S113,2,43,3,match,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,,,,,,,M_2_36_3_match_3_night_sun_busy_ORIG.jpg,Match,2026-01-12T13:30:05.357,1768192205.3570757,109.1559829711914,6549,13099,2026-01-12T13:30:06.966,1.609156847000122,3,3,t,1,Hit,正解(一致),0,normal_image_name,D:\experiment_images_verify\Dark\S113\2\M_2_36_3_match_3_night_sun_busy_ORIG.jpg,M_2_36_3_match_3_night_sun_busy_ORIG.jpg,True,False,,13099.0,13398.0,0.0,13217.0,13241.0,5.235392584952338,5.235392584952338,13367.0,12979.0,13098.0,13217.0,13367.0,5.6605525,4.992913333333333,5.326732916666667,5.835312362030905,4.919335761589404,5.377324061810155,5.454,4.5336,5.006600000000001,13290.0,13297.0,13296.0,-0.030873287021170676,0.014736400740769024,-0.009497593728642737,0.03648981261104811,0.09199305148497135,0.06009929945333118,13099.0,13218.0,5.4996937500000005,0.022250273151999688,0.08965840143371617,13097.0,13216.0,5.496142083333334,0.021618440666497,0.08907012881232372,13099.0,13216.0,5.496384322033899,0.021661560263618287,0.08911027565347852
S113_2_44,S113,2,44,R,filler,9,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_2_14_R_filler_9_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-12T13:30:07.961,1768192207.961141,111.7600483894348,6706,13411,,,R,9,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S113_2_45,S113,2,45,I,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,,,,,,,M_2_32_I_filler_8_night_rain_busy_ORIG.jpg,Ignore,2026-01-12T13:30:10.562,1768192210.562409,114.36131620407104,6862,13723,,,I,8,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S113_2_46,S113,2,46,R,filler,5,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,brightness,46.88,,,,,M_2_37_R_filler_5_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-12T13:30:13.185,1768192213.185639,116.98454594612122,7019,14038,,,R,5,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S113_2_47,S113,2,47,B,filler,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_2_45_B_filler_8_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-12T13:30:15.780,1768192215.780823,119.57973027229308,7175,14350,,,B,8,,1,Correct Rejection,正解(スルー成功),1,alphabet_fixed,./fillerpic/0_night_nocar.png,0_night_nocar.png,False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S113_2_48,S113,2,48,3,unmatch,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\2_night_rain_busy.jpg,brightness,45.47,,,,,M_2_4_3_unmatch_2_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Mismatch,2026-01-12T13:30:18.363,1768192218.3638363,122.162743806839,7330,14660,2026-01-12T13:30:19.298,0.9349629878997804,3,2,b,1,Correct Rejection,正解(不一致),0,normal_image_name,D:\experiment_images_verify\Dark\S113\2\M_2_4_3_unmatch_2_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,M_2_4_3_unmatch_2_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,True,False,,14660.0,14959.0,0.0,14697.0,14704.0,2.7418002127350394,2.7418002127350394,14847.0,14540.0,14659.0,14697.0,14847.0,6.458015555555557,5.691520833333333,6.074768194444444,5.087473068432672,4.4816801324503315,4.7845766004415005,4.622400000000001,4.0268,4.3321000000000005,14793.0,14790.0,14793.0,0.21222347257182822,0.21256896641709,0.21238532116877518,0.2842383298343798,0.2924913888716036,0.28686990822763664,14660.0,14779.0,5.333510416666667,0.10292167322103754,0.18775821896538586,14577.0,14696.0,6.13819986111111,0.22052446829657033,0.2942393375871891,14660.0,14696.0,6.209046846846847,0.22941850521368476,0.3022922669362722
