trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment
S104_8_16,S104,8,16,D,filler,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\6_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_8_D_filler_6_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-09T12:58:03.953,1767931083.9539216,38.94859457015991,2337,4674,,,D,6,None,1,Correct Rejection,正解(スルー成功)
S104_8_17,S104,8,17,I,filler,2,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,,,,,,,M_8_42_I_filler_2_night_sun_empty_ORIG.jpg,Ignore,2026-01-09T12:58:06.539,1767931086.5399077,41.53458070755005,2492,4984,,,I,2,None,1,Correct Rejection,正解(スルー成功)
S104_8_18,S104,8,18,R,filler,1,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\1_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_8_4_R_filler_1_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-09T12:58:09.139,1767931089.1398447,44.134517669677734,2648,5296,,,R,1,None,1,Correct Rejection,正解(スルー成功)
S104_8_19,S104,8,19,8,match,8,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,brightness,45.47,,,,,M_8_16_8_match_8_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Match,2026-01-09T12:58:11.735,1767931091.7355385,46.73021149635315,2804,5608,2026-01-09T12:58:13.088,1.3528454303741455,8,8,t,1,Hit,正解(一致)
S104_8_20,S104,8,20,D,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,brightness,46.88,,,,,M_8_32_D_filler_2_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-09T12:58:14.322,1767931094.322582,49.3172550201416,2959,5918,,,D,2,None,1,Correct Rejection,正解(スルー成功)
S104_8_21,S104,8,21,5,unmatch,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_23_5_unmatch_8_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Mismatch,2026-01-09T12:58:16.911,1767931096.9112155,51.90588855743408,3114,6229,2026-01-09T12:58:18.353,1.4421393871307373,5,8,b,1,Correct Rejection,正解(不一致)
S104_8_22,S104,8,22,S,filler,8,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\8_night_sun_empty.jpg,,,,,,,M_8_30_S_filler_8_night_sun_empty_ORIG.jpg,Ignore,2026-01-09T12:58:19.514,1767931099.5147808,54.509453773498535,3271,6541,,,S,8,None,1,Correct Rejection,正解(スルー成功)
S104_8_23,S104,8,23,R,filler,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\2_night_sun_busy.jpg,brightness,43.12,,,,,M_8_27_R_filler_2_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-09T12:58:22.107,1767931102.1071556,57.10182857513428,3426,6852,,,R,2,None,1,Correct Rejection,正解(スルー成功)
S104_8_24,S104,8,24,7,unmatch,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,brightness,46.88,,,,,M_8_38_7_unmatch_2_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Mismatch,2026-01-09T12:58:24.697,1767931104.6973307,59.69200372695923,3582,7163,2026-01-09T12:58:26.103,1.4065139293670654,7,2,b,1,Correct Rejection,正解(不一致)
S104_8_25,S104,8,25,A,filler,6,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,,,,,,,M_8_15_A_filler_6_night_sun_empty_ORIG.jpg,Ignore,2026-01-09T12:58:27.287,1767931107.2877598,62.28243279457092,3737,7474,,,A,6,None,1,Correct Rejection,正解(スルー成功)
S104_8_26,S104,8,26,J,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_17_J_filler_3_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-09T12:58:29.875,1767931109.8756092,64.87028217315674,3892,7784,,,J,3,None,1,Correct Rejection,正解(スルー成功)
S104_8_27,S104,8,27,1,unmatch,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_8_29_1_unmatch_3_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Mismatch,2026-01-09T12:58:32.480,1767931112.4802916,67.47496461868286,4048,8097,2026-01-09T12:58:33.913,1.4333868026733398,1,3,b,1,Correct Rejection,正解(不一致)
S104_8_28,S104,8,28,I,filler,8,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\8_night_sun_busy.jpg,brightness,43.12,,,,,M_8_18_I_filler_8_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-09T12:58:35.070,1767931115.0701065,70.06477952003479,4204,8408,,,I,8,None,1,Correct Rejection,正解(スルー成功)
S104_8_29,S104,8,29,6,match,6,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,,,,,,,M_8_5_6_match_6_night_sun_empty_ORIG.jpg,Match,2026-01-09T12:58:37.665,1767931117.6653311,72.66000413894653,4360,8719,2026-01-09T12:58:39.249,1.5839831829071045,6,6,t,1,Hit,正解(一致)
S104_8_30,S104,8,30,U,filler,3,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,,,,,,,M_8_43_U_filler_3_night_rain_empty_ORIG.jpg,Ignore,2026-01-09T12:58:40.246,1767931120.2466438,75.24131679534912,4514,9029,,,U,3,None,1,Correct Rejection,正解(スルー成功)
S104_8_31,S104,8,31,B,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,brightness,35.62,,,,,M_8_9_B_filler_9_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-09T12:58:42.868,1767931122.8687491,77.86342215538025,4672,9344,,,B,9,None,1,Correct Rejection,正解(スルー成功)
S104_8_32,S104,8,32,0,match,0,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\0_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_33_0_match_0_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Match,2026-01-09T12:58:45.464,1767931125.4647477,80.45942068099976,4828,9655,2026-01-09T12:58:47.369,1.9050908088684082,0,0,t,1,Hit,正解(一致)
S104_8_33,S104,8,33,F,filler,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_8_12_F_filler_6_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-09T12:58:48.048,1767931128.0488913,83.0435643196106,4983,9965,,,F,6,None,1,Correct Rejection,正解(スルー成功)
S104_8_34,S104,8,34,L,filler,9,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\9_night_sun_busy.jpg,,,,,,,M_8_6_L_filler_9_night_sun_busy_ORIG.jpg,Ignore,2026-01-09T12:58:50.639,1767931130.6393952,85.63406825065613,5138,10276,,,L,9,None,1,Correct Rejection,正解(スルー成功)
S104_8_35,S104,8,35,R,filler,3,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,brightness,45.47,,,,,M_8_21_R_filler_3_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T12:58:53.228,1767931133.2282338,88.22290682792664,5293,10587,,,R,3,None,1,Correct Rejection,正解(スルー成功)
S104_8_36,S104,8,36,7,match,7,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,brightness,43.12,,,,,M_8_20_7_match_7_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Match,2026-01-09T12:58:55.816,1767931135.8165784,90.81125140190125,5449,10897,2026-01-09T12:58:57.182,1.3659799098968506,7,7,t,1,Hit,正解(一致)
S104_8_37,S104,8,37,Q,filler,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\5_night_rain_empty.jpg,,,,,,,M_8_11_Q_filler_5_night_rain_empty_ORIG.jpg,Ignore,2026-01-09T12:58:58.420,1767931138.4203722,93.41504526138306,5605,11210,,,Q,5,None,1,Correct Rejection,正解(スルー成功)
S104_8_38,S104,8,38,L,filler,3,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\3_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_8_19_L_filler_3_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-09T12:59:01.024,1767931141.0248978,96.01957082748413,5761,11522,,,L,3,None,1,Correct Rejection,正解(スルー成功)
S104_8_39,S104,8,39,2,unmatch,5,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,,,,,,,M_8_3_2_unmatch_5_night_sun_empty_ORIG.jpg,Mismatch,2026-01-09T12:59:03.621,1767931143.6214085,98.61608147621155,5917,11834,2026-01-09T12:59:05.254,1.6332743167877197,2,5,b,1,Correct Rejection,正解(不一致)
S104_8_40,S104,8,40,I,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\9_night_rain_busy.jpg,brightness,45.47,,,,,M_8_47_I_filler_9_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T12:59:06.201,1767931146.2019706,101.19664359092712,6072,12144,,,I,9,None,1,Correct Rejection,正解(スルー成功)
S104_8_41,S104,8,41,C,filler,6,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_8_40_C_filler_6_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-09T12:59:08.795,1767931148.7953749,103.79004788398743,6227,12455,,,C,6,None,1,Correct Rejection,正解(スルー成功)
S104_8_42,S104,8,42,4,unmatch,9,original,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\9_night_sun_busy.jpg,,,,,,,M_8_10_4_unmatch_9_night_sun_busy_ORIG.jpg,Mismatch,2026-01-09T12:59:11.385,1767931151.3855505,106.38022351264954,6383,12766,2026-01-09T12:59:12.848,1.4632105827331543,4,9,b,1,Correct Rejection,正解(不一致)
S104_8_43,S104,8,43,R,filler,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\8_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_8_1_R_filler_8_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-09T12:59:13.991,1767931153.991167,108.98584008216858,6539,13078,,,R,8,None,1,Correct Rejection,正解(スルー成功)
S104_8_44,S104,8,44,A,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\9_night_rain_empty.jpg,brightness,35.62,,,,,M_8_31_A_filler_9_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-09T12:59:16.578,1767931156.5789807,111.57365369796753,6694,13389,,,A,9,None,1,Correct Rejection,正解(スルー成功)
S104_8_45,S104,8,45,8,match,8,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_8_36_8_match_8_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-09T12:59:19.167,1767931159.167244,114.16191697120667,6850,13699,2026-01-09T12:59:20.614,1.4472088813781738,8,8,t,1,Hit,正解(一致)
S104_8_46,S104,8,46,I,filler,6,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,brightness,43.12,,,,,M_8_24_I_filler_6_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-09T12:59:21.771,1767931161.771355,116.76602792739868,7006,14012,,,I,6,None,1,Correct Rejection,正解(スルー成功)
S104_8_47,S104,8,47,F,filler,2,model,G:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\2_night_sun_empty.jpg,gamma,0.82,sharpness,0.261,equalization,21.021,M_8_14_F_filler_2_night_sun_empty_MODEL_gamma0.820_sharpness0.261_equalization21.021.jpg,Ignore,2026-01-09T12:59:24.366,1767931164.3667254,119.36139845848083,7162,14323,,,F,2,None,1,Correct Rejection,正解(スルー成功)
S104_8_48,S104,8,48,2,match,2,brightonly,G:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,brightness,35.62,,,,,M_8_41_2_match_2_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Match,2026-01-09T12:59:26.963,1767931166.9639328,121.95860576629639,7318,14635,2026-01-09T12:59:28.323,1.3599228858947754,2,2,t,1,Hit,正解(一致)
