condition,metric,zcol,image_key,F,p,df1,df2,eta_p2,n_subjects_complete
dark,miosis_rate,z_miosis_rate,sun_empty,104.49348150551698,6.541856809762857e-10,2.0,16.0,0.9288847683178189,9
dark,miosis_rate,z_miosis_rate,sun_busy,117.0724789672673,2.8017271193369676e-10,2.0,16.0,0.9360370877265999,9
dark,miosis_rate,z_miosis_rate,rain_empty,73.47758687398755,8.638028487251041e-09,2.0,16.0,0.9018134887527692,9
dark,miosis_rate,z_miosis_rate,rain_busy,91.1598849480871,1.7948649730396341e-09,2.0,16.0,0.9193222137743684,9
dark,miosis_rate,z_miosis_rate,ALL,346.0471690359896,6.795648184073773e-14,2.0,16.0,0.9774041407483002,9
